                      Time  Image Size
Stage     Index                       
boot_time 0       38.04826           1
          1       36.55061           1
          2       36.52689           1
          3       36.59294           1
          4       36.59698           1
          5       36.40020           1
          6       36.61892           1
          7       36.50221           1
          8       36.64051           1
          9       36.50822           1
          10      36.51287           1
          11      36.46659           1
          12      36.51926           1
          13      36.60201           1
          14      36.51721           1
          15      36.50813           1
          16      36.68060           1
          17      36.52227           1
          18      36.43790           1
          19      36.46078           1
          20      36.51941           1
          21      36.50846           1
          22      36.43796           1
          23      36.43195           1
          24      36.62235           1
          25      38.15970           1
          26      36.66818           1
          27      36.45041           1
          28      36.54057           1
          29      36.41875           1
          30      36.51457           1
          31      36.42772           1
          32      36.47267           1
          33      36.52065           1
          34      36.44812           1
          35      38.16612           1
          36      38.20042           1
          37     121.61163           1
          38      86.15132           1
          39     131.29355           1
          40      97.58072           1
          41     126.00413           1
          42      89.79065           1
          43      36.46964           1
          44      38.12806           1
          45      36.41899           1
          46      36.44541           1
          47      36.48950           1
          48      36.43473           1
          49      36.46556           1
          50      36.51919           1
          51      36.41831           1
          52      36.61023           1
          53      36.42424           1
          54      36.38370           1
          55      36.45315           1
          56     128.23956           1
          57      36.49266           1
          58      36.51513           1
          59      36.47965           1
          60      36.47772           1
          61      36.45284           1
          62      36.48709           1
          63      36.52803           1
          64      36.47948           1
          65      36.45617           1
          66      36.52118           1
          67      36.47582           1
          68      36.44472           1
          69      36.45000           1
          70      36.50335           1
          71      38.40886           1
          72      36.53776           1
          73      36.65504           1
          74      36.47120           1
          75      36.57760           1
          76      36.48839           1
          77      36.56924           1
          78      36.52251           1
          79      36.55939           1
          80      36.57016           1
          81      36.44055           1
          82     129.45968           1
          83      88.44631           1
          84     129.84006           1
          85      82.93835           1
          86      36.44261           1
          87      36.72715           1
          88      36.50044           1
          89      36.48401           1
          90      36.52708           1
          91      36.57037           1
          92      36.54561           1
          93      36.49101           1
          94      36.49139           1
          95      36.50521           1
          96      36.55686           1
          97      36.48122           1
          98      36.46138           1
          99      36.48590           1
          100     50.04603          10
          101     48.13306          10
          102     48.07658          10
          103    140.18474          10
          104    101.79568          10
          105    132.70250          10
          106     47.85499          10
          107     48.10832          10
          108     50.23577          10
          109     49.87055          10
          110    138.23065          10
          111     48.19351          10
          112     50.04563          10
          113     48.00549          10
          114     48.22388          10
          115    136.43602          10
          116     87.97412          10
          117     48.17435          10
          118     48.24124          10
          119     47.88799          10
          120     48.32963          10
          121     48.23610          10
          122    128.27093          10
          123     48.57148          10
          124    130.69355          10
          125    141.48448          10
          126     92.91112          10
          127    127.11239          10
          128     90.45991          10
          129     48.07192          10
          130     47.96563          10
          131     48.22643          10
          132     47.97641          10
          133    128.82530          10
          134     87.16765          10
          135     48.28970          10
          136     48.38697          10
          137     48.23855          10
          138    141.28781          10
          139    100.63247          10
          140     48.04789          10
          141     48.31936          10
          142     48.06816          10
          143    126.76818          10
          144     48.55895          10
          145    137.47243          10
          146     48.21706          10
          147    141.64945          10
          148     93.34168          10
          149     48.31361          10
          150     48.28209          10
          151     48.17461          10
          152    142.63591          10
          153     48.43436          10
          154     48.28616          10
          155    138.32091          10
          156     95.65099          10
          157     50.01371          10
          158     48.30644          10
          159    134.58802          10
          160    140.72758          10
          161     49.95154          10
          162     48.14887          10
          163     48.29621          10
          164    138.78856          10
          165     97.44214          10
          166    128.27271          10
          167     92.71039          10
          168     48.21784          10
          169     48.40109          10
          170     48.12736          10
          171    133.33560          10
          172     48.36921          10
          173    131.36456          10
          174     85.25841          10
          175     48.12373          10
          176     48.05856          10
          177     47.93197          10
          178    130.65820          10
          179     48.10746          10
          180     48.08387          10
          181    128.87680          10
          182     91.86212          10
          183    133.14525          10
          184     95.13862          10
          185    130.49254          10
          186     88.95173          10
          187     48.23828          10
          188     48.14274          10
          189     48.24640          10
          190    139.23783          10
          191     98.22353          10
          192     48.34084          10
          193     48.39632          10
          194     48.01773          10
          195     48.25139          10
          196     48.10214          10
          197     48.28450          10
          198     48.22419          10
          199    138.47683          10
          200     99.20176          20
          201     60.57724          20
          202     59.89198          20
          203    132.66481          20
          204     59.85449          20
          205     60.03957          20
          206     60.27072          20
          207    137.75482          20
          208    151.58232          20
          209     60.41586          20
          210    138.36471          20
          211    153.20819          20
          212     97.15242          20
          213     60.41641          20
          214     60.04231          20
          215     59.93803          20
          216     60.10813          20
          217    155.25212          20
          218    103.94078          20
          219     60.06154          20
          220     60.51027          20
          221    134.05834          20
          222    156.40033          20
          223     98.35044          20
          224     60.39798          20
          225     59.99059          20
          226    139.73227          20
          227     60.36047          20
          228    132.07714          20
          229    145.67173          20
          230     59.92305          20
          231    142.21472          20
          232    145.33407          20
          233    155.20047          20
          234    102.79956          20
          235     59.73373          20
          236     60.25307          20
          237    132.64749          20
          238     60.15125          20
          239     59.99355          20
          240     60.16427          20
          241     60.38345          20
          242     60.06219          20
          243    135.56979          20
          244    144.58115          20
          245    149.86343          20
          246    154.92763          20
          247    107.02021          20
          248     60.30638          20
          249     59.80121          20
          250    134.18758          20
          251     59.87256          20
          252     60.01456          20
          253     60.39089          20
          254    136.85806          20
          255    148.82993          20
          256     60.20622          20
          257     60.06670          20
          258    154.71038          20
          259     59.93426          20
          260     59.77254          20
          261     59.93101          20
          262     60.22373          20
          263     60.44833          20
          264    151.23188          20
          265     60.22570          20
          266    132.62922          20
          267    147.48079          20
          268     60.05142          20
          269     60.36750          20
          270     60.16301          20
          271     60.12014          20
          272     59.88291          20
          273    139.78372          20
          274     60.06591          20
          275    141.45150          20
          276     59.74573          20
          277     59.86174          20
          278     60.28606          20
          279     59.79911          20
          280    152.55069          20
          281     60.02403          20
          282     59.96029          20
          283     60.08923          20
          284    140.93228          20
          285     59.89438          20
          286    132.58611          20
          287    145.47226          20
          288     60.02212          20
          289    138.29381          20
          290     60.48950          20
          291     60.10276          20
          292     62.05995          20
          293     59.92602          20
          294     60.16389          20
          295    152.40422          20
          296     60.21704          20
          297     59.96642          20
          298     60.05246          20
          299    137.35089          20
          300     72.11222          30
          301    146.42565          30
          302     72.04203          30
          303     74.58195          30
          304    157.73423          30
          305    167.86347          30
          306    160.40473          30
          307    153.02572          30
          308    159.65469          30
          309    161.40279          30
          310    162.07866          30
          311    162.64386          30
          312    161.20036          30
          313    165.85142          30
          314     72.31620          30
          315     72.14856          30
          316     72.10398          30
          317     74.32617          30
          318     73.95473          30
          319    162.92366          30
          320     71.99484          30
          321     71.89740          30
          322     72.78981          30
          323    160.60370          30
          324    160.24499          30
          325    164.78925          30
          326    166.78098          30
          327    148.57991          30
          328    153.34668          30
          329    156.61730          30
          330    150.00963          30
          331    156.69414          30
          332    163.74342          30
          333     72.91351          30
          334     72.24390          30
          335    163.44519          30
          336    160.92477          30
          337    139.59682          30
          338     73.02515          30
          339    146.08247          30
          340     74.38915          30
          341    140.48704          30
          342    139.90325          30
          343     72.96506          30
          344     73.01183          30
          345    139.70610          30
          346     72.31309          30
          347    157.04031          30
          348    158.01693          30
          349    152.03712          30
          350    147.64225          30
          351    145.85913          30
          352    160.37538          30
          353    157.10501          30
          354    150.00913          30
          355    148.29566          30
          356    138.28764          30
          357     71.90641          30
          358    163.37202          30
          359    165.69295          30
          360     72.37131          30
          361     72.67271          30
          362    164.82054          30
          363    166.11850          30
          364    155.91355          30
          365    151.71305          30
          366    154.01517          30
          367    157.58949          30
          368    142.71299          30
          369    139.26358          30
          370     72.28215          30
          371    162.31115          30
          372    167.24143          30
          373    162.12433          30
          374    161.98016          30
          375    162.99456          30
          376    164.24904          30
          377     72.21208          30
          378     72.61175          30
          379     73.94976          30
          380    160.52476          30
          381    155.53627          30
          382    152.42084          30
          383    147.62581          30
          384    149.67950          30
          385    141.31864          30
          386    141.12422          30
          387     73.83515          30
          388    145.41213          30
          389    157.63604          30
          390    160.70994          30
          391     72.27812          30
          392     72.25009          30
          393    143.34901          30
          394     72.43351          30
          395     72.28834          30
          396    152.23777          30
          397    150.68781          30
          398     72.57649          30
          399     71.94391          30
          400    156.21393          40
          401     84.09130          40
          402     85.15918          40
          403     85.23258          40
          404     84.90213          40
          405    158.57917          40
          406     84.53991          40
          407    159.95901          40
          408     84.19809          40
          409    154.38189          40
          410     84.69581          40
          411     85.49741          40
          412    158.32541          40
          413     83.95037          40
          414     85.46862          40
          415     84.18673          40
          416     84.82051          40
          417    151.84789          40
          418     84.25412          40
          419    158.20336          40
          420     84.54053          40
          421    154.93351          40
          422     84.46264          40
          423    153.68278          40
          424     84.22333          40
          425    155.01044          40
          426     84.66295          40
