# Baseline 950862, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,1989672,0,2.0924929170
0,1,950.0000000000,1989791,0,2.0926180666
0,2,950.0000000000,1990085,0,2.0929272597
0,3,950.0000000000,1990564,0,2.0934310131
0,4,950.0000000000,1989503,0,2.0923151835
0,5,950.0000000000,1989979,0,2.0928157819
0,6,950.0000000000,1989283,0,2.0920838145
0,7,950.0000000000,1989563,0,2.0923782841
0,8,950.0000000000,1989378,0,2.0921837238
0,9,950.0000000000,1989799,0,2.0926264800
0,10,950.0000000000,1990593,0,2.0934615118
0,11,950.0000000000,1990110,0,2.0929535516
0,12,950.0000000000,1989747,0,2.0925717928
0,13,950.0000000000,1989114,0,2.0919060810
0,14,950.0000000000,1989949,0,2.0927842316
0,15,950.0000000000,1990258,0,2.0931091999
0,16,950.0000000000,1989524,0,2.0923372687
0,17,950.0000000000,1989939,0,2.0927737148
0,18,950.0000000000,1990359,0,2.0932154193
0,19,950.0000000000,1989636,0,2.0924550566
0,20,950.0000000000,1989033,0,2.0918208951
0,21,950.0000000000,1989666,0,2.0924866069
0,22,950.0000000000,1989266,0,2.0920659360
0,23,950.0000000000,1989642,0,2.0924613666
0,24,950.0000000000,1989837,0,2.0926664437
0,25,950.0000000000,1990380,0,2.0932375045
0,26,950.0000000000,1990268,0,2.0931197166
0,27,950.0000000000,1989319,0,2.0921216749
0,28,950.0000000000,1990275,0,2.0931270784
0,29,950.0000000000,1990349,0,2.0932049025
1,0,475.0000000000,1851423,0,1.9470995791
2,0,237.5000000000,1535906,0,1.6152775061
3,0,118.7500000000,1392608,0,1.4645742495
4,0,59.3750000000,1318293,0,1.3864188494
5,0,29.6875000000,1281066,0,1.3472680578
6,0,14.8437500000,1247238,0,1.3116919174
7,0,7.4218750000,1084994,1,1.1410635823
7,1,7.4218750000,1084918,1,1.1409836548
7,2,7.4218750000,1085026,1,1.1410972360
7,3,7.4218750000,1084976,1,1.1410446521
7,4,7.4218750000,1084913,1,1.1409783964
7,5,7.4218750000,1084853,1,1.1409152958
7,6,7.4218750000,1084990,1,1.1410593756
7,7,7.4218750000,1084922,1,1.1409878615
7,8,7.4218750000,1085057,1,1.1411298380
7,9,7.4218750000,1085037,1,1.1411088044
7,10,7.4218750000,1084892,1,1.1409563112
7,11,7.4218750000,1085025,1,1.1410961843
7,12,7.4218750000,1084935,1,1.1410015333
7,13,7.4218750000,1085029,1,1.1411003910
7,14,7.4218750000,1085129,1,1.1412055587
7,15,7.4218750000,1084962,1,1.1410299286
7,16,7.4218750000,1085025,1,1.1410961843
7,17,7.4218750000,1084973,1,1.1410414971
7,18,7.4218750000,1085019,1,1.1410898742
7,19,7.4218750000,1085144,1,1.1412213339
7,20,7.4218750000,1085008,1,1.1410783058
7,21,7.4218750000,1084996,1,1.1410656857
7,22,7.4218750000,1085016,1,1.1410867192
7,23,7.4218750000,1085173,1,1.1412518325
7,24,7.4218750000,1085070,1,1.1411435098
7,25,7.4218750000,1085110,1,1.1411855769
7,26,7.4218750000,1084938,1,1.1410046884
7,27,7.4218750000,1084980,1,1.1410488588
7,28,7.4218750000,1074991,1,1.1305436541
7,29,7.4218750000,1067124,1,1.1222701086
8,0,11.1328125000,1162120,0,1.2221752473
9,0,9.2773437500,1096145,1,1.1527908361
9,1,9.2773437500,1095570,1,1.1521861216
9,2,9.2773437500,1094877,1,1.1514573093
9,3,9.2773437500,1097034,1,1.1537257772
9,4,9.2773437500,1091925,1,1.1483527578
9,5,9.2773437500,1093958,1,1.1504908178
9,6,9.2773437500,1096046,1,1.1526867200
9,7,9.2773437500,1095205,1,1.1518022594
9,8,9.2773437500,1094936,1,1.1515193582
9,9,9.2773437500,1097939,1,1.1546775452
9,10,9.2773437500,1094991,1,1.1515772005
9,11,9.2773437500,1098982,1,1.1557744447
9,12,9.2773437500,1096863,1,1.1535459404
9,13,9.2773437500,1096795,1,1.1534744264
9,14,9.2773437500,1100597,1,1.1574729035
9,15,9.2773437500,1098212,1,1.1549646531
9,16,9.2773437500,1095246,1,1.1518453782
9,17,9.2773437500,1097434,1,1.1541464482
9,18,9.2773437500,1096856,1,1.1535385787
9,19,9.2773437500,1094936,1,1.1515193582
9,20,9.2773437500,1096513,1,1.1531778534
9,21,9.2773437500,1096674,1,1.1533471734
9,22,9.2773437500,1095765,1,1.1523911987
9,23,9.2773437500,1097761,1,1.1544903467
9,24,9.2773437500,1097273,1,1.1539771281
9,25,9.2773437500,1092171,1,1.1486114704
9,26,9.2773437500,1099124,1,1.1559237828
9,27,9.2773437500,1099941,1,1.1567830032
9,28,9.2773437500,1098242,1,1.1549962034
9,29,9.2773437500,1097597,1,1.1543178716
10,0,10.2050781250,1122485,1,1.1804920167
10,1,10.2050781250,1122180,1,1.1801712551
10,2,10.2050781250,1122255,1,1.1802501309
10,3,10.2050781250,1122299,1,1.1802964047
10,4,10.2050781250,1121222,1,1.1791637483
10,5,10.2050781250,1115013,1,1.1726338838
10,6,10.2050781250,1119530,1,1.1773843102
10,7,10.2050781250,1116443,1,1.1741377823
10,8,10.2050781250,1116764,1,1.1744753708
10,9,10.2050781250,1115828,1,1.1734910008
10,10,10.2050781250,1115942,1,1.1736108920
10,11,10.2050781250,1118811,1,1.1766281542
10,12,10.2050781250,1115731,1,1.1733889881
10,13,10.2050781250,1116129,1,1.1738075557
10,14,10.2050781250,1115272,1,1.1729062682
10,15,10.2050781250,1116408,1,1.1741009736
10,16,10.2050781250,1115598,1,1.1732491150
10,17,10.2050781250,1116260,1,1.1739453254
10,18,10.2050781250,1115468,1,1.1731123970
10,19,10.2050781250,1122358,1,1.1803584537
10,20,10.2050781250,1122200,1,1.1801922887
10,21,10.2050781250,1122447,1,1.1804520530
10,22,10.2050781250,1122069,1,1.1800545190
10,23,10.2050781250,1122350,1,1.1803500403
10,24,10.2050781250,1119627,1,1.1774863229
10,25,10.2050781250,1122132,1,1.1801207746
10,26,10.2050781250,1115683,1,1.1733385076
10,27,10.2050781250,1122356,1,1.1803563503
10,28,10.2050781250,1122267,1,1.1802627511
10,29,10.2050781250,1122429,1,1.1804331228
11,0,10.6689453125,1172066,0,1.2326352299
12,0,10.4370117188,1172077,0,1.2326467984
13,0,10.3210449219,1171696,0,1.2322461093
14,0,10.2630615234,1170733,0,1.2312333441
