# Baseline 33520, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,33201.0000000000,1.0000000000,0,0,0.0000000000
0,1,950.0000000000,33355.0000000000,1.0000000000,0,0,0.0000000000
0,2,950.0000000000,33367.0000000000,1.0000000000,0,0,0.0000000000
0,3,950.0000000000,33296,1,0.9933174224
0,4,950.0000000000,33396,1,0.9963007160
0,5,950.0000000000,33411,1,0.9967482100
0,6,950.0000000000,33282,1,0.9928997613
0,7,950.0000000000,33432,1,0.9973747017
0,8,950.0000000000,33463,1,0.9982995227
0,9,950.0000000000,33345,1,0.9947792363
0,10,950.0000000000,33240,1,0.9916467780
0,11,950.0000000000,33464,1,0.9983293556
0,12,950.0000000000,33281,1,0.9928699284
0,13,950.0000000000,33499,1,0.9993735084
0,14,950.0000000000,33508,1,0.9996420048
0,15,950.0000000000,33368,1,0.9954653938
0,16,950.0000000000,33343,1,0.9947195704
0,17,950.0000000000,33508,1,0.9996420048
0,18,950.0000000000,33403,1,0.9965095465
0,19,950.0000000000,33415,1,0.9968675418
0,20,950.0000000000,33377,1,0.9957338902
0,21,950.0000000000,33405,1,0.9965692124
0,22,950.0000000000,33405,1,0.9965692124
0,23,950.0000000000,33435,1,0.9974642005
0,24,950.0000000000,33408,1,0.9966587112
0,25,950.0000000000,33437,1,0.9975238663
0,26,950.0000000000,33435,1,0.9974642005
0,27,950.0000000000,33410,1,0.9967183771
0,28,950.0000000000,33411,1,0.9967482100
0,29,950.0000000000,33492,1,0.9991646778
1,0,950.0000000000,33391,1,0.9961515513
1,1,950.0000000000,33534,1,1.0004176611
1,2,950.0000000000,33388,1,0.9960620525
1,3,950.0000000000,33185,1,0.9900059666
1,4,950.0000000000,33408,1,0.9966587112
1,5,950.0000000000,33420,1,0.9970167064
1,6,950.0000000000,33437,1,0.9975238663
1,7,950.0000000000,33368,1,0.9954653938
1,8,950.0000000000,33556,1,1.0010739857
1,9,950.0000000000,33465,1,0.9983591885
1,10,950.0000000000,33548,1,1.0008353222
1,11,950.0000000000,33455,1,0.9980608592
1,12,950.0000000000,33327,1,0.9942422434
1,13,950.0000000000,33313,1,0.9938245823
1,14,950.0000000000,33409,1,0.9966885442
1,15,950.0000000000,33318,1,0.9939737470
1,16,950.0000000000,33375,1,0.9956742243
1,17,950.0000000000,33358,1,0.9951670644
1,18,950.0000000000,33466,1,0.9983890215
1,19,950.0000000000,33438,1,0.9975536993
1,20,950.0000000000,33287,1,0.9930489260
1,21,950.0000000000,33391,1,0.9961515513
1,22,950.0000000000,33435,1,0.9974642005
1,23,950.0000000000,33405,1,0.9965692124
1,24,950.0000000000,33353,1,0.9950178998
1,25,950.0000000000,33365,1,0.9953758950
1,26,950.0000000000,33413,1,0.9968078759
1,27,950.0000000000,33400,1,0.9964200477
1,28,950.0000000000,33332,1,0.9943914081
1,29,950.0000000000,33387,1,0.9960322196
2,0,950.0000000000,33289,1,0.9931085919
2,1,950.0000000000,33321,1,0.9940632458
2,2,950.0000000000,33442,1,0.9976730310
2,3,950.0000000000,33339,1,0.9946002387
2,4,950.0000000000,33515,1,0.9998508353
2,5,950.0000000000,33532,1,1.0003579952
2,6,950.0000000000,33259,1,0.9922136038
