# Baseline 9871, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,33063,0,3.3495086617
0,1,950.0000000000,33192,0,3.3625772465
0,2,950.0000000000,33113,0,3.3545740047
0,3,950.0000000000,33246,0,3.3680478168
0,4,950.0000000000,33103,0,3.3535609361
0,5,950.0000000000,32966,0,3.3396818965
0,6,950.0000000000,33197,0,3.3630837808
0,7,950.0000000000,33189,0,3.3622733259
0,8,950.0000000000,32977,0,3.3407962719
0,9,950.0000000000,33134,0,3.3567014487
0,10,950.0000000000,32940,0,3.3370479181
0,11,950.0000000000,33171,0,3.3604498025
0,12,950.0000000000,33144,0,3.3577145173
0,13,950.0000000000,33261,0,3.3695674197
0,14,950.0000000000,33080,0,3.3512308783
0,15,950.0000000000,32965,0,3.3395805896
0,16,950.0000000000,30616,0,3.1016107790
0,17,950.0000000000,33141,0,3.3574105967
0,18,950.0000000000,33156,0,3.3589301996
0,19,950.0000000000,33275,0,3.3709857157
0,20,950.0000000000,33058,0,3.3490021274
0,21,950.0000000000,33001,0,3.3432276365
0,22,950.0000000000,33149,0,3.3582210516
0,23,950.0000000000,33180,0,3.3613615642
0,24,950.0000000000,33299,0,3.3734170803
0,25,950.0000000000,33136,0,3.3569040624
0,26,950.0000000000,33131,0,3.3563975281
0,27,950.0000000000,33137,0,3.3570053693
0,28,950.0000000000,33553,0,3.3991490224
0,29,950.0000000000,33321,0,3.3756458312
1,0,475.0000000000,28617,0,2.8990983690
2,0,237.5000000000,21229,0,2.1506432986
3,0,118.7500000000,19546,0,1.9801438557
4,0,59.3750000000,18234,0,1.8472292574
5,0,29.6875000000,17562,0,1.7791510485
6,0,14.8437500000,17394,0,1.7621314963
7,0,7.4218750000,12178,0,1.2337149225
8,0,3.7109375000,10939,1,1.1081957249
8,1,3.7109375000,10953,1,1.1096140209
8,2,3.7109375000,10948,1,1.1091074866
8,3,3.7109375000,10951,1,1.1094114072
8,4,3.7109375000,10948,1,1.1091074866
8,5,3.7109375000,10959,1,1.1102218620
8,6,3.7109375000,10947,1,1.1090061797
8,7,3.7109375000,10942,1,1.1084996454
8,8,3.7109375000,10928,1,1.1070813494
8,9,3.7109375000,10944,1,1.1087022591
8,10,3.7109375000,10935,1,1.1077904974
8,11,3.7109375000,10955,1,1.1098166346
8,12,3.7109375000,10957,1,1.1100192483
8,13,3.7109375000,10954,1,1.1097153277
8,14,3.7109375000,10945,1,1.1088035660
8,15,3.7109375000,11125,1,1.1270388005
8,16,3.7109375000,10946,1,1.1089048729
8,17,3.7109375000,10955,1,1.1098166346
8,18,3.7109375000,10955,1,1.1098166346
8,19,3.7109375000,10937,1,1.1079931111
8,20,3.7109375000,10937,1,1.1079931111
8,21,3.7109375000,10942,1,1.1084996454
8,22,3.7109375000,10927,1,1.1069800425
8,23,3.7109375000,10946,1,1.1089048729
8,24,3.7109375000,10945,1,1.1088035660
8,25,3.7109375000,10948,1,1.1091074866
8,26,3.7109375000,10946,1,1.1089048729
8,27,3.7109375000,11069,1,1.1213656165
8,28,3.7109375000,10965,1,1.1108297032
8,29,3.7109375000,10944,1,1.1087022591
9,0,5.5664062500,11870,0,1.2025124101
10,0,4.6386718750,11820,1,1.1974470672
10,1,4.6386718750,11692,1,1.1844797893
10,2,4.6386718750,11718,1,1.1871137676
10,3,4.6386718750,11700,1,1.1852902441
10,4,4.6386718750,11732,1,1.1885320636
10,5,4.6386718750,11716,1,1.1869111539
10,6,4.6386718750,11706,1,1.1858980853
10,7,4.6386718750,11710,1,1.1863033127
10,8,4.6386718750,11749,1,1.1902542802
10,9,4.6386718750,11708,1,1.1861006990
10,10,4.6386718750,11727,1,1.1880255293
10,11,4.6386718750,11716,1,1.1869111539
10,12,4.6386718750,11723,1,1.1876203019
10,13,4.6386718750,11707,1,1.1859993922
10,14,4.6386718750,11706,1,1.1858980853
10,15,4.6386718750,11706,1,1.1858980853
10,16,4.6386718750,11715,1,1.1868098470
10,17,4.6386718750,11692,1,1.1844797893
10,18,4.6386718750,11701,1,1.1853915510
10,19,4.6386718750,11778,1,1.1931921791
10,20,4.6386718750,11776,1,1.1929895654
10,21,4.6386718750,11719,1,1.1872150745
10,22,4.6386718750,11714,1,1.1867085402
10,23,4.6386718750,11712,1,1.1865059265
10,24,4.6386718750,11700,1,1.1852902441
10,25,4.6386718750,11869,0,1.2024111032
11,0,4.1748046875,11223,1,1.1369668727
11,1,4.1748046875,11227,1,1.1373721001
11,2,4.1748046875,11226,1,1.1372707932
11,3,4.1748046875,11231,1,1.1377773275
11,4,4.1748046875,11230,1,1.1376760207
11,5,4.1748046875,11323,1,1.1470975585
11,6,4.1748046875,11228,1,1.1374734069
11,7,4.1748046875,11258,1,1.1405126127
11,8,4.1748046875,11225,1,1.1371694864
11,9,4.1748046875,11237,1,1.1383851687
11,10,4.1748046875,11234,1,1.1380812481
11,11,4.1748046875,11237,1,1.1383851687
11,12,4.1748046875,11225,1,1.1371694864
11,13,4.1748046875,11233,1,1.1379799412
11,14,4.1748046875,11222,1,1.1368655658
11,15,4.1748046875,11280,1,1.1427413636
11,16,4.1748046875,11229,1,1.1375747138
11,17,4.1748046875,11227,1,1.1373721001
11,18,4.1748046875,11227,1,1.1373721001
11,19,4.1748046875,11216,1,1.1362577246
11,20,4.1748046875,11210,1,1.1356498835
11,21,4.1748046875,11243,1,1.1389930098
11,22,4.1748046875,11248,1,1.1394995441
11,23,4.1748046875,11222,1,1.1368655658
11,24,4.1748046875,11226,1,1.1372707932
11,25,4.1748046875,11230,1,1.1376760207
11,26,4.1748046875,11310,1,1.1457805693
11,27,4.1748046875,11228,1,1.1374734069
11,28,4.1748046875,11227,1,1.1373721001
11,29,4.1748046875,11229,1,1.1375747138
12,0,4.4067382812,11564,1,1.1715125114
12,1,4.4067382812,11576,1,1.1727281937
12,2,4.4067382812,11596,1,1.1747543309
12,3,4.4067382812,11697,1,1.1849863236
12,4,4.4067382812,11561,1,1.1712085908
12,5,4.4067382812,11584,1,1.1735386486
12,6,4.4067382812,11573,1,1.1724242731
12,7,4.4067382812,11575,1,1.1726268868
12,8,4.4067382812,11573,1,1.1724242731
