# Baseline 9857, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,34130,0,3.4625139495
0,1,950.0000000000,34090,0,3.4584559197
0,2,950.0000000000,33978,0,3.4470934361
0,3,950.0000000000,34025,0,3.4518616212
0,4,950.0000000000,34070,0,3.4564269047
0,5,950.0000000000,34125,0,3.4620066957
0,6,950.0000000000,33984,0,3.4477021406
0,7,950.0000000000,34152,0,3.4647458659
0,8,950.0000000000,33935,0,3.4427310541
0,9,950.0000000000,33918,0,3.4410063914
0,10,950.0000000000,33840,0,3.4330932332
0,11,950.0000000000,34025,0,3.4518616212
0,12,950.0000000000,34024,0,3.4517601704
0,13,950.0000000000,34122,0,3.4617023435
0,14,950.0000000000,34035,0,3.4528761286
0,15,950.0000000000,33948,0,3.4440499138
0,16,950.0000000000,34057,0,3.4551080450
0,17,950.0000000000,34022,0,3.4515572689
0,18,950.0000000000,34078,0,3.4572385107
0,19,950.0000000000,33960,0,3.4452673227
0,20,950.0000000000,34054,0,3.4548036928
0,21,950.0000000000,33795,0,3.4285279497
0,22,950.0000000000,33960,0,3.4452673227
0,23,950.0000000000,33963,0,3.4455716750
0,24,950.0000000000,33841,0,3.4331946840
0,25,950.0000000000,33957,0,3.4449629705
0,26,950.0000000000,33887,0,3.4378614183
0,27,950.0000000000,33948,0,3.4440499138
0,28,950.0000000000,33995,0,3.4488180988
0,29,950.0000000000,33968,0,3.4460789287
1,0,475.0000000000,28167,0,2.8575631531
2,0,237.5000000000,21843,0,2.2159886375
3,0,118.7500000000,20603,0,2.0901897129
4,0,59.3750000000,19289,0,1.9568834331
5,0,29.6875000000,18553,0,1.8822156843
6,0,14.8437500000,14514,0,1.4724561226
7,0,7.4218750000,12532,0,1.2713807446
8,0,3.7109375000,11070,1,1.1230597545
8,1,3.7109375000,11068,1,1.1228568530
8,2,3.7109375000,11069,1,1.1229583037
8,3,3.7109375000,11067,1,1.1227554023
8,4,3.7109375000,11067,1,1.1227554023
8,5,3.7109375000,11061,1,1.1221466978
8,6,3.7109375000,11059,1,1.1219437963
8,7,3.7109375000,11062,1,1.1222481485
8,8,3.7109375000,11068,1,1.1228568530
8,9,3.7109375000,11060,1,1.1220452470
8,10,3.7109375000,11082,1,1.1242771634
8,11,3.7109375000,11058,1,1.1218423455
8,12,3.7109375000,11177,1,1.1339149843
8,13,3.7109375000,11071,1,1.1231612052
8,14,3.7109375000,11070,1,1.1230597545
8,15,3.7109375000,11071,1,1.1231612052
8,16,3.7109375000,11065,1,1.1225525008
8,17,3.7109375000,11072,1,1.1232626560
8,18,3.7109375000,11063,1,1.1223495993
8,19,3.7109375000,11067,1,1.1227554023
8,20,3.7109375000,11158,1,1.1319874201
8,21,3.7109375000,11074,1,1.1234655575
8,22,3.7109375000,11156,1,1.1317845186
8,23,3.7109375000,11046,1,1.1206249366
8,24,3.7109375000,11069,1,1.1229583037
8,25,3.7109375000,11059,1,1.1219437963
8,26,3.7109375000,11112,1,1.1273206858
8,27,3.7109375000,11075,1,1.1235670082
8,28,3.7109375000,11122,1,1.1283351933
8,29,3.7109375000,11056,1,1.1216394440
9,0,5.5664062500,11696,1,1.1865679213
9,1,5.5664062500,11677,1,1.1846403571
9,2,5.5664062500,11628,1,1.1796692706
9,3,5.5664062500,11632,1,1.1800750736
9,4,5.5664062500,11633,1,1.1801765243
9,5,5.5664062500,11609,1,1.1777417064
9,6,5.5664062500,11614,1,1.1782489601
9,7,5.5664062500,11622,1,1.1790605661
9,8,5.5664062500,11611,1,1.1779446079
9,9,5.5664062500,11625,1,1.1793649183
9,10,5.5664062500,11641,1,1.1809881303
9,11,5.5664062500,11609,1,1.1777417064
9,12,5.5664062500,11637,1,1.1805823273
9,13,5.5664062500,11636,1,1.1804808765
9,14,5.5664062500,11627,1,1.1795678198
9,15,5.5664062500,11612,1,1.1780460586
