# Baseline 13536031, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,43213275,0,3.1924627684
0,1,950.0000000000,43206343,0,3.1919506538
0,2,950.0000000000,43207574,0,3.1920415962
0,3,950.0000000000,43196502,0,3.1912236312
0,4,950.0000000000,43206469,0,3.1919599623
0,5,950.0000000000,43109559,0,3.1848005519
0,6,950.0000000000,43202946,0,3.1916996940
0,7,950.0000000000,43209950,0,3.1922171278
0,8,950.0000000000,43214289,0,3.1925376796
0,9,950.0000000000,43213258,0,3.1924615125
0,10,950.0000000000,43199866,0,3.1914721531
0,11,950.0000000000,43208790,0,3.1921314306
0,12,950.0000000000,43203189,0,3.1917176460
0,13,950.0000000000,43204193,0,3.1917918184
0,14,950.0000000000,43211282,0,3.1923155318
0,15,950.0000000000,43209836,0,3.1922087058
0,16,950.0000000000,43209150,0,3.1921580262
0,17,950.0000000000,42583514,0,3.1459379784
0,18,950.0000000000,42583516,0,3.1459381262
0,19,950.0000000000,42580717,0,3.1457313447
0,20,950.0000000000,43188035,0,3.1905981155
0,21,950.0000000000,43185925,0,3.1904422352
0,22,950.0000000000,43191935,0,3.1908862354
0,23,950.0000000000,43195434,0,3.1911447307
0,24,950.0000000000,43189553,0,3.1907102606
0,25,950.0000000000,43189764,0,3.1907258487
0,26,950.0000000000,43180459,0,3.1900384241
0,27,950.0000000000,43184721,0,3.1903532875
0,28,950.0000000000,43197729,0,3.1913142782
0,29,950.0000000000,43197188,0,3.1912743108
1,0,475.0000000000,39137581,0,2.8913631330
2,0,237.5000000000,32031117,0,2.3663596072
3,0,118.7500000000,28623918,0,2.1146463095
4,0,59.3750000000,26881186,0,1.9858986730
5,0,29.6875000000,26032951,0,1.9232337012
6,0,14.8437500000,23333613,0,1.7238149794
7,0,7.4218750000,17860053,0,1.3194453381
8,0,3.7109375000,15331329,1,1.1326310497
8,1,3.7109375000,15332407,1,1.1327106890
8,2,3.7109375000,15332074,1,1.1326860880
8,3,3.7109375000,15330899,1,1.1325992826
8,4,3.7109375000,15328329,1,1.1324094190
8,5,3.7109375000,15331919,1,1.1326746370
8,6,3.7109375000,15332819,1,1.1327411263
8,7,3.7109375000,15333869,1,1.1328186970
8,8,3.7109375000,15329026,1,1.1324609112
8,9,3.7109375000,15321934,1,1.1319369762
8,10,3.7109375000,15328717,1,1.1324380832
8,11,3.7109375000,15326366,1,1.1322643986
8,12,3.7109375000,15320581,1,1.1318370208
8,13,3.7109375000,15330640,1,1.1325801485
8,14,3.7109375000,15328978,1,1.1324573651
8,15,3.7109375000,15329697,1,1.1325104826
8,16,3.7109375000,15339053,1,1.1332016748
8,17,3.7109375000,15330165,1,1.1325450570
8,18,3.7109375000,15331235,1,1.1326241052
8,19,3.7109375000,15337324,1,1.1330739417
8,20,3.7109375000,15333049,1,1.1327581179
8,21,3.7109375000,15324531,1,1.1321288345
8,22,3.7109375000,15338116,1,1.1331324522
8,23,3.7109375000,15332206,1,1.1326958397
8,24,3.7109375000,15329257,1,1.1324779767
8,25,3.7109375000,15336847,1,1.1330387024
8,26,3.7109375000,15329859,1,1.1325224506
8,27,3.7109375000,15324194,1,1.1321039380
8,28,3.7109375000,15331384,1,1.1326351129
8,29,3.7109375000,15327232,1,1.1323283760
9,0,5.5664062500,16480697,0,1.2175427937
10,0,4.6386718750,15670544,1,1.1576912021
10,1,4.6386718750,15670365,1,1.1576779781
10,2,4.6386718750,15667407,1,1.1574594503
10,3,4.6386718750,15665191,1,1.1572957391
10,4,4.6386718750,15662208,1,1.1570753643
10,5,4.6386718750,15671038,1,1.1577276973
10,6,4.6386718750,15670876,1,1.1577157292
10,7,4.6386718750,15668254,1,1.1575220240
10,8,4.6386718750,15659015,1,1.1568394753
10,9,4.6386718750,15670761,1,1.1577072334
10,10,4.6386718750,15668224,1,1.1575198077
10,11,4.6386718750,15664189,1,1.1572217144
10,12,4.6386718750,15671448,1,1.1577579868
10,13,4.6386718750,15668690,1,1.1575542343
10,14,4.6386718750,15669390,1,1.1576059482
10,15,4.6386718750,15671099,1,1.1577322038
10,16,4.6386718750,15670293,1,1.1576726590
10,17,4.6386718750,15668501,1,1.1575402716
10,18,4.6386718750,15668930,1,1.1575719648
10,19,4.6386718750,15672178,1,1.1578119169
10,20,4.6386718750,15671896,1,1.1577910837
10,21,4.6386718750,15669040,1,1.1575800912
10,22,4.6386718750,15670176,1,1.1576640154
10,23,4.6386718750,15670568,1,1.1576929751
10,24,4.6386718750,15669428,1,1.1576087555
10,25,4.6386718750,15668749,1,1.1575585931
10,26,4.6386718750,15670810,1,1.1577108534
10,27,4.6386718750,15668617,1,1.1575488413
10,28,4.6386718750,15668008,1,1.1575038503
10,29,4.6386718750,15665106,1,1.1572894595
11,0,5.1025390625,15932028,1,1.1770088292
11,1,5.1025390625,15925850,1,1.1765524178
11,2,5.1025390625,15930949,1,1.1769291161
11,3,5.1025390625,15926592,1,1.1766072344
11,4,5.1025390625,15927780,1,1.1766950002
11,5,5.1025390625,15927895,1,1.1767034960
11,6,5.1025390625,15927924,1,1.1767056385
11,7,5.1025390625,15922030,1,1.1762702080
11,8,5.1025390625,15925458,1,1.1765234580
11,9,5.1025390625,15928411,1,1.1767416165
11,10,5.1025390625,15929886,1,1.1768505849
11,11,5.1025390625,15927330,1,1.1766617556
11,12,5.1025390625,15927843,1,1.1766996544
11,13,5.1025390625,15926403,1,1.1765932717
11,14,5.1025390625,15927649,1,1.1766853223
11,15,5.1025390625,15918294,1,1.1759942039
11,16,5.1025390625,15926846,1,1.1766259992
11,17,5.1025390625,15925524,1,1.1765283339
11,18,5.1025390625,15925707,1,1.1765418534
11,19,5.1025390625,15926076,1,1.1765691139
11,20,5.1025390625,15921744,1,1.1762490792
11,21,5.1025390625,15926961,1,1.1766344950
11,22,5.1025390625,15925023,1,1.1764913216
11,23,5.1025390625,15926580,1,1.1766063479
11,24,5.1025390625,15927038,1,1.1766401835
11,25,5.1025390625,15923842,1,1.1764040730
11,26,5.1025390625,15925593,1,1.1765334314
11,27,5.1025390625,15927636,1,1.1766843619
11,28,5.1025390625,15923358,1,1.1763683165
11,29,5.1025390625,15925692,1,1.1765407452
12,0,5.3344726562,16463928,0,1.2163039520
13,0,5.2185058594,16470138,0,1.2167627276
14,0,5.1605224609,16459170,0,1.2159524457
