# Baseline 2172320, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,3858533,0,1.7762267990
0,1,950.0000000000,3857501,0,1.7757517309
0,2,950.0000000000,3857854,0,1.7759142299
0,3,950.0000000000,3858076,0,1.7760164248
0,4,950.0000000000,3859250,0,1.7765568609
0,5,950.0000000000,3857967,0,1.7759662481
0,6,950.0000000000,3858608,0,1.7762613243
0,7,950.0000000000,3858082,0,1.7760191869
0,8,950.0000000000,3858528,0,1.7762244973
0,9,950.0000000000,3858461,0,1.7761936547
0,10,950.0000000000,3858799,0,1.7763492487
0,11,950.0000000000,3858714,0,1.7763101201
0,12,950.0000000000,3858350,0,1.7761425573
0,13,950.0000000000,3857700,0,1.7758433380
0,14,950.0000000000,3858210,0,1.7760781100
0,15,950.0000000000,3858347,0,1.7761411763
0,16,950.0000000000,3858262,0,1.7761020476
0,17,950.0000000000,3858284,0,1.7761121750
0,18,950.0000000000,3858619,0,1.7762663880
0,19,950.0000000000,3858500,0,1.7762116079
0,20,950.0000000000,3858743,0,1.7763234698
0,21,950.0000000000,3858153,0,1.7760518708
0,22,950.0000000000,3858133,0,1.7760426641
0,23,950.0000000000,3857764,0,1.7758727996
0,24,950.0000000000,3858929,0,1.7764090926
0,25,950.0000000000,3858864,0,1.7763791707
0,26,950.0000000000,3857775,0,1.7758778633
0,27,950.0000000000,3814066,0,1.7557569787
0,28,950.0000000000,3879616,0,1.7859320910
0,29,950.0000000000,3879757,0,1.7859969986
1,0,475.0000000000,3404863,0,1.5673855601
2,0,237.5000000000,3031779,0,1.3956410658
3,0,118.7500000000,2861191,0,1.3171130404
4,0,59.3750000000,2763799,0,1.2722798667
5,0,29.6875000000,2712194,0,1.2485241585
6,0,14.8437500000,2627776,0,1.2096634013
7,0,7.4218750000,2389820,1,1.1001233704
7,1,7.4218750000,2389699,1,1.1000676696
7,2,7.4218750000,2389722,1,1.1000782573
7,3,7.4218750000,2389464,1,1.0999594903
7,4,7.4218750000,2389607,1,1.1000253186
