# Baseline 203324, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,690109,0,3.3941344849
0,1,950.0000000000,690267,0,3.3949115697
0,2,950.0000000000,689735,0,3.3922950562
0,3,950.0000000000,690448,0,3.3958017745
0,4,950.0000000000,690341,0,3.3952755208
0,5,950.0000000000,689095,0,3.3891473707
0,6,950.0000000000,690487,0,3.3959935866
0,7,950.0000000000,689498,0,3.3911294289
0,8,950.0000000000,690220,0,3.3946804116
0,9,950.0000000000,689541,0,3.3913409140
0,10,950.0000000000,689968,0,3.3934410104
0,11,950.0000000000,690349,0,3.3953148669
0,12,950.0000000000,690294,0,3.3950443627
0,13,950.0000000000,690032,0,3.3937557790
0,14,950.0000000000,690033,0,3.3937606972
0,15,950.0000000000,690136,0,3.3942672778
0,16,950.0000000000,689596,0,3.3916114182
0,17,950.0000000000,689861,0,3.3929147567
0,18,950.0000000000,689547,0,3.3913704236
0,19,950.0000000000,690025,0,3.3937213511
0,20,950.0000000000,689742,0,3.3923294840
0,21,950.0000000000,689940,0,3.3933032992
0,22,950.0000000000,690085,0,3.3940164467
0,23,950.0000000000,690053,0,3.3938590624
0,24,950.0000000000,690381,0,3.3954722512
0,25,950.0000000000,690059,0,3.3938885719
0,26,950.0000000000,689699,0,3.3921179989
0,27,950.0000000000,690051,0,3.3938492259
0,28,950.0000000000,689831,0,3.3927672090
0,29,950.0000000000,690106,0,3.3941197301
1,0,475.0000000000,599816,0,2.9500501662
2,0,237.5000000000,473709,0,2.3298233362
3,0,118.7500000000,402129,0,1.9777743896
4,0,59.3750000000,371633,0,1.8277871771
5,0,29.6875000000,355578,0,1.7488245362
6,0,14.8437500000,316642,0,1.5573272216
7,0,7.4218750000,254392,0,1.2511656273
8,0,3.7109375000,224818,1,1.1057130491
8,1,3.7109375000,224845,1,1.1058458421
8,2,3.7109375000,224849,1,1.1058655151
8,3,3.7109375000,225038,1,1.1067950660
8,4,3.7109375000,225038,1,1.1067950660
8,5,3.7109375000,224814,1,1.1056933761
8,6,3.7109375000,225156,1,1.1073754205
8,7,3.7109375000,224643,1,1.1048523539
8,8,3.7109375000,225114,1,1.1071688537
8,9,3.7109375000,225068,1,1.1069426138
8,10,3.7109375000,225048,1,1.1068442486
8,11,3.7109375000,224810,1,1.1056737031
8,12,3.7109375000,224657,1,1.1049212095
8,13,3.7109375000,225019,1,1.1067016191
8,14,3.7109375000,224896,1,1.1060966733
8,15,3.7109375000,224682,1,1.1050441660
8,16,3.7109375000,224888,1,1.1060573272
8,17,3.7109375000,224632,1,1.1047982530
8,18,3.7109375000,224597,1,1.1046261140
8,19,3.7109375000,225058,1,1.1068934312
8,20,3.7109375000,224648,1,1.1048769452
8,21,3.7109375000,225157,1,1.1073803388
8,22,3.7109375000,225080,1,1.1070016329
8,23,3.7109375000,224994,1,1.1065786626
8,24,3.7109375000,224740,1,1.1053294250
8,25,3.7109375000,225117,1,1.1071836084
8,26,3.7109375000,224833,1,1.1057868230
8,27,3.7109375000,225174,1,1.1074639492
8,28,3.7109375000,224777,1,1.1055114005
8,29,3.7109375000,224852,1,1.1058802699
9,0,5.5664062500,237065,1,1.1659469615
9,1,5.5664062500,237160,1,1.1664141961
9,2,5.5664062500,237263,1,1.1669207767
9,3,5.5664062500,237445,1,1.1678158997
9,4,5.5664062500,237639,1,1.1687700419
9,5,5.5664062500,237267,1,1.1669404497
9,6,5.5664062500,237314,1,1.1671716079
9,7,5.5664062500,237164,1,1.1664338691
9,8,5.5664062500,237163,1,1.1664289508
9,9,5.5664062500,237261,1,1.1669109402
9,10,5.5664062500,237179,1,1.1665076430
9,11,5.5664062500,237348,1,1.1673388287
9,12,5.5664062500,237287,1,1.1670388149
9,13,5.5664062500,237240,1,1.1668076567
9,14,5.5664062500,237557,1,1.1683667447
9,15,5.5664062500,237543,1,1.1682978891
9,16,5.5664062500,237278,1,1.1669945506
9,17,5.5664062500,237531,1,1.1682388700
9,18,5.5664062500,237112,1,1.1661781197
9,19,5.5664062500,237480,1,1.1679880388
