# Baseline 59990, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,191149,0,3.1863477246
0,1,950.0000000000,191118,0,3.1858309718
0,2,950.0000000000,191270,0,3.1883647275
0,3,950.0000000000,191033,0,3.1844140690
0,4,950.0000000000,191192,0,3.1870645108
0,5,950.0000000000,191259,0,3.1881813636
0,6,950.0000000000,191097,0,3.1854809135
0,7,950.0000000000,191058,0,3.1848308051
0,8,950.0000000000,190931,0,3.1827137856
0,9,950.0000000000,191060,0,3.1848641440
0,10,950.0000000000,191243,0,3.1879146524
0,11,950.0000000000,191128,0,3.1859976663
0,12,950.0000000000,191177,0,3.1868144691
0,13,950.0000000000,191177,0,3.1868144691
0,14,950.0000000000,190991,0,3.1837139523
0,15,950.0000000000,191155,0,3.1864477413
0,16,950.0000000000,191526,0,3.1926321054
0,17,950.0000000000,191329,0,3.1893482247
0,18,950.0000000000,191083,0,3.1852475413
0,19,950.0000000000,191153,0,3.1864144024
0,20,950.0000000000,191056,0,3.1847974662
0,21,950.0000000000,191270,0,3.1883647275
0,22,950.0000000000,191144,0,3.1862643774
0,23,950.0000000000,191339,0,3.1895149192
0,24,950.0000000000,191317,0,3.1891481914
0,25,950.0000000000,191120,0,3.1858643107
0,26,950.0000000000,191047,0,3.1846474412
0,27,950.0000000000,190936,0,3.1827971329
0,28,950.0000000000,191205,0,3.1872812135
0,29,950.0000000000,190953,0,3.1830805134
1,0,475.0000000000,162928,0,2.7159193199
2,0,237.5000000000,132263,0,2.2047507918
3,0,118.7500000000,120726,0,2.0124354059
4,0,59.3750000000,114514,0,1.9088848141
5,0,29.6875000000,111683,0,1.8616936156
6,0,14.8437500000,101526,0,1.6923820637
7,0,7.4218750000,71756,1,1.1961326888
7,1,7.4218750000,71896,1,1.1984664111
7,2,7.4218750000,71837,1,1.1974829138
7,3,7.4218750000,71809,1,1.1970161694
7,4,7.4218750000,71832,1,1.1973995666
7,5,7.4218750000,71968,1,1.1996666111
7,6,7.4218750000,71804,1,1.1969328221
7,7,7.4218750000,71786,1,1.1966327721
7,8,7.4218750000,71925,1,1.1989498250
7,9,7.4218750000,71776,1,1.1964660777
7,10,7.4218750000,71758,1,1.1961660277
7,11,7.4218750000,71861,1,1.1978829805
7,12,7.4218750000,71949,1,1.1993498916
7,13,7.4218750000,71797,1,1.1968161360
7,14,7.4218750000,71715,1,1.1954492415
7,15,7.4218750000,71859,1,1.1978496416
7,16,7.4218750000,71799,1,1.1968494749
7,17,7.4218750000,72111,0,1.2020503417
8,0,3.7109375000,64372,1,1.0730455076
8,1,3.7109375000,64117,1,1.0687947991
8,2,3.7109375000,64176,1,1.0697782964
8,3,3.7109375000,64099,1,1.0684947491
8,4,3.7109375000,64220,1,1.0705117520
8,5,3.7109375000,64145,1,1.0692615436
8,6,3.7109375000,64112,1,1.0687114519
8,7,3.7109375000,64148,1,1.0693115519
8,8,3.7109375000,64266,1,1.0712785464
8,9,3.7109375000,64071,1,1.0680280047
8,10,3.7109375000,64111,1,1.0686947825
8,11,3.7109375000,64164,1,1.0695782630
8,12,3.7109375000,64267,1,1.0712952159
8,13,3.7109375000,64133,1,1.0690615103
8,14,3.7109375000,64123,1,1.0688948158
8,15,3.7109375000,64082,1,1.0682113686
8,16,3.7109375000,64271,1,1.0713618936
8,17,3.7109375000,64277,1,1.0714619103
8,18,3.7109375000,64382,1,1.0732122020
8,19,3.7109375000,64200,1,1.0701783631
8,20,3.7109375000,64268,1,1.0713118853
8,21,3.7109375000,64293,1,1.0717286214
8,22,3.7109375000,65216,1,1.0871145191
8,23,3.7109375000,65242,1,1.0875479247
8,24,3.7109375000,65175,1,1.0864310718
8,25,3.7109375000,65371,1,1.0896982830
8,26,3.7109375000,65333,1,1.0890648441
8,27,3.7109375000,65195,1,1.0867644607
8,28,3.7109375000,65239,1,1.0874979163
8,29,3.7109375000,65421,1,1.0905317553
9,0,5.5664062500,69756,1,1.1627937990
9,1,5.5664062500,69846,1,1.1642940490
9,2,5.5664062500,69911,1,1.1653775629
9,3,5.5664062500,69950,1,1.1660276713
9,4,5.5664062500,69790,1,1.1633605601
9,5,5.5664062500,69849,1,1.1643440573
9,6,5.5664062500,69748,1,1.1626604434
9,7,5.5664062500,69833,1,1.1640773462
9,8,5.5664062500,69829,1,1.1640106684
9,9,5.5664062500,69885,1,1.1649441574
9,10,5.5664062500,69783,1,1.1632438740
9,11,5.5664062500,69894,1,1.1650941824
9,12,5.5664062500,69762,1,1.1628938156
9,13,5.5664062500,69938,1,1.1658276379
9,14,5.5664062500,69805,1,1.1636106018
9,15,5.5664062500,69897,1,1.1651441907
9,16,5.5664062500,69761,1,1.1628771462
9,17,5.5664062500,69802,1,1.1635605934
9,18,5.5664062500,69989,1,1.1666777796
9,19,5.5664062500,69925,1,1.1656109352
9,20,5.5664062500,69822,1,1.1638939823
9,21,5.5664062500,69877,1,1.1648108018
9,22,5.5664062500,69920,1,1.1655275879
9,23,5.5664062500,69793,1,1.1634105684
9,24,5.5664062500,69829,1,1.1640106684
9,25,5.5664062500,69752,1,1.1627271212
9,26,5.5664062500,69730,1,1.1623603934
9,27,5.5664062500,69813,1,1.1637439573
9,28,5.5664062500,70019,1,1.1671778630
9,29,5.5664062500,70046,1,1.1676279380
10,0,6.4941406250,69471,1,1.1580430072
10,1,6.4941406250,69447,1,1.1576429405
10,2,6.4941406250,69381,1,1.1565427571
10,3,6.4941406250,69452,1,1.1577262877
10,4,6.4941406250,69383,1,1.1565760960
10,5,6.4941406250,69380,1,1.1565260877
10,6,6.4941406250,69368,1,1.1563260543
10,7,6.4941406250,69337,1,1.1558093016
10,8,6.4941406250,69536,1,1.1591265211
10,9,6.4941406250,69423,1,1.1572428738
10,10,6.4941406250,69394,1,1.1567594599
10,11,6.4941406250,69391,1,1.1567094516
10,12,6.4941406250,69446,1,1.1576262710
10,13,6.4941406250,69532,1,1.1590598433
10,14,6.4941406250,69351,1,1.1560426738
10,15,6.4941406250,69388,1,1.1566594432
10,16,6.4941406250,69666,1,1.1612935489
10,17,6.4941406250,69556,1,1.1594599100
10,18,6.4941406250,69392,1,1.1567261210
10,19,6.4941406250,69388,1,1.1566594432
10,20,6.4941406250,69417,1,1.1571428571
10,21,6.4941406250,69520,1,1.1588598100
10,22,6.4941406250,69603,1,1.1602433739
10,23,6.4941406250,69497,1,1.1584764127
10,24,6.4941406250,69452,1,1.1577262877
10,25,6.4941406250,69352,1,1.1560593432
10,26,6.4941406250,69402,1,1.1568928155
10,27,6.4941406250,69406,1,1.1569594932
10,28,6.4941406250,69329,1,1.1556759460
10,29,6.4941406250,69409,1,1.1570095016
11,0,6.9580078125,70861,1,1.1812135356
11,1,6.9580078125,70926,1,1.1822970495
11,2,6.9580078125,70741,1,1.1792132022
11,3,6.9580078125,70838,1,1.1808301384
11,4,6.9580078125,70875,1,1.1814469078
11,5,6.9580078125,70774,1,1.1797632939
11,6,6.9580078125,70865,1,1.1812802134
11,7,6.9580078125,70766,1,1.1796299383
11,8,6.9580078125,70767,1,1.1796466078
11,9,6.9580078125,70830,1,1.1806967828
11,10,6.9580078125,70905,1,1.1819469912
11,11,6.9580078125,70836,1,1.1807967995
11,12,6.9580078125,70872,1,1.1813968995
11,13,6.9580078125,70780,1,1.1798633106
11,14,6.9580078125,70810,1,1.1803633939
11,15,6.9580078125,70792,1,1.1800633439
11,16,6.9580078125,70713,1,1.1787464577
11,17,6.9580078125,70694,1,1.1784297383
11,18,6.9580078125,70932,1,1.1823970662
11,19,6.9580078125,70810,1,1.1803633939
11,20,6.9580078125,70766,1,1.1796299383
11,21,6.9580078125,70804,1,1.1802633772
11,22,6.9580078125,70757,1,1.1794799133
11,23,6.9580078125,70781,1,1.1798799800
11,24,6.9580078125,70929,1,1.1823470578
11,25,6.9580078125,70832,1,1.1807301217
11,26,6.9580078125,70778,1,1.1798299717
11,27,6.9580078125,70820,1,1.1805300883
11,28,6.9580078125,70771,1,1.1797132855
11,29,6.9580078125,70772,1,1.1797299550
12,0,7.1899414062,72213,0,1.2037506251
13,0,7.0739746094,72537,0,1.2091515253
14,0,7.0159912109,72305,0,1.2052842140
