# Baseline 1162, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,2114,0,1.8192771084
0,1,950.0000000000,2104,0,1.8106712565
0,2,950.0000000000,2124,0,1.8278829604
0,3,950.0000000000,2107,0,1.8132530120
0,4,950.0000000000,2131,0,1.8339070568
0,5,950.0000000000,2112,0,1.8175559380
0,6,950.0000000000,2122,0,1.8261617900
0,7,950.0000000000,2145,0,1.8459552496
0,8,950.0000000000,2111,0,1.8166953528
0,9,950.0000000000,2132,0,1.8347676420
0,10,950.0000000000,2115,0,1.8201376936
0,11,950.0000000000,2132,0,1.8347676420
0,12,950.0000000000,2123,0,1.8270223752
0,13,950.0000000000,2138,0,1.8399311532
0,14,950.0000000000,2120,0,1.8244406196
0,15,950.0000000000,2171,0,1.8683304647
0,16,950.0000000000,2110,0,1.8158347676
0,17,950.0000000000,2126,0,1.8296041308
0,18,950.0000000000,2083,0,1.7925989673
0,19,950.0000000000,2127,0,1.8304647160
0,20,950.0000000000,2137,0,1.8390705680
0,21,950.0000000000,2141,0,1.8425129088
0,22,950.0000000000,2116,0,1.8209982788
0,23,950.0000000000,2133,0,1.8356282272
0,24,950.0000000000,2096,0,1.8037865749
0,25,950.0000000000,2137,0,1.8390705680
0,26,950.0000000000,2088,0,1.7969018933
0,27,950.0000000000,2128,0,1.8313253012
0,28,950.0000000000,2133,0,1.8356282272
0,29,950.0000000000,2126,0,1.8296041308
1,0,475.0000000000,1997,0,1.7185886403
2,0,237.5000000000,1831,0,1.5757314974
3,0,118.7500000000,1605,0,1.3812392427
4,0,59.3750000000,1554,0,1.3373493976
5,0,29.6875000000,1496,0,1.2874354561
6,0,14.8437500000,1398,0,1.2030981067
7,0,7.4218750000,1280,1,1.1015490534
7,1,7.4218750000,1277,1,1.0989672978
7,2,7.4218750000,1275,1,1.0972461274
7,3,7.4218750000,1279,1,1.1006884682
7,4,7.4218750000,1281,1,1.1024096386
7,5,7.4218750000,1280,1,1.1015490534
7,6,7.4218750000,1278,1,1.0998278830
7,7,7.4218750000,1281,1,1.1024096386
7,8,7.4218750000,1280,1,1.1015490534
7,9,7.4218750000,1280,1,1.1015490534
7,10,7.4218750000,1282,1,1.1032702238
7,11,7.4218750000,1281,1,1.1024096386
7,12,7.4218750000,1280,1,1.1015490534
7,13,7.4218750000,1279,1,1.1006884682
7,14,7.4218750000,1275,1,1.0972461274
7,15,7.4218750000,1285,1,1.1058519793
7,16,7.4218750000,1279,1,1.1006884682
7,17,7.4218750000,1278,1,1.0998278830
7,18,7.4218750000,1281,1,1.1024096386
7,19,7.4218750000,1281,1,1.1024096386
7,20,7.4218750000,1277,1,1.0989672978
7,21,7.4218750000,1278,1,1.0998278830
7,22,7.4218750000,1285,1,1.1058519793
7,23,7.4218750000,1277,1,1.0989672978
7,24,7.4218750000,1281,1,1.1024096386
7,25,7.4218750000,1280,1,1.1015490534
7,26,7.4218750000,1279,1,1.1006884682
7,27,7.4218750000,1285,1,1.1058519793
7,28,7.4218750000,1277,1,1.0989672978
7,29,7.4218750000,1279,1,1.1006884682
8,0,11.1328125000,1435,0,1.2349397590
9,0,9.2773437500,1281,1,1.1024096386
9,1,9.2773437500,1288,1,1.1084337349
9,2,9.2773437500,1282,1,1.1032702238
9,3,9.2773437500,1295,1,1.1144578313
9,4,9.2773437500,1313,1,1.1299483649
9,5,9.2773437500,1281,1,1.1024096386
9,6,9.2773437500,1282,1,1.1032702238
9,7,9.2773437500,1297,1,1.1161790017
9,8,9.2773437500,1280,1,1.1015490534
9,9,9.2773437500,1297,1,1.1161790017
9,10,9.2773437500,1288,1,1.1084337349
9,11,9.2773437500,1309,1,1.1265060241
9,12,9.2773437500,1291,1,1.1110154905
9,13,9.2773437500,1277,1,1.0989672978
9,14,9.2773437500,1280,1,1.1015490534
9,15,9.2773437500,1301,1,1.1196213425
9,16,9.2773437500,1282,1,1.1032702238
9,17,9.2773437500,1277,1,1.0989672978
9,18,9.2773437500,1286,1,1.1067125645
9,19,9.2773437500,1282,1,1.1032702238
9,20,9.2773437500,1306,1,1.1239242685
9,21,9.2773437500,1301,1,1.1196213425
9,22,9.2773437500,1308,1,1.1256454389
9,23,9.2773437500,1283,1,1.1041308090
9,24,9.2773437500,1298,1,1.1170395869
9,25,9.2773437500,1279,1,1.1006884682
9,26,9.2773437500,1329,1,1.1437177281
9,27,9.2773437500,1280,1,1.1015490534
9,28,9.2773437500,1274,1,1.0963855422
9,29,9.2773437500,1274,1,1.0963855422
10,0,10.2050781250,1560,0,1.3425129088
11,0,9.7412109375,1328,1,1.1428571429
