# Baseline 39, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,111,0,2.8461538462
0,1,950.0000000000,131,0,3.3589743590
0,2,950.0000000000,132,0,3.3846153846
0,3,950.0000000000,131,0,3.3589743590
0,4,950.0000000000,133,0,3.4102564103
0,5,950.0000000000,129,0,3.3076923077
0,6,950.0000000000,111,0,2.8461538462
0,7,950.0000000000,133,0,3.4102564103
0,8,950.0000000000,137,0,3.5128205128
0,9,950.0000000000,122,0,3.1282051282
0,10,950.0000000000,120,0,3.0769230769
0,11,950.0000000000,122,0,3.1282051282
0,12,950.0000000000,108,0,2.7692307692
0,13,950.0000000000,116,0,2.9743589744
0,14,950.0000000000,117,0,3.0000000000
0,15,950.0000000000,130,0,3.3333333333
0,16,950.0000000000,118,0,3.0256410256
0,17,950.0000000000,132,0,3.3846153846
0,18,950.0000000000,137,0,3.5128205128
0,19,950.0000000000,140,0,3.5897435897
0,20,950.0000000000,117,0,3.0000000000
0,21,950.0000000000,110,0,2.8205128205
0,22,950.0000000000,127,0,3.2564102564
0,23,950.0000000000,122,0,3.1282051282
0,24,950.0000000000,137,0,3.5128205128
0,25,950.0000000000,133,0,3.4102564103
0,26,950.0000000000,125,0,3.2051282051
0,27,950.0000000000,113,0,2.8974358974
0,28,950.0000000000,110,0,2.8205128205
0,29,950.0000000000,119,0,3.0512820513
1,0,475.0000000000,117,0,3.0000000000
2,0,237.5000000000,65,0,1.6666666667
3,0,118.7500000000,63,0,1.6153846154
4,0,59.3750000000,58,0,1.4871794872
5,0,29.6875000000,57,0,1.4615384615
6,0,14.8437500000,61,0,1.5641025641
7,0,7.4218750000,47,0,1.2051282051
8,0,3.7109375000,41,1,1.0512820513
8,1,3.7109375000,41,1,1.0512820513
8,2,3.7109375000,40,1,1.0256410256
8,3,3.7109375000,41,1,1.0512820513
8,4,3.7109375000,41,1,1.0512820513
8,5,3.7109375000,41,1,1.0512820513
8,6,3.7109375000,41,1,1.0512820513
8,7,3.7109375000,40,1,1.0256410256
8,8,3.7109375000,41,1,1.0512820513
8,9,3.7109375000,41,1,1.0512820513
8,10,3.7109375000,41,1,1.0512820513
8,11,3.7109375000,41,1,1.0512820513
8,12,3.7109375000,41,1,1.0512820513
8,13,3.7109375000,41,1,1.0512820513
8,14,3.7109375000,42,1,1.0769230769
8,15,3.7109375000,42,1,1.0769230769
8,16,3.7109375000,41,1,1.0512820513
8,17,3.7109375000,41,1,1.0512820513
8,18,3.7109375000,40,1,1.0256410256
8,19,3.7109375000,41,1,1.0512820513
8,20,3.7109375000,40,1,1.0256410256
8,21,3.7109375000,41,1,1.0512820513
8,22,3.7109375000,41,1,1.0512820513
8,23,3.7109375000,41,1,1.0512820513
8,24,3.7109375000,41,1,1.0512820513
8,25,3.7109375000,41,1,1.0512820513
8,26,3.7109375000,41,1,1.0512820513
8,27,3.7109375000,41,1,1.0512820513
8,28,3.7109375000,41,1,1.0512820513
8,29,3.7109375000,41,1,1.0512820513
9,0,5.5664062500,45,1,1.1538461538
9,1,5.5664062500,45,1,1.1538461538
9,2,5.5664062500,45,1,1.1538461538
9,3,5.5664062500,45,1,1.1538461538
9,4,5.5664062500,44,1,1.1282051282
9,5,5.5664062500,45,1,1.1538461538
9,6,5.5664062500,46,1,1.1794871795
9,7,5.5664062500,45,1,1.1538461538
9,8,5.5664062500,45,1,1.1538461538
9,9,5.5664062500,44,1,1.1282051282
9,10,5.5664062500,45,1,1.1538461538
9,11,5.5664062500,44,1,1.1282051282
9,12,5.5664062500,45,1,1.1538461538
9,13,5.5664062500,46,1,1.1794871795
9,14,5.5664062500,45,1,1.1538461538
9,15,5.5664062500,45,1,1.1538461538
9,16,5.5664062500,45,1,1.1538461538
9,17,5.5664062500,44,1,1.1282051282
9,18,5.5664062500,45,1,1.1538461538
9,19,5.5664062500,45,1,1.1538461538
9,20,5.5664062500,47,0,1.2051282051
10,0,4.6386718750,43,1,1.1025641026
10,1,4.6386718750,43,1,1.1025641026
10,2,4.6386718750,42,1,1.0769230769
10,3,4.6386718750,43,1,1.1025641026
10,4,4.6386718750,44,1,1.1282051282
10,5,4.6386718750,43,1,1.1025641026
10,6,4.6386718750,43,1,1.1025641026
10,7,4.6386718750,43,1,1.1025641026
10,8,4.6386718750,43,1,1.1025641026
10,9,4.6386718750,43,1,1.1025641026
10,10,4.6386718750,43,1,1.1025641026
10,11,4.6386718750,42,1,1.0769230769
10,12,4.6386718750,44,1,1.1282051282
10,13,4.6386718750,45,1,1.1538461538
10,14,4.6386718750,44,1,1.1282051282
10,15,4.6386718750,44,1,1.1282051282
10,16,4.6386718750,44,1,1.1282051282
10,17,4.6386718750,44,1,1.1282051282
10,18,4.6386718750,43,1,1.1025641026
10,19,4.6386718750,43,1,1.1025641026
10,20,4.6386718750,43,1,1.1025641026
10,21,4.6386718750,43,1,1.1025641026
10,22,4.6386718750,44,1,1.1282051282
10,23,4.6386718750,44,1,1.1282051282
10,24,4.6386718750,43,1,1.1025641026
10,25,4.6386718750,43,1,1.1025641026
10,26,4.6386718750,43,1,1.1025641026
10,27,4.6386718750,44,1,1.1282051282
10,28,4.6386718750,43,1,1.1025641026
10,29,4.6386718750,44,1,1.1282051282
11,0,5.1025390625,43,1,1.1025641026
11,1,5.1025390625,43,1,1.1025641026
11,2,5.1025390625,46,1,1.1794871795
11,3,5.1025390625,43,1,1.1025641026
11,4,5.1025390625,44,1,1.1282051282
11,5,5.1025390625,42,1,1.0769230769
11,6,5.1025390625,43,1,1.1025641026
11,7,5.1025390625,45,1,1.1538461538
11,8,5.1025390625,43,1,1.1025641026
11,9,5.1025390625,43,1,1.1025641026
11,10,5.1025390625,43,1,1.1025641026
11,11,5.1025390625,43,1,1.1025641026
11,12,5.1025390625,43,1,1.1025641026
11,13,5.1025390625,43,1,1.1025641026
11,14,5.1025390625,43,1,1.1025641026
11,15,5.1025390625,43,1,1.1025641026
11,16,5.1025390625,43,1,1.1025641026
11,17,5.1025390625,43,1,1.1025641026
11,18,5.1025390625,44,1,1.1282051282
11,19,5.1025390625,43,1,1.1025641026
11,20,5.1025390625,44,1,1.1282051282
11,21,5.1025390625,44,1,1.1282051282
11,22,5.1025390625,43,1,1.1025641026
11,23,5.1025390625,43,1,1.1025641026
11,24,5.1025390625,43,1,1.1025641026
11,25,5.1025390625,43,1,1.1025641026
11,26,5.1025390625,43,1,1.1025641026
11,27,5.1025390625,45,1,1.1538461538
11,28,5.1025390625,47,0,1.2051282051
12,0,4.8706054688,48,0,1.2307692308
13,0,4.7546386719,45,1,1.1538461538
13,1,4.7546386719,46,1,1.1794871795
13,2,4.7546386719,47,0,1.2051282051
14,0,4.6966552734,47,0,1.2051282051
