# Baseline 13179, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,22476,0,1.7054404735
0,1,950.0000000000,22510,0,1.7080203354
0,2,950.0000000000,22520,0,1.7087791183
0,3,950.0000000000,22498,0,1.7071097959
0,4,950.0000000000,22472,0,1.7051369603
0,5,950.0000000000,22532,0,1.7096896578
0,6,950.0000000000,22555,0,1.7114348585
0,7,950.0000000000,22436,0,1.7024053418
0,8,950.0000000000,22509,0,1.7079444571
0,9,950.0000000000,22578,0,1.7131800592
0,10,950.0000000000,22477,0,1.7055163518
0,11,950.0000000000,22527,0,1.7093102663
0,12,950.0000000000,22525,0,1.7091585098
0,13,950.0000000000,22596,0,1.7145458684
0,14,950.0000000000,22497,0,1.7070339176
0,15,950.0000000000,22557,0,1.7115866151
0,16,950.0000000000,22507,0,1.7077927005
0,17,950.0000000000,22514,0,1.7083238485
0,18,950.0000000000,22469,0,1.7049093254
0,19,950.0000000000,22438,0,1.7025570984
0,20,950.0000000000,22506,0,1.7077168222
0,21,950.0000000000,22469,0,1.7049093254
0,22,950.0000000000,22492,0,1.7066545261
0,23,950.0000000000,22508,0,1.7078685788
0,24,950.0000000000,22504,0,1.7075650656
0,25,950.0000000000,22454,0,1.7037711511
0,26,950.0000000000,22528,0,1.7093861446
0,27,950.0000000000,22459,0,1.7041505425
0,28,950.0000000000,22468,0,1.7048334472
0,29,950.0000000000,22470,0,1.7049852037
1,0,475.0000000000,20411,0,1.5487518021
2,0,237.5000000000,17959,0,1.3626982320
3,0,118.7500000000,17088,0,1.2966082404
4,0,59.3750000000,16558,0,1.2563927460
5,0,29.6875000000,16241,0,1.2323393277
6,0,14.8437500000,14922,1,1.1322558616
6,1,14.8437500000,14896,1,1.1302830260
6,2,14.8437500000,15669,1,1.1889369451
6,3,14.8437500000,14902,1,1.1307382958
6,4,14.8437500000,14904,1,1.1308900524
6,5,14.8437500000,14909,1,1.1312694438
6,6,14.8437500000,15155,1,1.1499355035
6,7,14.8437500000,15455,1,1.1726989908
6,8,14.8437500000,15352,1,1.1648835268
6,9,14.8437500000,15469,1,1.1737612869
6,10,14.8437500000,14892,1,1.1299795129
6,11,14.8437500000,14879,1,1.1289930951
6,12,14.8437500000,15663,1,1.1884816754
6,13,14.8437500000,14901,1,1.1306624175
6,14,14.8437500000,14880,1,1.1290689734
6,15,14.8437500000,14902,1,1.1307382958
6,16,14.8437500000,15002,1,1.1383261249
6,17,14.8437500000,15151,1,1.1496319903
6,18,14.8437500000,14911,1,1.1314212004
6,19,14.8437500000,14901,1,1.1306624175
6,20,14.8437500000,15496,1,1.1758100008
6,21,14.8437500000,14902,1,1.1307382958
6,22,14.8437500000,14878,1,1.1289172168
6,23,14.8437500000,14910,1,1.1313453221
6,24,14.8437500000,14904,1,1.1308900524
6,25,14.8437500000,15003,1,1.1384020032
6,26,14.8437500000,14911,1,1.1314212004
6,27,14.8437500000,15700,1,1.1912891722
6,28,14.8437500000,15682,1,1.1899233629
6,29,14.8437500000,15626,1,1.1856741786
7,0,22.2656250000,16132,0,1.2240685940
8,0,18.5546875000,15881,0,1.2050231429
9,0,16.6992187500,15876,0,1.2046437514
10,0,15.7714843750,15568,1,1.1812732377
10,1,15.7714843750,15710,1,1.1920479551
10,2,15.7714843750,15687,1,1.1903027544
10,3,15.7714843750,15653,1,1.1877228925
10,4,15.7714843750,15685,1,1.1901509978
10,5,15.7714843750,15627,1,1.1857500569
10,6,15.7714843750,15626,1,1.1856741786
10,7,15.7714843750,15590,1,1.1829425601
10,8,15.7714843750,15611,1,1.1845360042
10,9,15.7714843750,15631,1,1.1860535701
10,10,15.7714843750,15620,1,1.1852189089
10,11,15.7714843750,15659,1,1.1881781622
10,12,15.7714843750,15628,1,1.1858259352
10,13,15.7714843750,15649,1,1.1874193793
10,14,15.7714843750,15623,1,1.1854465437
10,15,15.7714843750,15665,1,1.1886334320
10,16,15.7714843750,15595,1,1.1833219516
10,17,15.7714843750,15673,1,1.1892404583
10,18,15.7714843750,15634,1,1.1862812049
10,19,15.7714843750,15641,1,1.1868123530
10,20,15.7714843750,15630,1,1.1859776918
10,21,15.7714843750,15692,1,1.1906821458
10,22,15.7714843750,15704,1,1.1915926853
10,23,15.7714843750,15637,1,1.1865088398
10,24,15.7714843750,15660,1,1.1882540405
10,25,15.7714843750,15685,1,1.1901509978
10,26,15.7714843750,15605,1,1.1840807345
10,27,15.7714843750,15672,1,1.1891645800
