# Baseline 1261, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,3782,0,2.9992069786
0,1,950.0000000000,3784,0,3.0007930214
0,2,950.0000000000,3761,0,2.9825535289
0,3,950.0000000000,3738,0,2.9643140365
0,4,950.0000000000,3783,0,3.0000000000
0,5,950.0000000000,3732,0,2.9595559080
0,6,950.0000000000,3749,0,2.9730372720
0,7,950.0000000000,3793,0,3.0079302141
0,8,950.0000000000,3790,0,3.0055511499
0,9,950.0000000000,3799,0,3.0126883426
0,10,950.0000000000,3746,0,2.9706582078
0,11,950.0000000000,3771,0,2.9904837431
0,12,950.0000000000,3710,0,2.9421094370
0,13,950.0000000000,3763,0,2.9841395718
0,14,950.0000000000,3703,0,2.9365582871
0,15,950.0000000000,3727,0,2.9555908010
0,16,950.0000000000,3769,0,2.9888977002
0,17,950.0000000000,3818,0,3.0277557494
0,18,950.0000000000,3722,0,2.9516256939
0,19,950.0000000000,3735,0,2.9619349722
0,20,950.0000000000,3744,0,2.9690721649
0,21,950.0000000000,3759,0,2.9809674861
0,22,950.0000000000,3731,0,2.9587628866
0,23,950.0000000000,3745,0,2.9698651864
0,24,950.0000000000,3807,0,3.0190325139
0,25,950.0000000000,3712,0,2.9436954798
0,26,950.0000000000,3808,0,3.0198255353
0,27,950.0000000000,3802,0,3.0150674068
0,28,950.0000000000,3769,0,2.9888977002
0,29,950.0000000000,3832,0,3.0388580492
1,0,475.0000000000,3169,0,2.5130848533
2,0,237.5000000000,2523,0,2.0007930214
3,0,118.7500000000,2163,0,1.7153053132
4,0,59.3750000000,2062,0,1.6352101507
5,0,29.6875000000,1963,0,1.5567010309
6,0,14.8437500000,1894,0,1.5019825535
7,0,7.4218750000,1428,1,1.1324345757
7,1,7.4218750000,1437,1,1.1395717684
7,2,7.4218750000,1422,1,1.1276764473
7,3,7.4218750000,1432,1,1.1356066614
7,4,7.4218750000,1427,1,1.1316415543
7,5,7.4218750000,1430,1,1.1340206186
7,6,7.4218750000,1427,1,1.1316415543
7,7,7.4218750000,1426,1,1.1308485329
7,8,7.4218750000,1491,1,1.1823949247
7,9,7.4218750000,1424,1,1.1292624901
7,10,7.4218750000,1441,1,1.1427438541
7,11,7.4218750000,1428,1,1.1324345757
7,12,7.4218750000,1432,1,1.1356066614
7,13,7.4218750000,1432,1,1.1356066614
7,14,7.4218750000,1422,1,1.1276764473
7,15,7.4218750000,1423,1,1.1284694687
7,16,7.4218750000,1425,1,1.1300555115
7,17,7.4218750000,1435,1,1.1379857256
7,18,7.4218750000,1426,1,1.1308485329
7,19,7.4218750000,1433,1,1.1363996828
7,20,7.4218750000,1424,1,1.1292624901
7,21,7.4218750000,1425,1,1.1300555115
7,22,7.4218750000,1426,1,1.1308485329
7,23,7.4218750000,1425,1,1.1300555115
7,24,7.4218750000,1428,1,1.1324345757
7,25,7.4218750000,1435,1,1.1379857256
7,26,7.4218750000,1505,1,1.1934972244
7,27,7.4218750000,1441,1,1.1427438541
7,28,7.4218750000,1424,1,1.1292624901
7,29,7.4218750000,1440,1,1.1419508327
8,0,11.1328125000,1582,0,1.2545598731
9,0,9.2773437500,1559,0,1.2363203807
10,0,8.3496093750,1465,1,1.1617763680
10,1,8.3496093750,1471,1,1.1665344964
10,2,8.3496093750,1459,1,1.1570182395
10,3,8.3496093750,1470,1,1.1657414750
10,4,8.3496093750,1458,1,1.1562252181
10,5,8.3496093750,1456,1,1.1546391753
10,6,8.3496093750,1470,1,1.1657414750
10,7,8.3496093750,1462,1,1.1593973037
10,8,8.3496093750,1465,1,1.1617763680
10,9,8.3496093750,1470,1,1.1657414750
10,10,8.3496093750,1470,1,1.1657414750
10,11,8.3496093750,1476,1,1.1704996035
10,12,8.3496093750,1477,1,1.1712926249
10,13,8.3496093750,1470,1,1.1657414750
10,14,8.3496093750,1470,1,1.1657414750
10,15,8.3496093750,1478,1,1.1720856463
10,16,8.3496093750,1470,1,1.1657414750
10,17,8.3496093750,1479,1,1.1728786677
10,18,8.3496093750,1470,1,1.1657414750
10,19,8.3496093750,1478,1,1.1720856463
10,20,8.3496093750,1499,1,1.1887390960
10,21,8.3496093750,1477,1,1.1712926249
10,22,8.3496093750,1570,0,1.2450436162
11,0,7.8857421875,1438,1,1.1403647898
11,1,7.8857421875,1439,1,1.1411578113
11,2,7.8857421875,1450,1,1.1498810468
11,3,7.8857421875,1431,1,1.1348136400
11,4,7.8857421875,1440,1,1.1419508327
11,5,7.8857421875,1432,1,1.1356066614
11,6,7.8857421875,1428,1,1.1324345757
11,7,7.8857421875,1521,0,1.2061855670
12,0,7.6538085938,1430,1,1.1340206186
12,1,7.6538085938,1437,1,1.1395717684
12,2,7.6538085938,1440,1,1.1419508327
12,3,7.6538085938,1441,1,1.1427438541
12,4,7.6538085938,1516,0,1.2022204600
13,0,7.5378417969,1431,1,1.1348136400
13,1,7.5378417969,1429,1,1.1332275971
13,2,7.5378417969,1446,1,1.1467089611
13,3,7.5378417969,1427,1,1.1316415543
13,4,7.5378417969,1431,1,1.1348136400
13,5,7.5378417969,1429,1,1.1332275971
13,6,7.5378417969,1437,1,1.1395717684
13,7,7.5378417969,1442,1,1.1435368755
13,8,7.5378417969,1464,1,1.1609833466
13,9,7.5378417969,1471,1,1.1665344964
13,10,7.5378417969,1465,1,1.1617763680
13,11,7.5378417969,1476,1,1.1704996035
13,12,7.5378417969,1467,1,1.1633624108
13,13,7.5378417969,1481,1,1.1744647105
13,14,7.5378417969,1474,1,1.1689135607
13,15,7.5378417969,1484,1,1.1768437748
13,16,7.5378417969,1483,1,1.1760507534
13,17,7.5378417969,1482,1,1.1752577320
13,18,7.5378417969,1455,1,1.1538461538
13,19,7.5378417969,1459,1,1.1570182395
13,20,7.5378417969,1459,1,1.1570182395
13,21,7.5378417969,1466,1,1.1625693894
13,22,7.5378417969,1466,1,1.1625693894
13,23,7.5378417969,1458,1,1.1562252181
13,24,7.5378417969,1455,1,1.1538461538
13,25,7.5378417969,1450,1,1.1498810468
13,26,7.5378417969,1457,1,1.1554321967
13,27,7.5378417969,1463,1,1.1601903251
13,28,7.5378417969,1456,1,1.1546391753
13,29,7.5378417969,1456,1,1.1546391753
14,0,7.5958251953,1454,1,1.1530531324
14,1,7.5958251953,1456,1,1.1546391753
14,2,7.5958251953,1461,1,1.1586042823
14,3,7.5958251953,1467,1,1.1633624108
14,4,7.5958251953,1463,1,1.1601903251
14,5,7.5958251953,1473,1,1.1681205393
14,6,7.5958251953,1470,1,1.1657414750
14,7,7.5958251953,1455,1,1.1538461538
14,8,7.5958251953,1474,1,1.1689135607
14,9,7.5958251953,1463,1,1.1601903251
14,10,7.5958251953,1468,1,1.1641554322
14,11,7.5958251953,1463,1,1.1601903251
14,12,7.5958251953,1470,1,1.1657414750
14,13,7.5958251953,1456,1,1.1546391753
14,14,7.5958251953,1456,1,1.1546391753
14,15,7.5958251953,1452,1,1.1514670896
14,16,7.5958251953,1449,1,1.1490880254
14,17,7.5958251953,1460,1,1.1578112609
14,18,7.5958251953,1461,1,1.1586042823
14,19,7.5958251953,1457,1,1.1554321967
14,20,7.5958251953,1470,1,1.1657414750
14,21,7.5958251953,1468,1,1.1641554322
14,22,7.5958251953,1477,1,1.1712926249
14,23,7.5958251953,1471,1,1.1665344964
14,24,7.5958251953,1471,1,1.1665344964
14,25,7.5958251953,1471,1,1.1665344964
14,26,7.5958251953,1461,1,1.1586042823
14,27,7.5958251953,1468,1,1.1641554322
14,28,7.5958251953,1464,1,1.1609833466
14,29,7.5958251953,1465,1,1.1617763680
