# Baseline 8410, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,15037,0,1.7879904875
0,1,950.0000000000,15092,0,1.7945303210
0,2,950.0000000000,15058,0,1.7904875149
0,3,950.0000000000,15064,0,1.7912009512
0,4,950.0000000000,15039,0,1.7882282996
0,5,950.0000000000,15100,0,1.7954815696
0,6,950.0000000000,15089,0,1.7941736029
0,7,950.0000000000,15068,0,1.7916765755
0,8,950.0000000000,15047,0,1.7891795482
0,9,950.0000000000,15070,0,1.7919143876
0,10,950.0000000000,15061,0,1.7908442331
0,11,950.0000000000,15068,0,1.7916765755
0,12,950.0000000000,15037,0,1.7879904875
0,13,950.0000000000,15033,0,1.7875148633
0,14,950.0000000000,15073,0,1.7922711058
0,15,950.0000000000,15060,0,1.7907253270
0,16,950.0000000000,15038,0,1.7881093936
0,17,950.0000000000,15071,0,1.7920332937
0,18,950.0000000000,15025,0,1.7865636147
0,19,950.0000000000,15097,0,1.7951248514
0,20,950.0000000000,15020,0,1.7859690844
0,21,950.0000000000,15100,0,1.7954815696
0,22,950.0000000000,15071,0,1.7920332937
0,23,950.0000000000,15079,0,1.7929845422
0,24,950.0000000000,15079,0,1.7929845422
0,25,950.0000000000,15048,0,1.7892984542
0,26,950.0000000000,15075,0,1.7925089180
0,27,950.0000000000,15079,0,1.7929845422
0,28,950.0000000000,15075,0,1.7925089180
0,29,950.0000000000,15033,0,1.7875148633
1,0,475.0000000000,13603,0,1.6174791914
2,0,237.5000000000,12239,0,1.4552913199
3,0,118.7500000000,11421,0,1.3580261593
4,0,59.3750000000,10746,0,1.2777645660
5,0,29.6875000000,10681,0,1.2700356718
6,0,14.8437500000,10050,1,1.1950059453
6,1,14.8437500000,9990,1,1.1878715815
6,2,14.8437500000,9997,1,1.1887039239
6,3,14.8437500000,9870,1,1.1736028537
6,4,14.8437500000,9848,1,1.1709869203
6,5,14.8437500000,10028,1,1.1923900119
6,6,14.8437500000,9822,1,1.1678953627
6,7,14.8437500000,9939,1,1.1818073722
6,8,14.8437500000,10037,1,1.1934601665
6,9,14.8437500000,9845,1,1.1706302021
6,10,14.8437500000,10057,1,1.1958382878
6,11,14.8437500000,9817,1,1.1673008323
6,12,14.8437500000,9899,1,1.1770511296
6,13,14.8437500000,10041,1,1.1939357907
6,14,14.8437500000,10041,1,1.1939357907
6,15,14.8437500000,9807,1,1.1661117717
6,16,14.8437500000,9967,1,1.1851367420
6,17,14.8437500000,9822,1,1.1678953627
6,18,14.8437500000,10004,1,1.1895362663
6,19,14.8437500000,9808,1,1.1662306778
6,20,14.8437500000,9938,1,1.1816884661
6,21,14.8437500000,10016,1,1.1909631391
6,22,14.8437500000,9942,1,1.1821640904
6,23,14.8437500000,10025,1,1.1920332937
6,24,14.8437500000,9830,1,1.1688466112
6,25,14.8437500000,10047,1,1.1946492271
6,26,14.8437500000,9933,1,1.1810939358
6,27,14.8437500000,9903,1,1.1775267539
6,28,14.8437500000,10042,1,1.1940546968
6,29,14.8437500000,10053,1,1.1953626635
7,0,22.2656250000,10524,0,1.2513674197
8,0,18.5546875000,10293,0,1.2239001189
9,0,16.6992187500,10410,0,1.2378121284
10,0,15.7714843750,10206,0,1.2135552913
11,0,15.3076171875,10524,0,1.2513674197
12,0,15.0756835938,9732,1,1.1571938169
12,1,15.0756835938,9864,1,1.1728894174
12,2,15.0756835938,10638,0,1.2649227111
13,0,14.9597167969,10692,0,1.2713436385
14,0,14.9017333984,9744,1,1.1586206897
14,1,14.9017333984,9727,1,1.1565992866
14,2,14.9017333984,9743,1,1.1585017836
14,3,14.9017333984,10060,1,1.1961950059
14,4,14.9017333984,10685,0,1.2705112961
