# Baseline 778, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,2570,0,3.3033419023
0,1,950.0000000000,2575,0,3.3097686375
0,2,950.0000000000,2595,0,3.3354755784
0,3,950.0000000000,2577,0,3.3123393316
0,4,950.0000000000,2612,0,3.3573264781
0,5,950.0000000000,2598,0,3.3393316195
0,6,950.0000000000,2601,0,3.3431876607
0,7,950.0000000000,2555,0,3.2840616967
0,8,950.0000000000,2570,0,3.3033419023
0,9,950.0000000000,2601,0,3.3431876607
0,10,950.0000000000,2628,0,3.3778920308
0,11,950.0000000000,2571,0,3.3046272494
0,12,950.0000000000,2601,0,3.3431876607
0,13,950.0000000000,2620,0,3.3676092545
0,14,950.0000000000,2618,0,3.3650385604
0,15,950.0000000000,2601,0,3.3431876607
0,16,950.0000000000,2668,0,3.4293059126
0,17,950.0000000000,2588,0,3.3264781491
0,18,950.0000000000,2595,0,3.3354755784
0,19,950.0000000000,2569,0,3.3020565553
0,20,950.0000000000,2614,0,3.3598971722
0,21,950.0000000000,2610,0,3.3547557841
0,22,950.0000000000,2581,0,3.3174807198
0,23,950.0000000000,2577,0,3.3123393316
0,24,950.0000000000,2568,0,3.3007712082
0,25,950.0000000000,2628,0,3.3778920308
0,26,950.0000000000,2646,0,3.4010282776
0,27,950.0000000000,2593,0,3.3329048843
0,28,950.0000000000,2604,0,3.3470437018
0,29,950.0000000000,2599,0,3.3406169666
1,0,475.0000000000,2261,0,2.9061696658
2,0,237.5000000000,1599,0,2.0552699229
3,0,118.7500000000,1658,0,2.1311053985
4,0,59.3750000000,1479,0,1.9010282776
5,0,29.6875000000,1414,0,1.8174807198
6,0,14.8437500000,1435,0,1.8444730077
7,0,7.4218750000,935,0,1.2017994859
8,0,3.7109375000,850,1,1.0925449871
8,1,3.7109375000,856,1,1.1002570694
8,2,3.7109375000,849,1,1.0912596401
8,3,3.7109375000,850,1,1.0925449871
8,4,3.7109375000,849,1,1.0912596401
8,5,3.7109375000,850,1,1.0925449871
8,6,3.7109375000,852,1,1.0951156812
8,7,3.7109375000,847,1,1.0886889460
8,8,3.7109375000,853,1,1.0964010283
8,9,3.7109375000,851,1,1.0938303342
8,10,3.7109375000,853,1,1.0964010283
8,11,3.7109375000,848,1,1.0899742931
8,12,3.7109375000,854,1,1.0976863753
8,13,3.7109375000,850,1,1.0925449871
8,14,3.7109375000,849,1,1.0912596401
8,15,3.7109375000,849,1,1.0912596401
8,16,3.7109375000,850,1,1.0925449871
8,17,3.7109375000,848,1,1.0899742931
8,18,3.7109375000,849,1,1.0912596401
8,19,3.7109375000,853,1,1.0964010283
8,20,3.7109375000,850,1,1.0925449871
8,21,3.7109375000,852,1,1.0951156812
8,22,3.7109375000,854,1,1.0976863753
8,23,3.7109375000,900,1,1.1568123393
8,24,3.7109375000,852,1,1.0951156812
8,25,3.7109375000,852,1,1.0951156812
8,26,3.7109375000,854,1,1.0976863753
8,27,3.7109375000,857,1,1.1015424165
8,28,3.7109375000,850,1,1.0925449871
8,29,3.7109375000,852,1,1.0951156812
9,0,5.5664062500,892,1,1.1465295630
9,1,5.5664062500,888,1,1.1413881748
9,2,5.5664062500,893,1,1.1478149100
9,3,5.5664062500,891,1,1.1452442159
9,4,5.5664062500,892,1,1.1465295630
9,5,5.5664062500,891,1,1.1452442159
9,6,5.5664062500,888,1,1.1413881748
9,7,5.5664062500,893,1,1.1478149100
9,8,5.5664062500,890,1,1.1439588689
9,9,5.5664062500,888,1,1.1413881748
9,10,5.5664062500,886,1,1.1388174807
9,11,5.5664062500,890,1,1.1439588689
9,12,5.5664062500,896,1,1.1516709512
9,13,5.5664062500,894,1,1.1491002571
9,14,5.5664062500,895,1,1.1503856041
9,15,5.5664062500,894,1,1.1491002571
9,16,5.5664062500,892,1,1.1465295630
9,17,5.5664062500,892,1,1.1465295630
9,18,5.5664062500,919,1,1.1812339332
9,19,5.5664062500,901,1,1.1580976864
9,20,5.5664062500,890,1,1.1439588689
9,21,5.5664062500,892,1,1.1465295630
9,22,5.5664062500,892,1,1.1465295630
9,23,5.5664062500,892,1,1.1465295630
9,24,5.5664062500,893,1,1.1478149100
9,25,5.5664062500,888,1,1.1413881748
9,26,5.5664062500,887,1,1.1401028278
9,27,5.5664062500,888,1,1.1413881748
9,28,5.5664062500,892,1,1.1465295630
9,29,5.5664062500,890,1,1.1439588689
10,0,6.4941406250,913,1,1.1735218509
10,1,6.4941406250,915,1,1.1760925450
10,2,6.4941406250,915,1,1.1760925450
10,3,6.4941406250,915,1,1.1760925450
10,4,6.4941406250,917,1,1.1786632391
10,5,6.4941406250,912,1,1.1722365039
10,6,6.4941406250,911,1,1.1709511568
10,7,6.4941406250,917,1,1.1786632391
10,8,6.4941406250,915,1,1.1760925450
10,9,6.4941406250,914,1,1.1748071979
10,10,6.4941406250,913,1,1.1735218509
10,11,6.4941406250,908,1,1.1670951157
10,12,6.4941406250,910,1,1.1696658098
10,13,6.4941406250,906,1,1.1645244216
10,14,6.4941406250,919,1,1.1812339332
10,15,6.4941406250,913,1,1.1735218509
10,16,6.4941406250,916,1,1.1773778920
10,17,6.4941406250,912,1,1.1722365039
10,18,6.4941406250,916,1,1.1773778920
10,19,6.4941406250,915,1,1.1760925450
10,20,6.4941406250,912,1,1.1722365039
10,21,6.4941406250,910,1,1.1696658098
10,22,6.4941406250,908,1,1.1670951157
10,23,6.4941406250,918,1,1.1799485861
10,24,6.4941406250,918,1,1.1799485861
10,25,6.4941406250,928,1,1.1928020566
10,26,6.4941406250,914,1,1.1748071979
10,27,6.4941406250,915,1,1.1760925450
10,28,6.4941406250,912,1,1.1722365039
10,29,6.4941406250,916,1,1.1773778920
11,0,6.9580078125,917,1,1.1786632391
11,1,6.9580078125,918,1,1.1799485861
11,2,6.9580078125,917,1,1.1786632391
11,3,6.9580078125,920,1,1.1825192802
11,4,6.9580078125,916,1,1.1773778920
11,5,6.9580078125,915,1,1.1760925450
11,6,6.9580078125,916,1,1.1773778920
11,7,6.9580078125,914,1,1.1748071979
11,8,6.9580078125,920,1,1.1825192802
11,9,6.9580078125,919,1,1.1812339332
11,10,6.9580078125,918,1,1.1799485861
11,11,6.9580078125,916,1,1.1773778920
11,12,6.9580078125,918,1,1.1799485861
11,13,6.9580078125,919,1,1.1812339332
11,14,6.9580078125,922,1,1.1850899743
11,15,6.9580078125,917,1,1.1786632391
11,16,6.9580078125,917,1,1.1786632391
11,17,6.9580078125,914,1,1.1748071979
11,18,6.9580078125,915,1,1.1760925450
11,19,6.9580078125,921,1,1.1838046272
11,20,6.9580078125,917,1,1.1786632391
11,21,6.9580078125,917,1,1.1786632391
11,22,6.9580078125,923,1,1.1863753213
11,23,6.9580078125,918,1,1.1799485861
11,24,6.9580078125,918,1,1.1799485861
11,25,6.9580078125,913,1,1.1735218509
11,26,6.9580078125,920,1,1.1825192802
11,27,6.9580078125,915,1,1.1760925450
11,28,6.9580078125,926,1,1.1902313625
11,29,6.9580078125,914,1,1.1748071979
12,0,7.1899414062,934,0,1.2005141388
13,0,7.0739746094,937,0,1.2043701799
14,0,7.0159912109,932,1,1.1979434447
14,1,7.0159912109,931,1,1.1966580977
14,2,7.0159912109,938,0,1.2056555270
