# Baseline 101564, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,186558,0,1.8368516403
0,1,950.0000000000,186614,0,1.8374030168
0,2,950.0000000000,186631,0,1.8375703990
0,3,950.0000000000,186370,0,1.8350005908
0,4,950.0000000000,186697,0,1.8382202355
0,5,950.0000000000,185227,0,1.8237466031
0,6,950.0000000000,185518,0,1.8266117916
0,7,950.0000000000,185392,0,1.8253711945
0,8,950.0000000000,185285,0,1.8243176716
0,9,950.0000000000,185206,0,1.8235398370
0,10,950.0000000000,185471,0,1.8261490292
0,11,950.0000000000,185345,0,1.8249084321
0,12,950.0000000000,185379,0,1.8252431964
0,13,950.0000000000,185380,0,1.8252530424
0,14,950.0000000000,185223,0,1.8237072191
0,15,950.0000000000,185258,0,1.8240518294
0,16,950.0000000000,185348,0,1.8249379701
0,17,950.0000000000,185308,0,1.8245441298
0,18,950.0000000000,185226,0,1.8237367571
0,19,950.0000000000,185226,0,1.8237367571
0,20,950.0000000000,185165,0,1.8231361506
0,21,950.0000000000,185202,0,1.8235004529
0,22,950.0000000000,185218,0,1.8236579891
0,23,950.0000000000,185454,0,1.8259816470
0,24,950.0000000000,185165,0,1.8231361506
0,25,950.0000000000,185342,0,1.8248788941
0,26,950.0000000000,185178,0,1.8232641487
0,27,950.0000000000,185260,0,1.8240715214
0,28,950.0000000000,185438,0,1.8258241109
0,29,950.0000000000,185539,0,1.8268185578
1,0,475.0000000000,165645,0,1.6309420661
2,0,237.5000000000,145390,0,1.4315111654
3,0,118.7500000000,135466,0,1.3337993777
4,0,59.3750000000,130764,0,1.2875034461
5,0,29.6875000000,127802,0,1.2583395691
6,0,14.8437500000,120058,1,1.1820920799
6,1,14.8437500000,122304,0,1.2042062148
7,0,7.4218750000,112007,1,1.1028218660
7,1,7.4218750000,112031,1,1.1030581702
7,2,7.4218750000,112024,1,1.1029892482
7,3,7.4218750000,112026,1,1.1030089402
7,4,7.4218750000,112065,1,1.1033929345
7,5,7.4218750000,112016,1,1.1029104801
7,6,7.4218750000,112015,1,1.1029006341
7,7,7.4218750000,112029,1,1.1030384782
7,8,7.4218750000,112007,1,1.1028218660
7,9,7.4218750000,112019,1,1.1029400181
7,10,7.4218750000,112056,1,1.1033043204
7,11,7.4218750000,112067,1,1.1034126265
7,12,7.4218750000,111995,1,1.1027037139
7,13,7.4218750000,112006,1,1.1028120200
7,14,7.4218750000,111992,1,1.1026741759
7,15,7.4218750000,112068,1,1.1034224725
7,16,7.4218750000,112020,1,1.1029498641
7,17,7.4218750000,112031,1,1.1030581702
7,18,7.4218750000,112002,1,1.1027726360
7,19,7.4218750000,112033,1,1.1030778622
7,20,7.4218750000,112016,1,1.1029104801
7,21,7.4218750000,112025,1,1.1029990942
7,22,7.4218750000,111988,1,1.1026347919
7,23,7.4218750000,112027,1,1.1030187862
7,24,7.4218750000,112018,1,1.1029301721
7,25,7.4218750000,112052,1,1.1032649364
7,26,7.4218750000,112031,1,1.1030581702
7,27,7.4218750000,112070,1,1.1034421645
7,28,7.4218750000,112021,1,1.1029597101
7,29,7.4218750000,112049,1,1.1032353984
