# Baseline 11395, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,34376,0,3.0167617376
0,1,950.0000000000,34559,0,3.0328214129
0,2,950.0000000000,34569,0,3.0336989908
0,3,950.0000000000,34732,0,3.0480035103
0,4,950.0000000000,34642,0,3.0401053093
0,5,950.0000000000,34698,0,3.0450197455
0,6,950.0000000000,34676,0,3.0430890742
0,7,950.0000000000,34770,0,3.0513383063
0,8,950.0000000000,34532,0,3.0304519526
0,9,950.0000000000,34613,0,3.0375603335
0,10,950.0000000000,34664,0,3.0420359807
0,11,950.0000000000,34732,0,3.0480035103
0,12,950.0000000000,34778,0,3.0520403686
0,13,950.0000000000,34709,0,3.0459850812
0,14,950.0000000000,34668,0,3.0423870118
0,15,950.0000000000,34791,0,3.0531812198
0,16,950.0000000000,34652,0,3.0409828872
0,17,950.0000000000,34722,0,3.0471259324
0,18,950.0000000000,34733,0,3.0480912681
0,19,950.0000000000,34626,0,3.0387011847
0,20,950.0000000000,34484,0,3.0262395788
0,21,950.0000000000,34631,0,3.0391399737
0,22,950.0000000000,34675,0,3.0430013164
0,23,950.0000000000,34499,0,3.0275559456
0,24,950.0000000000,34703,0,3.0454585344
0,25,950.0000000000,34771,0,3.0514260641
0,26,950.0000000000,34680,0,3.0434401053
0,27,950.0000000000,34610,0,3.0372970601
0,28,950.0000000000,34754,0,3.0499341817
0,29,950.0000000000,34631,0,3.0391399737
1,0,475.0000000000,28303,0,2.4838086880
2,0,237.5000000000,22280,0,1.9552435279
3,0,118.7500000000,19962,0,1.7518209741
4,0,59.3750000000,19411,0,1.7034664326
5,0,29.6875000000,18258,0,1.6022817025
6,0,14.8437500000,14248,0,1.2503729706
7,0,7.4218750000,13182,1,1.1568231681
7,1,7.4218750000,13163,1,1.1551557701
7,2,7.4218750000,13170,1,1.1557700746
7,3,7.4218750000,13253,1,1.1630539710
7,4,7.4218750000,13180,1,1.1566476525
7,5,7.4218750000,13169,1,1.1556823168
7,6,7.4218750000,13185,1,1.1570864414
7,7,7.4218750000,13183,1,1.1569109258
7,8,7.4218750000,13161,1,1.1549802545
