# Baseline 2314880, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,4084643,0,1.7645160872
0,1,950.0000000000,4084403,0,1.7644124101
0,2,950.0000000000,4085094,0,1.7647109137
0,3,950.0000000000,4084696,0,1.7645389826
0,4,950.0000000000,4085366,0,1.7648284144
0,5,950.0000000000,4085156,0,1.7647376970
0,6,950.0000000000,4084840,0,1.7646011888
0,7,950.0000000000,4085095,0,1.7647113457
0,8,950.0000000000,4099218,0,1.7708123099
0,9,950.0000000000,4099910,0,1.7711112455
0,10,950.0000000000,4099566,0,1.7709626417
0,11,950.0000000000,4099506,0,1.7709367224
0,12,950.0000000000,4098994,0,1.7707155447
0,13,950.0000000000,4099848,0,1.7710844623
0,14,950.0000000000,4099462,0,1.7709177150
0,15,950.0000000000,4098715,0,1.7705950200
0,16,950.0000000000,4098735,0,1.7706036598
0,17,950.0000000000,4099181,0,1.7707963264
0,18,950.0000000000,4098916,0,1.7706818496
0,19,950.0000000000,4099676,0,1.7710101604
0,20,950.0000000000,4099704,0,1.7710222560
0,21,950.0000000000,4099136,0,1.7707768869
0,22,950.0000000000,4099395,0,1.7708887718
0,23,950.0000000000,4099355,0,1.7708714923
0,24,950.0000000000,4100041,0,1.7711678359
0,25,950.0000000000,4098604,0,1.7705470694
0,26,950.0000000000,4099461,0,1.7709172830
0,27,950.0000000000,4099655,0,1.7710010886
0,28,950.0000000000,4098914,0,1.7706809856
0,29,950.0000000000,4100590,0,1.7714049972
1,0,475.0000000000,3658204,0,1.5802996268
2,0,237.5000000000,3233223,0,1.3967130046
3,0,118.7500000000,3044968,0,1.3153891346
4,0,59.3750000000,2932064,0,1.2666159801
5,0,29.6875000000,2878805,0,1.2436087400
6,0,14.8437500000,2750307,1,1.1880991671
6,1,14.8437500000,2742437,1,1.1846994229
6,2,14.8437500000,2749139,1,1.1875946053
6,3,14.8437500000,2706105,1,1.1690044408
6,4,14.8437500000,2724559,1,1.1769763443
6,5,14.8437500000,2732386,1,1.1803575131
6,6,14.8437500000,2731982,1,1.1801829900
6,7,14.8437500000,2725937,1,1.1775716236
6,8,14.8437500000,2727399,1,1.1782031898
6,9,14.8437500000,2729504,1,1.1791125242
6,10,14.8437500000,2701535,1,1.1670302564
6,11,14.8437500000,2727127,1,1.1780856891
6,12,14.8437500000,2734778,1,1.1813908280
6,13,14.8437500000,2726900,1,1.1779876279
6,14,14.8437500000,2712778,1,1.1718870957
6,15,14.8437500000,2722339,1,1.1760173314
6,16,14.8437500000,2762720,1,1.1934614321
