# Baseline 240562, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,706944,0,2.9387185008
0,1,950.0000000000,706525,0,2.9369767461
0,2,950.0000000000,706623,0,2.9373841255
0,3,950.0000000000,706539,0,2.9370349432
0,4,950.0000000000,707093,0,2.9393378838
0,5,950.0000000000,706711,0,2.9377499356
0,6,950.0000000000,706810,0,2.9381614719
0,7,950.0000000000,707068,0,2.9392339605
0,8,950.0000000000,707027,0,2.9390635262
0,9,950.0000000000,704002,0,2.9264888054
0,10,950.0000000000,704525,0,2.9286628811
0,11,950.0000000000,704159,0,2.9271414438
0,12,950.0000000000,704397,0,2.9281307937
0,13,950.0000000000,704292,0,2.9276943158
0,14,950.0000000000,704354,0,2.9279520456
0,15,950.0000000000,703818,0,2.9257239298
0,16,950.0000000000,704063,0,2.9267423783
0,17,950.0000000000,704558,0,2.9288000599
0,18,950.0000000000,704156,0,2.9271289730
0,19,950.0000000000,704584,0,2.9289081401
0,20,950.0000000000,704181,0,2.9272328963
0,21,950.0000000000,703518,0,2.9244768500
0,22,950.0000000000,704675,0,2.9292864210
0,23,950.0000000000,704064,0,2.9267465352
0,24,950.0000000000,704749,0,2.9295940340
0,25,950.0000000000,704394,0,2.9281183229
0,26,950.0000000000,704422,0,2.9282347170
0,27,950.0000000000,704103,0,2.9269086556
0,28,950.0000000000,703895,0,2.9260440136
0,29,950.0000000000,704049,0,2.9266841812
1,0,475.0000000000,627408,0,2.6080927162
2,0,237.5000000000,464635,0,1.9314563397
3,0,118.7500000000,412354,0,1.7141277509
4,0,59.3750000000,390721,0,1.6242008297
5,0,29.6875000000,375422,0,1.5606039192
6,0,14.8437500000,344937,0,1.4338798314
7,0,7.4218750000,273744,1,1.1379353348
7,1,7.4218750000,274206,1,1.1398558376
7,2,7.4218750000,274319,1,1.1403255710
7,3,7.4218750000,273802,1,1.1381764368
7,4,7.4218750000,273739,1,1.1379145501
7,5,7.4218750000,273754,1,1.1379769041
7,6,7.4218750000,274324,1,1.1403463556
7,7,7.4218750000,274269,1,1.1401177243
7,8,7.4218750000,274613,1,1.1415477091
7,9,7.4218750000,274487,1,1.1410239356
7,10,7.4218750000,274194,1,1.1398059544
7,11,7.4218750000,273777,1,1.1380725135
7,12,7.4218750000,274236,1,1.1399805456
7,13,7.4218750000,274147,1,1.1396105786
7,14,7.4218750000,274299,1,1.1402424323
7,15,7.4218750000,274033,1,1.1391366883
7,16,7.4218750000,274196,1,1.1398142683
7,17,7.4218750000,274312,1,1.1402964724
7,18,7.4218750000,274373,1,1.1405500453
7,19,7.4218750000,274208,1,1.1398641514
7,20,7.4218750000,274192,1,1.1397976405
7,21,7.4218750000,273784,1,1.1381016121
7,22,7.4218750000,274355,1,1.1404752205
7,23,7.4218750000,274348,1,1.1404461220
7,24,7.4218750000,274143,1,1.1395939508
7,25,7.4218750000,274142,1,1.1395897939
7,26,7.4218750000,274036,1,1.1391491591
7,27,7.4218750000,274155,1,1.1396438340
7,28,7.4218750000,274067,1,1.1392780240
7,29,7.4218750000,272702,1,1.1336038111
8,0,11.1328125000,304900,0,1.2674487242
9,0,9.2773437500,312384,0,1.2985592072
10,0,8.3496093750,273482,1,1.1368462184
10,1,8.3496093750,273797,1,1.1381556522
10,2,8.3496093750,273425,1,1.1366092733
10,3,8.3496093750,273444,1,1.1366882550
10,4,8.3496093750,273528,1,1.1370374373
10,5,8.3496093750,273885,1,1.1385214622
10,6,8.3496093750,273329,1,1.1362102078
10,7,8.3496093750,273475,1,1.1368171199
10,8,8.3496093750,274701,1,1.1419135192
10,9,8.3496093750,273985,1,1.1389371555
10,10,8.3496093750,274105,1,1.1394359874
10,11,8.3496093750,274232,1,1.1399639178
