# Baseline 240562, target slowdown 1.2
it,rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,0,950.0000000000,14.0000000000,10.0000000000,703182,0,2.9230801207
1,0,477.5000000000,9.5000000000,7.5000000000,535159,0,2.2246198485
2,0,241.2500000000,7.2500000000,6.2500000000,363664,0,1.5117267066
3,0,123.1250000000,6.1250000000,5.6250000000,309989,0,1.2886033538
4,0,64.0625000000,5.5625000000,5.3125000000,281687,1,1.1709538497
4,1,64.0625000000,5.5625000000,5.3125000000,282007,1,1.1722840681
4,2,64.0625000000,5.5625000000,5.3125000000,281957,1,1.1720762215
4,3,64.0625000000,5.5625000000,5.3125000000,281943,1,1.1720180245
4,4,64.0625000000,5.5625000000,5.3125000000,281726,1,1.1711159701
4,5,64.0625000000,5.5625000000,5.3125000000,282228,1,1.1732027502
4,6,64.0625000000,5.5625000000,5.3125000000,281897,1,1.1718268056
4,7,64.0625000000,5.5625000000,5.3125000000,282170,1,1.1729616481
4,8,64.0625000000,5.5625000000,5.3125000000,281877,1,1.1717436669
4,9,64.0625000000,5.5625000000,5.3125000000,281838,1,1.1715815465
4,10,64.0625000000,5.5625000000,5.3125000000,281855,1,1.1716522144
4,11,64.0625000000,5.5625000000,5.3125000000,281610,1,1.1706337659
4,12,64.0625000000,5.5625000000,5.3125000000,282017,1,1.1723256375
4,13,64.0625000000,5.5625000000,5.3125000000,281744,1,1.1711907949
4,14,64.0625000000,5.5625000000,5.3125000000,281981,1,1.1721759879
4,15,64.0625000000,5.5625000000,5.3125000000,281887,1,1.1717852362
4,16,64.0625000000,5.5625000000,5.3125000000,281795,1,1.1714027984
4,17,64.0625000000,5.5625000000,5.3125000000,281900,1,1.1718392764
4,18,64.0625000000,5.5625000000,5.3125000000,281680,1,1.1709247512
4,19,64.0625000000,5.5625000000,5.3125000000,281915,1,1.1719016303
4,20,64.0625000000,5.5625000000,5.3125000000,281849,1,1.1716272728
4,21,64.0625000000,5.5625000000,5.3125000000,281732,1,1.1711409117
4,22,64.0625000000,5.5625000000,5.3125000000,281955,1,1.1720679076
4,23,64.0625000000,5.5625000000,5.3125000000,282127,1,1.1727829000
4,24,64.0625000000,5.5625000000,5.3125000000,281924,1,1.1719390427
4,25,64.0625000000,5.5625000000,5.3125000000,281940,1,1.1720055537
4,26,64.0625000000,5.5625000000,5.3125000000,281719,1,1.1710868716
4,27,64.0625000000,5.5625000000,5.3125000000,281831,1,1.1715524480
4,28,64.0625000000,5.5625000000,5.3125000000,282320,1,1.1735851880
4,29,64.0625000000,5.5625000000,5.3125000000,281914,1,1.1718974734
5,0,93.5937500000,5.8437500000,5.4687500000,294583,0,1.2245616515
6,0,49.2968750000,5.4218750000,5.2343750000,274782,1,1.1422502307
6,1,49.2968750000,5.4218750000,5.2343750000,274777,1,1.1422294460
6,2,49.2968750000,5.4218750000,5.2343750000,274807,1,1.1423541540
6,3,49.2968750000,5.4218750000,5.2343750000,274817,1,1.1423957233
6,4,49.2968750000,5.4218750000,5.2343750000,275069,1,1.1434432703
6,5,49.2968750000,5.4218750000,5.2343750000,274753,1,1.1421296797
6,6,49.2968750000,5.4218750000,5.2343750000,274724,1,1.1420091286
6,7,49.2968750000,5.4218750000,5.2343750000,274714,1,1.1419675593
6,8,49.2968750000,5.4218750000,5.2343750000,274755,1,1.1421379935
6,9,49.2968750000,5.4218750000,5.2343750000,274745,1,1.1420964242
6,10,49.2968750000,5.4218750000,5.2343750000,274914,1,1.1427989458
6,11,49.2968750000,5.4218750000,5.2343750000,274733,1,1.1420465410
6,12,49.2968750000,5.4218750000,5.2343750000,274793,1,1.1422959570
6,13,49.2968750000,5.4218750000,5.2343750000,274845,1,1.1425121175
6,14,49.2968750000,5.4218750000,5.2343750000,274734,1,1.1420506979
6,15,49.2968750000,5.4218750000,5.2343750000,274822,1,1.1424165080
6,16,49.2968750000,5.4218750000,5.2343750000,274513,1,1.1411320159
6,17,49.2968750000,5.4218750000,5.2343750000,274357,1,1.1404835344
6,18,49.2968750000,5.4218750000,5.2343750000,274519,1,1.1411569575
6,19,49.2968750000,5.4218750000,5.2343750000,274510,1,1.1411195451
6,20,49.2968750000,5.4218750000,5.2343750000,274971,1,1.1430358910
6,21,49.2968750000,5.4218750000,5.2343750000,274881,1,1.1426617670
6,22,49.2968750000,5.4218750000,5.2343750000,274529,1,1.1411985268
6,23,49.2968750000,5.4218750000,5.2343750000,274926,1,1.1428488290
6,24,49.2968750000,5.4218750000,5.2343750000,274879,1,1.1426534532
6,25,49.2968750000,5.4218750000,5.2343750000,274913,1,1.1427947889
6,26,49.2968750000,5.4218750000,5.2343750000,274526,1,1.1411860560
6,27,49.2968750000,5.4218750000,5.2343750000,274911,1,1.1427864750
6,28,49.2968750000,5.4218750000,5.2343750000,274658,1,1.1417347711
6,29,49.2968750000,5.4218750000,5.2343750000,274880,1,1.1426576101
7,0,71.4453125000,5.6328125000,5.3515625000,294975,0,1.2261911690
8,0,38.2226562500,5.3164062500,5.1757812500,273188,1,1.1356240803
8,1,38.2226562500,5.3164062500,5.1757812500,273093,1,1.1352291717
8,2,38.2226562500,5.3164062500,5.1757812500,273067,1,1.1351210914
8,3,38.2226562500,5.3164062500,5.1757812500,273162,1,1.1355160000
8,4,38.2226562500,5.3164062500,5.1757812500,273075,1,1.1351543469
8,5,38.2226562500,5.3164062500,5.1757812500,272965,1,1.1346970843
8,6,38.2226562500,5.3164062500,5.1757812500,272854,1,1.1342356648
8,7,38.2226562500,5.3164062500,5.1757812500,273277,1,1.1359940473
8,8,38.2226562500,5.3164062500,5.1757812500,272911,1,1.1344726100
8,9,38.2226562500,5.3164062500,5.1757812500,272878,1,1.1343354312
