# Baseline 84099, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,149325,0,1.7755859166
0,1,950.0000000000,149259,0,1.7748011272
0,2,950.0000000000,149412,0,1.7766204117
0,3,950.0000000000,149299,0,1.7752767572
0,4,950.0000000000,149429,0,1.7768225544
0,5,950.0000000000,149503,0,1.7777024697
0,6,950.0000000000,149232,0,1.7744800771
0,7,950.0000000000,149391,0,1.7763707060
0,8,950.0000000000,149415,0,1.7766560839
0,9,950.0000000000,149349,0,1.7758712945
0,10,950.0000000000,148323,0,1.7636713873
0,11,950.0000000000,148304,0,1.7634454631
0,12,950.0000000000,148226,0,1.7625179848
0,13,950.0000000000,148125,0,1.7613170192
0,14,950.0000000000,148234,0,1.7626131107
0,15,950.0000000000,148307,0,1.7634811353
0,16,950.0000000000,148256,0,1.7628747072
0,17,950.0000000000,148282,0,1.7631838666
0,18,950.0000000000,148165,0,1.7617926491
0,19,950.0000000000,148101,0,1.7610316413
0,20,950.0000000000,148188,0,1.7620661363
0,21,950.0000000000,148267,0,1.7630055054
0,22,950.0000000000,148294,0,1.7633265556
0,23,950.0000000000,148216,0,1.7623990773
0,24,950.0000000000,148283,0,1.7631957574
0,25,950.0000000000,148231,0,1.7625774385
0,26,950.0000000000,148370,0,1.7642302524
0,27,950.0000000000,148243,0,1.7627201275
0,28,950.0000000000,148338,0,1.7638497485
0,29,950.0000000000,148172,0,1.7618758844
1,0,475.0000000000,134966,0,1.6048466688
2,0,237.5000000000,117236,0,1.3940237102
3,0,118.7500000000,110071,0,1.3088265021
4,0,59.3750000000,106271,0,1.2636416604
5,0,29.6875000000,103782,0,1.2340455891
6,0,14.8437500000,99200,1,1.1795621827
6,1,14.8437500000,99858,1,1.1873862947
6,2,14.8437500000,97602,1,1.1605607677
6,3,14.8437500000,97476,1,1.1590625334
6,4,14.8437500000,99999,1,1.1890628902
6,5,14.8437500000,98103,1,1.1665180323
6,6,14.8437500000,99187,1,1.1794076029
6,7,14.8437500000,99533,1,1.1835218017
6,8,14.8437500000,100917,1,1.1999785967
6,9,14.8437500000,96471,1,1.1471123319
6,10,14.8437500000,97911,1,1.1642350087
6,11,14.8437500000,97722,1,1.1619876574
6,12,14.8437500000,97766,1,1.1625108503
6,13,14.8437500000,99268,1,1.1803707535
6,14,14.8437500000,97523,1,1.1596213986
6,15,14.8437500000,98476,1,1.1709532813
6,16,14.8437500000,99145,1,1.1789081915
6,17,14.8437500000,98127,1,1.1668034103
6,18,14.8437500000,97297,1,1.1569340896
6,19,14.8437500000,98220,1,1.1679092498
6,20,14.8437500000,96775,1,1.1507271192
6,21,14.8437500000,97601,1,1.1605488769
6,22,14.8437500000,98838,1,1.1752577320
6,23,14.8437500000,97436,1,1.1585869035
6,24,14.8437500000,97927,1,1.1644252607
6,25,14.8437500000,99414,1,1.1821068027
6,26,14.8437500000,98194,1,1.1676000904
6,27,14.8437500000,100271,1,1.1922971736
6,28,14.8437500000,97656,1,1.1612028680
6,29,14.8437500000,97843,1,1.1634264379
7,0,22.2656250000,103423,0,1.2297768107
8,0,18.5546875000,102488,0,1.2186589615
9,0,16.6992187500,102970,0,1.2243903019
10,0,15.7714843750,104780,0,1.2459125554
11,0,15.3076171875,98276,1,1.1685751317
11,1,15.3076171875,101478,0,1.2066493062
12,0,15.0756835938,103317,0,1.2285163914
13,0,14.9597167969,99773,1,1.1863755812
13,1,14.9597167969,98333,1,1.1692529043
13,2,14.9597167969,98637,1,1.1728676916
13,3,14.9597167969,102776,0,1.2220834968
14,0,14.9017333984,100698,1,1.1973745229
14,1,14.9017333984,102478,0,1.2185400540
