# Baseline 7772, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,24051,0,3.0945702522
0,1,950.0000000000,24152,0,3.1075656202
0,2,950.0000000000,23970,0,3.0841482244
0,3,950.0000000000,23965,0,3.0835048893
0,4,950.0000000000,23968,0,3.0838908904
0,5,950.0000000000,23973,0,3.0845342254
0,6,950.0000000000,23783,0,3.0600874936
0,7,950.0000000000,24191,0,3.1125836336
0,8,950.0000000000,24015,0,3.0899382398
0,9,950.0000000000,24051,0,3.0945702522
0,10,950.0000000000,23917,0,3.0773288729
0,11,950.0000000000,24117,0,3.1030622748
0,12,950.0000000000,23975,0,3.0847915594
0,13,950.0000000000,24013,0,3.0896809058
0,14,950.0000000000,23848,0,3.0684508492
0,15,950.0000000000,23917,0,3.0773288729
0,16,950.0000000000,23962,0,3.0831188883
0,17,950.0000000000,23923,0,3.0781008749
0,18,950.0000000000,23940,0,3.0802882141
0,19,950.0000000000,23950,0,3.0815748842
0,20,950.0000000000,24013,0,3.0896809058
0,21,950.0000000000,23899,0,3.0750128667
0,22,950.0000000000,23910,0,3.0764282038
0,23,950.0000000000,23976,0,3.0849202265
0,24,950.0000000000,23968,0,3.0838908904
0,25,950.0000000000,24035,0,3.0925115800
0,26,950.0000000000,24021,0,3.0907102419
0,27,950.0000000000,23973,0,3.0845342254
0,28,950.0000000000,23929,0,3.0788728770
0,29,950.0000000000,23952,0,3.0818322182
1,0,475.0000000000,19198,0,2.4701492537
2,0,237.5000000000,16765,0,2.1571024189
3,0,118.7500000000,14529,0,1.8694029851
4,0,59.3750000000,13606,0,1.7506433350
5,0,29.6875000000,13226,0,1.7017498713
6,0,14.8437500000,11941,0,1.5364127638
7,0,7.4218750000,9141,1,1.1761451364
7,1,7.4218750000,9117,1,1.1730571282
7,2,7.4218750000,9168,1,1.1796191457
7,3,7.4218750000,9091,1,1.1697117859
7,4,7.4218750000,9140,1,1.1760164694
7,5,7.4218750000,9096,1,1.1703551209
7,6,7.4218750000,9118,1,1.1731857952
7,7,7.4218750000,9080,1,1.1682964488
7,8,7.4218750000,9115,1,1.1727997941
7,9,7.4218750000,9092,1,1.1698404529
7,10,7.4218750000,9094,1,1.1700977869
7,11,7.4218750000,9086,1,1.1690684508
7,12,7.4218750000,9085,1,1.1689397838
7,13,7.4218750000,9103,1,1.1712557900
7,14,7.4218750000,9111,1,1.1722851261
7,15,7.4218750000,9102,1,1.1711271230
7,16,7.4218750000,9111,1,1.1722851261
7,17,7.4218750000,9158,1,1.1783324756
7,18,7.4218750000,9099,1,1.1707411220
7,19,7.4218750000,9100,1,1.1708697890
7,20,7.4218750000,9112,1,1.1724137931
7,21,7.4218750000,9103,1,1.1712557900
7,22,7.4218750000,9098,1,1.1706124550
7,23,7.4218750000,9093,1,1.1699691199
7,24,7.4218750000,9098,1,1.1706124550
7,25,7.4218750000,9096,1,1.1703551209
7,26,7.4218750000,9109,1,1.1720277921
7,27,7.4218750000,9154,1,1.1778178075
7,28,7.4218750000,9095,1,1.1702264539
7,29,7.4218750000,9110,1,1.1721564591
8,0,11.1328125000,10364,0,1.3335048893
9,0,9.2773437500,9401,0,1.2095985589
10,0,8.3496093750,9350,0,1.2030365414
11,0,7.8857421875,9406,0,1.2102418940
12,0,7.6538085938,9403,0,1.2098558929
13,0,7.5378417969,9402,0,1.2097272259
14,0,7.4798583984,9523,0,1.2252959341
