# Baseline 797, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,2704,0,3.3927227102
0,1,950.0000000000,2664,0,3.3425345044
0,2,950.0000000000,2675,0,3.3563362610
0,3,950.0000000000,2688,0,3.3726474279
0,4,950.0000000000,2652,0,3.3274780427
0,5,950.0000000000,2721,0,3.4140526976
0,6,950.0000000000,2695,0,3.3814303639
0,7,950.0000000000,2715,0,3.4065244668
0,8,950.0000000000,2691,0,3.3764115433
0,9,950.0000000000,2704,0,3.3927227102
0,10,950.0000000000,2664,0,3.3425345044
0,11,950.0000000000,2688,0,3.3726474279
0,12,950.0000000000,2681,0,3.3638644918
0,13,950.0000000000,2724,0,3.4178168130
0,14,950.0000000000,2653,0,3.3287327478
0,15,950.0000000000,2715,0,3.4065244668
0,16,950.0000000000,2716,0,3.4077791719
0,17,950.0000000000,2718,0,3.4102885822
0,18,950.0000000000,2673,0,3.3538268507
0,19,950.0000000000,2702,0,3.3902132999
0,20,950.0000000000,2663,0,3.3412797992
0,21,950.0000000000,2670,0,3.3500627353
0,22,950.0000000000,2669,0,3.3488080301
0,23,950.0000000000,2684,0,3.3676286073
0,24,950.0000000000,2728,0,3.4228356336
0,25,950.0000000000,2706,0,3.3952321205
0,26,950.0000000000,2650,0,3.3249686324
0,27,950.0000000000,2677,0,3.3588456713
0,28,950.0000000000,2720,0,3.4127979925
0,29,950.0000000000,2710,0,3.4002509410
1,0,475.0000000000,2436,0,3.0564617315
2,0,237.5000000000,1881,0,2.3601003764
3,0,118.7500000000,1628,0,2.0426599749
4,0,59.3750000000,1577,0,1.9786700125
5,0,29.6875000000,1502,0,1.8845671267
6,0,14.8437500000,1124,0,1.4102885822
7,0,7.4218750000,978,0,1.2271016311
8,0,3.7109375000,865,1,1.0853199498
8,1,3.7109375000,868,1,1.0890840652
8,2,3.7109375000,860,1,1.0790464241
8,3,3.7109375000,861,1,1.0803011292
8,4,3.7109375000,869,1,1.0903387704
8,5,3.7109375000,864,1,1.0840652447
8,6,3.7109375000,865,1,1.0853199498
8,7,3.7109375000,863,1,1.0828105395
8,8,3.7109375000,864,1,1.0840652447
8,9,3.7109375000,865,1,1.0853199498
8,10,3.7109375000,864,1,1.0840652447
