# Baseline 779.2, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,2684,1,1.1799451970
1,452.5000000000,9.5000000000,7.5000000000,2210,0,3.4445585216
2,228.7500000000,7.2500000000,6.2500000000,1270,0,2.8362422998
3,116.8750000000,6.1250000000,5.6250000000,1157,0,1.6298767967
4,60.9375000000,5.5625000000,5.3125000000,1001,0,1.4848562628
5,32.9687500000,5.2812500000,5.1562500000,956,0,1.2846509240
6,18.9843750000,5.1406250000,5.0781250000,952,0,1.2268993840
7,11.9921875000,5.0703125000,5.0390625000,916,0,1.2217659138
8,15.4882812500,5.1054687500,5.0585937500,928,1,1.1755646817
9,13.7402343750,5.0878906250,5.0488281250,916,1,1.1909650924
