# Baseline 19576, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,35910,0,1.8343890478
0,1,950.0000000000,35879,0,1.8328054761
0,2,950.0000000000,35798,0,1.8286677564
0,3,950.0000000000,35826,0,1.8300980793
0,4,950.0000000000,35878,0,1.8327543931
0,5,950.0000000000,35862,0,1.8319370658
0,6,950.0000000000,35802,0,1.8288720883
0,7,950.0000000000,35840,0,1.8308132407
0,8,950.0000000000,35900,0,1.8338782182
0,9,950.0000000000,35913,0,1.8345422967
0,10,950.0000000000,35955,0,1.8366877810
0,11,950.0000000000,35916,0,1.8346955456
0,12,950.0000000000,35870,0,1.8323457295
0,13,950.0000000000,35945,0,1.8361769514
0,14,950.0000000000,35891,0,1.8334184716
0,15,950.0000000000,35859,0,1.8317838169
0,16,950.0000000000,35848,0,1.8312219044
0,17,950.0000000000,35825,0,1.8300469963
0,18,950.0000000000,35886,0,1.8331630568
0,19,950.0000000000,35971,0,1.8375051083
0,20,950.0000000000,35875,0,1.8326011443
0,21,950.0000000000,35884,0,1.8330608909
0,22,950.0000000000,35772,0,1.8273395995
0,23,950.0000000000,35905,0,1.8341336330
0,24,950.0000000000,35873,0,1.8324989783
0,25,950.0000000000,35810,0,1.8292807519
0,26,950.0000000000,35837,0,1.8306599918
0,27,950.0000000000,35917,0,1.8347466285
0,28,950.0000000000,35808,0,1.8291785860
0,29,950.0000000000,35765,0,1.8269820188
1,0,475.0000000000,32400,0,1.6550878627
2,0,237.5000000000,29075,0,1.4852370249
3,0,118.7500000000,26742,0,1.3660604822
4,0,59.3750000000,25695,0,1.3125766244
5,0,29.6875000000,25458,0,1.3004699632
6,0,14.8437500000,23831,0,1.2173579894
7,0,7.4218750000,22409,1,1.1447180221
7,1,7.4218750000,22412,1,1.1448712709
7,2,7.4218750000,22437,1,1.1461483449
7,3,7.4218750000,22414,1,1.1449734369
7,4,7.4218750000,22401,1,1.1443093584
7,5,7.4218750000,22408,1,1.1446669391
7,6,7.4218750000,22432,1,1.1458929301
7,7,7.4218750000,22411,1,1.1448201880
7,8,7.4218750000,22420,1,1.1452799346
7,9,7.4218750000,22430,1,1.1457907642
7,10,7.4218750000,22390,1,1.1437474459
7,11,7.4218750000,22421,1,1.1453310176
7,12,7.4218750000,22404,1,1.1444626073
7,13,7.4218750000,22432,1,1.1458929301
7,14,7.4218750000,22438,1,1.1461994279
7,15,7.4218750000,22399,1,1.1442071925
7,16,7.4218750000,22424,1,1.1454842664
7,17,7.4218750000,22423,1,1.1454331835
