# Baseline 792, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,2554,0,3.2247474747
0,1,950.0000000000,2643,0,3.3371212121
0,2,950.0000000000,2573,0,3.2487373737
0,3,950.0000000000,2512,0,3.1717171717
0,4,950.0000000000,2598,0,3.2803030303
0,5,950.0000000000,2534,0,3.1994949495
0,6,950.0000000000,2532,0,3.1969696970
0,7,950.0000000000,2611,0,3.2967171717
0,8,950.0000000000,2550,0,3.2196969697
0,9,950.0000000000,2561,0,3.2335858586
0,10,950.0000000000,2588,0,3.2676767677
0,11,950.0000000000,2597,0,3.2790404040
0,12,950.0000000000,2621,0,3.3093434343
0,13,950.0000000000,2608,0,3.2929292929
0,14,950.0000000000,2644,0,3.3383838384
0,15,950.0000000000,2557,0,3.2285353535
0,16,950.0000000000,2547,0,3.2159090909
0,17,950.0000000000,2569,0,3.2436868687
0,18,950.0000000000,2546,0,3.2146464646
0,19,950.0000000000,2595,0,3.2765151515
0,20,950.0000000000,2544,0,3.2121212121
0,21,950.0000000000,2549,0,3.2184343434
0,22,950.0000000000,2591,0,3.2714646465
0,23,950.0000000000,2608,0,3.2929292929
0,24,950.0000000000,2602,0,3.2853535354
0,25,950.0000000000,2544,0,3.2121212121
0,26,950.0000000000,2534,0,3.1994949495
0,27,950.0000000000,2583,0,3.2613636364
0,28,950.0000000000,2564,0,3.2373737374
0,29,950.0000000000,2553,0,3.2234848485
1,0,475.0000000000,2095,0,2.6452020202
1,0,475.0000000000,2321,0,2.9305555556
2,0,237.5000000000,1811,0,2.2866161616
3,0,118.7500000000,1537,0,1.9406565657
4,0,59.3750000000,1483,0,1.8724747475
5,0,29.6875000000,1363,0,1.7209595960
6,0,14.8437500000,1197,0,1.5113636364
7,0,7.4218750000,956,0,1.2070707071
8,0,3.7109375000,861,1,1.0871212121
8,1,3.7109375000,864,1,1.0909090909
8,2,3.7109375000,865,1,1.0921717172
8,3,3.7109375000,865,1,1.0921717172
8,4,3.7109375000,863,1,1.0896464646
8,5,3.7109375000,870,1,1.0984848485
8,6,3.7109375000,862,1,1.0883838384
8,7,3.7109375000,867,1,1.0946969697
8,8,3.7109375000,861,1,1.0871212121
8,9,3.7109375000,864,1,1.0909090909
8,10,3.7109375000,862,1,1.0883838384
8,11,3.7109375000,865,1,1.0921717172
8,12,3.7109375000,864,1,1.0909090909
8,13,3.7109375000,865,1,1.0921717172
8,14,3.7109375000,863,1,1.0896464646
8,15,3.7109375000,868,1,1.0959595960
8,16,3.7109375000,865,1,1.0921717172
8,17,3.7109375000,863,1,1.0896464646
8,18,3.7109375000,864,1,1.0909090909
8,19,3.7109375000,861,1,1.0871212121
8,20,3.7109375000,864,1,1.0909090909
8,21,3.7109375000,863,1,1.0896464646
8,22,3.7109375000,864,1,1.0909090909
