# Baseline 781.5, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,2608,1,1.1755646817
1,452.5000000000,9.5000000000,7.5000000000,1967,0,3.3371721049
2,228.7500000000,7.2500000000,6.2500000000,1410,0,2.5169545745
3,116.8750000000,6.1250000000,5.6250000000,1091,0,1.8042226488
4,60.9375000000,5.5625000000,5.3125000000,985,0,1.3960332694
5,32.9687500000,5.2812500000,5.1562500000,947,0,1.2603966731
6,18.9843750000,5.1406250000,5.0781250000,922,0,1.2117722329
7,25.9765625000,5.2109375000,5.1171875000,926,1,1.1797824696
8,22.4804687500,5.1757812500,5.0976562500,935,1,1.1849008317
9,24.2285156250,5.1933593750,5.1074218750,924,1,1.1964171465
