# Baseline 1434, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,2653,0,1.8500697350
0,1,950.0000000000,2631,0,1.8347280335
0,2,950.0000000000,2622,0,1.8284518828
0,3,950.0000000000,2609,0,1.8193863319
0,4,950.0000000000,2605,0,1.8165969317
0,5,950.0000000000,2632,0,1.8354253835
0,6,950.0000000000,2618,0,1.8256624826
0,7,950.0000000000,2597,0,1.8110181311
0,8,950.0000000000,2619,0,1.8263598326
0,9,950.0000000000,2612,0,1.8214783821
0,10,950.0000000000,2620,0,1.8270571827
0,11,950.0000000000,2583,0,1.8012552301
0,12,950.0000000000,2641,0,1.8417015342
0,13,950.0000000000,2653,0,1.8500697350
0,14,950.0000000000,2642,0,1.8423988842
0,15,950.0000000000,2646,0,1.8451882845
0,16,950.0000000000,2592,0,1.8075313808
0,17,950.0000000000,2597,0,1.8110181311
0,18,950.0000000000,2612,0,1.8214783821
0,19,950.0000000000,2694,0,1.8786610879
0,20,950.0000000000,2676,0,1.8661087866
0,21,950.0000000000,2609,0,1.8193863319
0,22,950.0000000000,2651,0,1.8486750349
0,23,950.0000000000,2647,0,1.8458856346
0,24,950.0000000000,2664,0,1.8577405858
0,25,950.0000000000,2616,0,1.8242677824
0,26,950.0000000000,2632,0,1.8354253835
0,27,950.0000000000,2638,0,1.8396094840
0,28,950.0000000000,2644,0,1.8437935844
0,29,950.0000000000,2679,0,1.8682008368
1,0,475.0000000000,2436,0,1.6987447699
2,0,237.5000000000,2216,0,1.5453277545
3,0,118.7500000000,1990,0,1.3877266388
4,0,59.3750000000,1843,0,1.2852161785
5,0,29.6875000000,1793,0,1.2503486750
6,0,14.8437500000,1772,0,1.2357043236
7,0,7.4218750000,1565,1,1.0913528591
7,1,7.4218750000,1561,1,1.0885634589
7,2,7.4218750000,1560,1,1.0878661088
7,3,7.4218750000,1567,1,1.0927475593
7,4,7.4218750000,1566,1,1.0920502092
7,5,7.4218750000,1567,1,1.0927475593
7,6,7.4218750000,1568,1,1.0934449093
7,7,7.4218750000,1566,1,1.0920502092
7,8,7.4218750000,1568,1,1.0934449093
7,9,7.4218750000,1569,1,1.0941422594
7,10,7.4218750000,1567,1,1.0927475593
7,11,7.4218750000,1565,1,1.0913528591
7,12,7.4218750000,1568,1,1.0934449093
7,13,7.4218750000,1561,1,1.0885634589
7,14,7.4218750000,1565,1,1.0913528591
7,15,7.4218750000,1566,1,1.0920502092
7,16,7.4218750000,1566,1,1.0920502092
7,17,7.4218750000,1569,1,1.0941422594
7,18,7.4218750000,1566,1,1.0920502092
7,19,7.4218750000,1566,1,1.0920502092
7,20,7.4218750000,1567,1,1.0927475593
7,21,7.4218750000,1568,1,1.0934449093
7,22,7.4218750000,1566,1,1.0920502092
7,23,7.4218750000,1565,1,1.0913528591
7,24,7.4218750000,1564,1,1.0906555091
7,25,7.4218750000,1568,1,1.0934449093
7,26,7.4218750000,1563,1,1.0899581590
7,27,7.4218750000,1564,1,1.0906555091
7,28,7.4218750000,1567,1,1.0927475593
7,29,7.4218750000,1567,1,1.0927475593
8,0,11.1328125000,1627,1,1.1345885635
8,1,11.1328125000,1636,1,1.1408647141
8,2,11.1328125000,1633,1,1.1387726639
8,3,11.1328125000,1620,1,1.1297071130
8,4,11.1328125000,1636,1,1.1408647141
8,5,11.1328125000,1643,1,1.1457461646
8,6,11.1328125000,1652,1,1.1520223152
8,7,11.1328125000,1629,1,1.1359832636
8,8,11.1328125000,1626,1,1.1338912134
8,9,11.1328125000,1642,1,1.1450488145
8,10,11.1328125000,1641,1,1.1443514644
8,11,11.1328125000,1640,1,1.1436541144
8,12,11.1328125000,1628,1,1.1352859135
8,13,11.1328125000,1644,1,1.1464435146
8,14,11.1328125000,1644,1,1.1464435146
8,15,11.1328125000,1647,1,1.1485355649
8,16,11.1328125000,1627,1,1.1345885635
8,17,11.1328125000,1649,1,1.1499302650
8,18,11.1328125000,1634,1,1.1394700139
8,19,11.1328125000,1630,1,1.1366806137
8,20,11.1328125000,1623,1,1.1317991632
8,21,11.1328125000,1623,1,1.1317991632
8,22,11.1328125000,1623,1,1.1317991632
8,23,11.1328125000,1641,1,1.1443514644
8,24,11.1328125000,1624,1,1.1324965132
8,25,11.1328125000,1621,1,1.1304044630
8,26,11.1328125000,1639,1,1.1429567643
8,27,11.1328125000,1628,1,1.1352859135
8,28,11.1328125000,1641,1,1.1443514644
8,29,11.1328125000,1628,1,1.1352859135
9,0,12.9882812500,1624,1,1.1324965132
9,1,12.9882812500,1690,1,1.1785216179
9,2,12.9882812500,1670,1,1.1645746165
9,3,12.9882812500,1695,1,1.1820083682
9,4,12.9882812500,1625,1,1.1331938633
9,5,12.9882812500,1623,1,1.1317991632
9,6,12.9882812500,1684,1,1.1743375174
9,7,12.9882812500,1695,1,1.1820083682
9,8,12.9882812500,1621,1,1.1304044630
9,9,12.9882812500,1697,1,1.1834030683
9,10,12.9882812500,1677,1,1.1694560669
9,11,12.9882812500,1626,1,1.1338912134
9,12,12.9882812500,1684,1,1.1743375174
9,13,12.9882812500,1692,1,1.1799163180
9,14,12.9882812500,1617,1,1.1276150628
9,15,12.9882812500,1697,1,1.1834030683
9,16,12.9882812500,1631,1,1.1373779637
9,17,12.9882812500,1675,1,1.1680613668
9,18,12.9882812500,1671,1,1.1652719665
9,19,12.9882812500,1692,1,1.1799163180
9,20,12.9882812500,1694,1,1.1813110181
9,21,12.9882812500,1710,1,1.1924686192
9,22,12.9882812500,1626,1,1.1338912134
9,23,12.9882812500,1621,1,1.1304044630
9,24,12.9882812500,1625,1,1.1331938633
9,25,12.9882812500,1687,1,1.1764295676
9,26,12.9882812500,1617,1,1.1276150628
9,27,12.9882812500,1635,1,1.1401673640
9,28,12.9882812500,1631,1,1.1373779637
9,29,12.9882812500,1683,1,1.1736401674
10,0,13.9160156250,1666,1,1.1617852162
10,1,13.9160156250,1653,1,1.1527196653
10,2,13.9160156250,1651,1,1.1513249651
10,3,13.9160156250,1640,1,1.1436541144
10,4,13.9160156250,1648,1,1.1492329149
10,5,13.9160156250,1658,1,1.1562064156
10,6,13.9160156250,1641,1,1.1443514644
10,7,13.9160156250,1652,1,1.1520223152
10,8,13.9160156250,1658,1,1.1562064156
10,9,13.9160156250,1644,1,1.1464435146
10,10,13.9160156250,1660,1,1.1576011158
10,11,13.9160156250,1652,1,1.1520223152
10,12,13.9160156250,1647,1,1.1485355649
10,13,13.9160156250,1648,1,1.1492329149
10,14,13.9160156250,1646,1,1.1478382148
10,15,13.9160156250,1643,1,1.1457461646
10,16,13.9160156250,1654,1,1.1534170153
10,17,13.9160156250,1648,1,1.1492329149
10,18,13.9160156250,1665,1,1.1610878661
