# Baseline 161, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,538,0,3.3416149068
0,1,950.0000000000,545,0,3.3850931677
0,2,950.0000000000,548,0,3.4037267081
0,3,950.0000000000,559,0,3.4720496894
0,4,950.0000000000,550,0,3.4161490683
0,5,950.0000000000,521,0,3.2360248447
0,6,950.0000000000,535,0,3.3229813665
0,7,950.0000000000,546,0,3.3913043478
0,8,950.0000000000,543,0,3.3726708075
0,9,950.0000000000,556,0,3.4534161491
0,10,950.0000000000,559,0,3.4720496894
0,11,950.0000000000,554,0,3.4409937888
0,12,950.0000000000,555,0,3.4472049689
0,13,950.0000000000,541,0,3.3602484472
0,14,950.0000000000,560,0,3.4782608696
0,15,950.0000000000,560,0,3.4782608696
0,16,950.0000000000,584,0,3.6273291925
0,17,950.0000000000,548,0,3.4037267081
0,18,950.0000000000,548,0,3.4037267081
0,19,950.0000000000,535,0,3.3229813665
0,20,950.0000000000,536,0,3.3291925466
0,21,950.0000000000,536,0,3.3291925466
0,22,950.0000000000,562,0,3.4906832298
0,23,950.0000000000,538,0,3.3416149068
0,24,950.0000000000,509,0,3.1614906832
0,25,950.0000000000,579,0,3.5962732919
0,26,950.0000000000,554,0,3.4409937888
0,27,950.0000000000,547,0,3.3975155280
0,28,950.0000000000,540,0,3.3540372671
0,29,950.0000000000,557,0,3.4596273292
1,0,475.0000000000,474,0,2.9440993789
2,0,237.5000000000,330,0,2.0496894410
3,0,118.7500000000,354,0,2.1987577640
4,0,59.3750000000,269,0,1.6708074534
5,0,29.6875000000,308,0,1.9130434783
6,0,14.8437500000,253,0,1.5714285714
7,0,7.4218750000,204,0,1.2670807453
8,0,3.7109375000,179,1,1.1118012422
8,1,3.7109375000,181,1,1.1242236025
8,2,3.7109375000,179,1,1.1118012422
8,3,3.7109375000,179,1,1.1118012422
8,4,3.7109375000,181,1,1.1242236025
8,5,3.7109375000,180,1,1.1180124224
8,6,3.7109375000,180,1,1.1180124224
8,7,3.7109375000,180,1,1.1180124224
8,8,3.7109375000,180,1,1.1180124224
8,9,3.7109375000,179,1,1.1118012422
8,10,3.7109375000,178,1,1.1055900621
8,11,3.7109375000,179,1,1.1118012422
8,12,3.7109375000,179,1,1.1118012422
8,13,3.7109375000,179,1,1.1118012422
8,14,3.7109375000,180,1,1.1180124224
8,15,3.7109375000,179,1,1.1118012422
8,16,3.7109375000,181,1,1.1242236025
8,17,3.7109375000,181,1,1.1242236025
8,18,3.7109375000,179,1,1.1118012422
8,19,3.7109375000,180,1,1.1180124224
8,20,3.7109375000,179,1,1.1118012422
8,21,3.7109375000,179,1,1.1118012422
8,22,3.7109375000,178,1,1.1055900621
8,23,3.7109375000,180,1,1.1180124224
8,24,3.7109375000,179,1,1.1118012422
8,25,3.7109375000,179,1,1.1118012422
8,26,3.7109375000,180,1,1.1180124224
8,27,3.7109375000,180,1,1.1180124224
8,28,3.7109375000,179,1,1.1118012422
8,29,3.7109375000,177,1,1.0993788820
9,0,5.5664062500,190,1,1.1801242236
9,1,5.5664062500,191,1,1.1863354037
9,2,5.5664062500,190,1,1.1801242236
9,3,5.5664062500,189,1,1.1739130435
9,4,5.5664062500,189,1,1.1739130435
9,5,5.5664062500,189,1,1.1739130435
9,6,5.5664062500,188,1,1.1677018634
9,7,5.5664062500,192,1,1.1925465839
9,8,5.5664062500,191,1,1.1863354037
9,9,5.5664062500,190,1,1.1801242236
9,10,5.5664062500,192,1,1.1925465839
9,11,5.5664062500,190,1,1.1801242236
9,12,5.5664062500,191,1,1.1863354037
9,13,5.5664062500,191,1,1.1863354037
9,14,5.5664062500,193,1,1.1987577640
9,15,5.5664062500,193,1,1.1987577640
9,16,5.5664062500,196,0,1.2173913043
10,0,4.6386718750,182,1,1.1304347826
10,1,4.6386718750,184,1,1.1428571429
10,2,4.6386718750,183,1,1.1366459627
10,3,4.6386718750,182,1,1.1304347826
10,4,4.6386718750,184,1,1.1428571429
10,5,4.6386718750,183,1,1.1366459627
10,6,4.6386718750,185,1,1.1490683230
10,7,4.6386718750,182,1,1.1304347826
10,8,4.6386718750,182,1,1.1304347826
10,9,4.6386718750,181,1,1.1242236025
10,10,4.6386718750,181,1,1.1242236025
10,11,4.6386718750,207,0,1.2857142857
11,0,4.1748046875,188,1,1.1677018634
11,1,4.1748046875,188,1,1.1677018634
11,2,4.1748046875,186,1,1.1552795031
11,3,4.1748046875,185,1,1.1490683230
11,4,4.1748046875,185,1,1.1490683230
11,5,4.1748046875,185,1,1.1490683230
11,6,4.1748046875,183,1,1.1366459627
11,7,4.1748046875,185,1,1.1490683230
11,8,4.1748046875,184,1,1.1428571429
11,9,4.1748046875,185,1,1.1490683230
11,10,4.1748046875,186,1,1.1552795031
11,11,4.1748046875,186,1,1.1552795031
11,12,4.1748046875,187,1,1.1614906832
11,13,4.1748046875,185,1,1.1490683230
11,14,4.1748046875,185,1,1.1490683230
11,15,4.1748046875,185,1,1.1490683230
11,16,4.1748046875,186,1,1.1552795031
11,17,4.1748046875,185,1,1.1490683230
11,18,4.1748046875,186,1,1.1552795031
11,19,4.1748046875,185,1,1.1490683230
11,20,4.1748046875,186,1,1.1552795031
11,21,4.1748046875,185,1,1.1490683230
11,22,4.1748046875,185,1,1.1490683230
11,23,4.1748046875,184,1,1.1428571429
11,24,4.1748046875,184,1,1.1428571429
11,25,4.1748046875,185,1,1.1490683230
11,26,4.1748046875,184,1,1.1428571429
11,27,4.1748046875,184,1,1.1428571429
11,28,4.1748046875,183,1,1.1366459627
11,29,4.1748046875,184,1,1.1428571429
12,0,4.4067382812,186,1,1.1552795031
12,1,4.4067382812,185,1,1.1490683230
12,2,4.4067382812,187,1,1.1614906832
12,3,4.4067382812,187,1,1.1614906832
12,4,4.4067382812,189,1,1.1739130435
12,5,4.4067382812,188,1,1.1677018634
12,6,4.4067382812,185,1,1.1490683230
12,7,4.4067382812,183,1,1.1366459627
12,8,4.4067382812,185,1,1.1490683230
12,9,4.4067382812,186,1,1.1552795031
12,10,4.4067382812,185,1,1.1490683230
12,11,4.4067382812,185,1,1.1490683230
12,12,4.4067382812,187,1,1.1614906832
12,13,4.4067382812,186,1,1.1552795031
12,14,4.4067382812,186,1,1.1552795031
12,15,4.4067382812,186,1,1.1552795031
12,16,4.4067382812,185,1,1.1490683230
12,17,4.4067382812,187,1,1.1614906832
12,18,4.4067382812,185,1,1.1490683230
12,19,4.4067382812,185,1,1.1490683230
12,20,4.4067382812,187,1,1.1614906832
12,21,4.4067382812,185,1,1.1490683230
12,22,4.4067382812,186,1,1.1552795031
12,23,4.4067382812,186,1,1.1552795031
12,24,4.4067382812,188,1,1.1677018634
12,25,4.4067382812,187,1,1.1614906832
12,26,4.4067382812,186,1,1.1552795031
12,27,4.4067382812,188,1,1.1677018634
12,28,4.4067382812,185,1,1.1490683230
12,29,4.4067382812,188,1,1.1677018634
13,0,4.5227050781,188,1,1.1677018634
13,1,4.5227050781,188,1,1.1677018634
13,2,4.5227050781,185,1,1.1490683230
13,3,4.5227050781,187,1,1.1614906832
13,4,4.5227050781,187,1,1.1614906832
13,5,4.5227050781,186,1,1.1552795031
13,6,4.5227050781,185,1,1.1490683230
13,7,4.5227050781,185,1,1.1490683230
13,8,4.5227050781,186,1,1.1552795031
13,9,4.5227050781,186,1,1.1552795031
13,10,4.5227050781,186,1,1.1552795031
13,11,4.5227050781,188,1,1.1677018634
13,12,4.5227050781,185,1,1.1490683230
13,13,4.5227050781,186,1,1.1552795031
13,14,4.5227050781,185,1,1.1490683230
13,15,4.5227050781,186,1,1.1552795031
13,16,4.5227050781,187,1,1.1614906832
13,17,4.5227050781,185,1,1.1490683230
13,18,4.5227050781,189,1,1.1739130435
13,19,4.5227050781,185,1,1.1490683230
13,20,4.5227050781,185,1,1.1490683230
13,21,4.5227050781,186,1,1.1552795031
13,22,4.5227050781,187,1,1.1614906832
13,23,4.5227050781,187,1,1.1614906832
13,24,4.5227050781,185,1,1.1490683230
