# Baseline 160.63333333333333, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,545,1,1.1823416507
1,452.5000000000,9.5000000000,7.5000000000,213,0,3.3928200872
2,228.7500000000,7.2500000000,6.2500000000,280,0,1.3260012451
3,116.8750000000,6.1250000000,5.6250000000,207,0,1.7431002283
4,60.9375000000,5.5625000000,5.3125000000,233,0,1.2886490973
5,32.9687500000,5.2812500000,5.1562500000,191,0,1.4505084042
6,46.9531250000,5.4218750000,5.2343750000,190,1,1.1890433700
7,39.9609375000,5.3515625000,5.1953125000,190,1,1.1828180120
8,43.4570312500,5.3867187500,5.2148437500,221,1,1.1828180120
9,24.2285156250,5.1933593750,5.1074218750,205,0,1.3758041087
