# Baseline 57644, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,188132,0,3.2636874610
0,1,950.0000000000,188316,0,3.2668794671
0,2,950.0000000000,187777,0,3.2575289709
0,3,950.0000000000,187829,0,3.2584310596
0,4,950.0000000000,188042,0,3.2621261536
0,5,950.0000000000,188087,0,3.2629068073
0,6,950.0000000000,188209,0,3.2650232461
0,7,950.0000000000,187995,0,3.2613108042
0,8,950.0000000000,187681,0,3.2558635764
0,9,950.0000000000,188348,0,3.2674345986
0,10,950.0000000000,188238,0,3.2655263341
0,11,950.0000000000,188069,0,3.2625945458
0,12,950.0000000000,187642,0,3.2551870099
0,13,950.0000000000,187707,0,3.2563146208
0,14,950.0000000000,187857,0,3.2589167997
0,15,950.0000000000,188015,0,3.2616577614
0,16,950.0000000000,187575,0,3.2540247034
0,17,950.0000000000,188273,0,3.2661335091
0,18,950.0000000000,188054,0,3.2623343279
0,19,950.0000000000,187923,0,3.2600617584
0,20,950.0000000000,188125,0,3.2635660260
0,21,950.0000000000,188006,0,3.2615016307
0,22,950.0000000000,188059,0,3.2624210672
0,23,950.0000000000,187758,0,3.2571993616
0,24,950.0000000000,187790,0,3.2577544931
0,25,950.0000000000,187578,0,3.2540767469
0,26,950.0000000000,188228,0,3.2653528555
0,27,950.0000000000,187930,0,3.2601831934
0,28,950.0000000000,187673,0,3.2557247936
0,29,950.0000000000,187885,0,3.2594025397
1,0,475.0000000000,159552,0,2.7678856429
2,0,237.5000000000,125789,0,2.1821698702
3,0,118.7500000000,111045,0,1.9263930331
4,0,59.3750000000,103287,0,1.7918083409
5,0,29.6875000000,99951,0,1.7339358823
6,0,14.8437500000,98969,0,1.7169002845
7,0,7.4218750000,68937,1,1.1959093748
7,1,7.4218750000,68817,1,1.1938276317
7,2,7.4218750000,68919,1,1.1955971133
7,3,7.4218750000,68867,1,1.1946950246
7,4,7.4218750000,68976,1,1.1965859413
7,5,7.4218750000,68963,1,1.1963604191
7,6,7.4218750000,69053,1,1.1979217265
7,7,7.4218750000,68966,1,1.1964124627
7,8,7.4218750000,68879,1,1.1949031989
7,9,7.4218750000,68842,1,1.1942613282
7,10,7.4218750000,68887,1,1.1950419818
7,11,7.4218750000,68909,1,1.1954236347
7,12,7.4218750000,68832,1,1.1940878496
7,13,7.4218750000,68889,1,1.1950766775
7,14,7.4218750000,68873,1,1.1947991118
7,15,7.4218750000,69000,1,1.1970022899
7,16,7.4218750000,68898,1,1.1952328083
7,17,7.4218750000,69045,1,1.1977829436
7,18,7.4218750000,68857,1,1.1945215460
7,19,7.4218750000,68921,1,1.1956318090
7,20,7.4218750000,68899,1,1.1952501561
7,21,7.4218750000,68908,1,1.1954062869
7,22,7.4218750000,68825,1,1.1939664145
7,23,7.4218750000,68950,1,1.1961348970
7,24,7.4218750000,68846,1,1.1943307196
7,25,7.4218750000,68893,1,1.1951460690
7,26,7.4218750000,68941,1,1.1959787662
7,27,7.4218750000,68993,1,1.1968808549
7,28,7.4218750000,68859,1,1.1945562418
7,29,7.4218750000,68841,1,1.1942439803
