# Baseline 57577.433333333334, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,189330,0,1.2761983814
1,452.5000000000,9.5000000000,7.5000000000,137882,0,3.2882674520
2,228.7500000000,7.2500000000,6.2500000000,93102,0,2.3947229325
3,116.8750000000,6.1250000000,5.6250000000,77779,0,1.6169876740
4,60.9375000000,5.5625000000,5.3125000000,69968,0,1.3508591039
5,32.9687500000,5.2812500000,5.1562500000,67480,0,1.2151983155
6,46.9531250000,5.4218750000,5.2343750000,68652,1,1.1719869416
7,39.9609375000,5.3515625000,5.1953125000,68070,1,1.1923421387
8,43.4570312500,5.3867187500,5.2148437500,68484,1,1.1822340118
9,41.7089843750,5.3691406250,5.2050781250,68210,1,1.1894243289
