# Baseline 278, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,847,0,3.0467625899
0,1,950.0000000000,848,0,3.0503597122
0,2,950.0000000000,876,0,3.1510791367
0,3,950.0000000000,880,0,3.1654676259
0,4,950.0000000000,886,0,3.1870503597
0,5,950.0000000000,834,0,3.0000000000
0,6,950.0000000000,857,0,3.0827338129
0,7,950.0000000000,863,0,3.1043165468
0,8,950.0000000000,834,0,3.0000000000
0,9,950.0000000000,835,0,3.0035971223
0,10,950.0000000000,918,0,3.3021582734
0,11,950.0000000000,859,0,3.0899280576
0,12,950.0000000000,854,0,3.0719424460
0,13,950.0000000000,836,0,3.0071942446
0,14,950.0000000000,875,0,3.1474820144
0,15,950.0000000000,863,0,3.1043165468
0,16,950.0000000000,864,0,3.1079136691
0,17,950.0000000000,828,0,2.9784172662
0,18,950.0000000000,867,0,3.1187050360
0,19,950.0000000000,818,0,2.9424460432
0,20,950.0000000000,819,0,2.9460431655
0,21,950.0000000000,860,0,3.0935251799
0,22,950.0000000000,796,0,2.8633093525
0,23,950.0000000000,856,0,3.0791366906
0,24,950.0000000000,797,0,2.8669064748
0,25,950.0000000000,833,0,2.9964028777
0,26,950.0000000000,854,0,3.0719424460
0,27,950.0000000000,893,0,3.2122302158
0,28,950.0000000000,825,0,2.9676258993
0,29,950.0000000000,841,0,3.0251798561
1,0,475.0000000000,778,0,2.7985611511
2,0,237.5000000000,649,0,2.3345323741
3,0,118.7500000000,536,0,1.9280575540
4,0,59.3750000000,543,0,1.9532374101
5,0,29.6875000000,524,0,1.8848920863
6,0,14.8437500000,442,0,1.5899280576
7,0,7.4218750000,340,0,1.2230215827
8,0,3.7109375000,308,1,1.1079136691
8,1,3.7109375000,308,1,1.1079136691
8,2,3.7109375000,309,1,1.1115107914
8,3,3.7109375000,306,1,1.1007194245
8,4,3.7109375000,305,1,1.0971223022
8,5,3.7109375000,307,1,1.1043165468
8,6,3.7109375000,306,1,1.1007194245
8,7,3.7109375000,309,1,1.1115107914
8,8,3.7109375000,307,1,1.1043165468
8,9,3.7109375000,308,1,1.1079136691
8,10,3.7109375000,308,1,1.1079136691
8,11,3.7109375000,307,1,1.1043165468
8,12,3.7109375000,308,1,1.1079136691
8,13,3.7109375000,307,1,1.1043165468
8,14,3.7109375000,309,1,1.1115107914
8,15,3.7109375000,308,1,1.1079136691
8,16,3.7109375000,308,1,1.1079136691
8,17,3.7109375000,309,1,1.1115107914
8,18,3.7109375000,308,1,1.1079136691
8,19,3.7109375000,308,1,1.1079136691
8,20,3.7109375000,307,1,1.1043165468
8,21,3.7109375000,305,1,1.0971223022
8,22,3.7109375000,306,1,1.1007194245
8,23,3.7109375000,306,1,1.1007194245
8,24,3.7109375000,309,1,1.1115107914
8,25,3.7109375000,308,1,1.1079136691
8,26,3.7109375000,307,1,1.1043165468
8,27,3.7109375000,305,1,1.0971223022
8,28,3.7109375000,306,1,1.1007194245
8,29,3.7109375000,308,1,1.1079136691
