# Baseline 278, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,813,1,1.1846655200
1,452.5000000000,9.5000000000,7.5000000000,575,0,2.9244604317
2,228.7500000000,7.2500000000,6.2500000000,396,0,2.0683453237
3,116.8750000000,6.1250000000,5.6250000000,443,0,1.4244604317
4,60.9375000000,5.5625000000,5.3125000000,369,0,1.5935251799
5,32.9687500000,5.2812500000,5.1562500000,332,0,1.3273381295
6,46.9531250000,5.4218750000,5.2343750000,321,1,1.1942446043
7,39.9609375000,5.3515625000,5.1953125000,322,1,1.1546762590
8,43.4570312500,5.3867187500,5.2148437500,337,1,1.1582733813
9,24.2285156250,5.1933593750,5.1074218750,337,0,1.2122302158
