# Baseline 30002563, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,54083320,0,1.8026233292
0,1,950.0000000000,55779716,0,1.8591650320
0,2,950.0000000000,55778048,0,1.8591094368
0,3,950.0000000000,55782139,0,1.8592457918
0,4,950.0000000000,55781544,0,1.8592259601
0,5,950.0000000000,55782765,0,1.8592666567
0,6,950.0000000000,55778270,0,1.8591168361
0,7,950.0000000000,55778605,0,1.8591280018
0,8,950.0000000000,55778621,0,1.8591285351
0,9,950.0000000000,55867816,0,1.8621014478
0,10,950.0000000000,55865727,0,1.8620318204
0,11,950.0000000000,55871934,0,1.8622387027
0,12,950.0000000000,55868870,0,1.8621365781
0,13,950.0000000000,55872682,0,1.8622636339
0,14,950.0000000000,55866542,0,1.8620589848
0,15,950.0000000000,55868466,0,1.8621231126
0,16,950.0000000000,55878737,0,1.8624654500
0,17,950.0000000000,55904796,0,1.8633340092
0,18,950.0000000000,55887303,0,1.8627509590
0,19,950.0000000000,55882792,0,1.8626006052
0,20,950.0000000000,55881574,0,1.8625600086
0,21,950.0000000000,55879320,0,1.8624848817
0,22,950.0000000000,55885235,0,1.8626820315
0,23,950.0000000000,55889121,0,1.8628115538
0,24,950.0000000000,55885017,0,1.8626747655
0,25,950.0000000000,55879250,0,1.8624825486
0,26,950.0000000000,55878664,0,1.8624630169
0,27,950.0000000000,55877895,0,1.8624373858
0,28,950.0000000000,55878441,0,1.8624555842
0,29,950.0000000000,55877108,0,1.8624111547
1,0,475.0000000000,49187273,0,1.6394357042
2,0,237.5000000000,43230590,0,1.4408965661
3,0,118.7500000000,40584852,0,1.3527128332
4,0,59.3750000000,39265260,0,1.3087301908
5,0,29.6875000000,38596316,0,1.2864339623
6,0,14.8437500000,36878755,0,1.2291868198
7,0,7.4218750000,33567322,1,1.1188151492
7,1,7.4218750000,33388196,1,1.1128447926
7,2,7.4218750000,33386616,1,1.1127921305
7,3,7.4218750000,33157525,1,1.1051564161
7,4,7.4218750000,33058942,1,1.1018705969
7,5,7.4218750000,33112418,1,1.1036529779
7,6,7.4218750000,33154673,1,1.1050613576
7,7,7.4218750000,33060119,1,1.1019098268
7,8,7.4218750000,33057828,1,1.1018334667
7,9,7.4218750000,33059309,1,1.1018828291
7,10,7.4218750000,33058637,1,1.1018604311
7,11,7.4218750000,33058942,1,1.1018705969
7,12,7.4218750000,33198386,1,1.1065183331
7,13,7.4218750000,33553843,1,1.1183658876
7,14,7.4218750000,33606074,1,1.1201067722
7,15,7.4218750000,33119586,1,1.1038918908
7,16,7.4218750000,33163087,1,1.1053418003
7,17,7.4218750000,33383707,1,1.1126951721
7,18,7.4218750000,33817109,1,1.1271406713
7,19,7.4218750000,33816779,1,1.1271296722
7,20,7.4218750000,33817299,1,1.1271470041
7,21,7.4218750000,33816885,1,1.1271332053
7,22,7.4218750000,33816674,1,1.1271261725
7,23,7.4218750000,33817037,1,1.1271382715
7,24,7.4218750000,33819927,1,1.1272345966
7,25,7.4218750000,33668292,1,1.1221805284
7,26,7.4218750000,33387717,1,1.1128288273
7,27,7.4218750000,33386470,1,1.1127872642
7,28,7.4218750000,33225506,1,1.1074222559
7,29,7.4218750000,33058745,1,1.1018640307
8,0,11.1328125000,35445137,1,1.1814036354
8,1,11.1328125000,35299942,1,1.1765642155
8,2,11.1328125000,35364072,1,1.1787016996
8,3,11.1328125000,35218302,1,1.1738431147
8,4,11.1328125000,35289035,1,1.1762006799
8,5,11.1328125000,35401975,1,1.1799650250
8,6,11.1328125000,35358239,1,1.1785072829
8,7,11.1328125000,35414478,1,1.1803817561
8,8,11.1328125000,35402006,1,1.1799660582
8,9,11.1328125000,35334704,1,1.1777228499
8,10,11.1328125000,35439866,1,1.1812279504
8,11,11.1328125000,35387995,1,1.1794990648
8,12,11.1328125000,35465558,1,1.1820842773
8,13,11.1328125000,35412150,1,1.1803041627
8,14,11.1328125000,35353334,1,1.1783437968
8,15,11.1328125000,35324328,1,1.1773770128
8,16,11.1328125000,35426815,1,1.1807929543
8,17,11.1328125000,35392004,1,1.1796326867
8,18,11.1328125000,35375034,1,1.1790670684
8,19,11.1328125000,35292793,1,1.1763259359
8,20,11.1328125000,35400244,1,1.1799073299
8,21,11.1328125000,35381910,1,1.1792962488
8,22,11.1328125000,35418551,1,1.1805175111
8,23,11.1328125000,35326049,1,1.1774343745
8,24,11.1328125000,35343902,1,1.1780294237
8,25,11.1328125000,35340084,1,1.1779021679
8,26,11.1328125000,35346290,1,1.1781090169
8,27,11.1328125000,35346077,1,1.1781019175
8,28,11.1328125000,35317559,1,1.1771513987
8,29,11.1328125000,35368264,1,1.1788414210
9,0,12.9882812500,34792023,1,1.1596350285
9,1,12.9882812500,34785865,1,1.1594297794
9,2,12.9882812500,34780585,1,1.1592537944
9,3,12.9882812500,34790649,1,1.1595892324
9,4,12.9882812500,34785183,1,1.1594070480
9,5,12.9882812500,34784318,1,1.1593782171
9,6,12.9882812500,34784144,1,1.1593724176
9,7,12.9882812500,34782410,1,1.1593146226
9,8,12.9882812500,34789229,1,1.1595419031
9,9,12.9882812500,34793348,1,1.1596791914
9,10,12.9882812500,34795560,1,1.1597529184
9,11,12.9882812500,34775563,1,1.1590864087
9,12,12.9882812500,34792593,1,1.1596540269
9,13,12.9882812500,34788415,1,1.1595147721
9,14,12.9882812500,34786033,1,1.1594353789
9,15,12.9882812500,34785456,1,1.1594161472
9,16,12.9882812500,34786300,1,1.1594442781
9,17,12.9882812500,34783133,1,1.1593387205
9,18,12.9882812500,34786869,1,1.1594632432
9,19,12.9882812500,34789860,1,1.1595629347
9,20,12.9882812500,34787887,1,1.1594971736
9,21,12.9882812500,34796709,1,1.1597912152
9,22,12.9882812500,34785459,1,1.1594162472
9,23,12.9882812500,34801995,1,1.1599674001
9,24,12.9882812500,34779455,1,1.1592161310
9,25,12.9882812500,34780381,1,1.1592469950
9,26,12.9882812500,34783383,1,1.1593470531
9,27,12.9882812500,34789873,1,1.1595633680
9,28,12.9882812500,34784302,1,1.1593776838
9,29,12.9882812500,34781207,1,1.1592745260
10,0,13.9160156250,35085373,1,1.1694125265
10,1,13.9160156250,35152523,1,1.1716506686
10,2,13.9160156250,35053905,1,1.1683636828
10,3,13.9160156250,35134053,1,1.1710350546
10,4,13.9160156250,35131562,1,1.1709520283
10,5,13.9160156250,35191252,1,1.1729415250
10,6,13.9160156250,35128533,1,1.1708510703
10,7,13.9160156250,35052952,1,1.1683319188
10,8,13.9160156250,35034070,1,1.1677025726
10,9,13.9160156250,35089275,1,1.1695425821
10,10,13.9160156250,35192615,1,1.1729869545
10,11,13.9160156250,35080511,1,1.1692504737
10,12,13.9160156250,35125130,1,1.1707376466
10,13,13.9160156250,35144442,1,1.1713813250
10,14,13.9160156250,35159793,1,1.1718929813
10,15,13.9160156250,35219080,1,1.1738690458
10,16,13.9160156250,35016889,1,1.1671299215
10,17,13.9160156250,35076519,1,1.1691174184
10,18,13.9160156250,35154785,1,1.1717260622
10,19,13.9160156250,35133974,1,1.1710324215
10,20,13.9160156250,35131420,1,1.1709472954
10,21,13.9160156250,35157538,1,1.1718178210
10,22,13.9160156250,35137467,1,1.1711488449
10,23,13.9160156250,35126640,1,1.1707879757
10,24,13.9160156250,35093423,1,1.1696808369
10,25,13.9160156250,35167494,1,1.1721496593
10,26,13.9160156250,35077798,1,1.1691600481
10,27,13.9160156250,35109291,1,1.1702097251
10,28,13.9160156250,35089707,1,1.1695569808
10,29,13.9160156250,35192688,1,1.1729893876
11,0,14.3798828125,36000688,1,1.1999204201
11,1,14.3798828125,36023668,0,1.2006863547
12,0,14.1479492188,35961236,1,1.1986054658
12,1,14.1479492188,36030688,0,1.2009203347
13,0,14.0319824219,36001407,1,1.1999443848
13,1,14.0319824219,35964426,1,1.1987117901
13,2,14.0319824219,35960737,1,1.1985888339
13,3,14.0319824219,35995491,1,1.1997472016
13,4,14.0319824219,36034944,0,1.2010621893
14,0,13.9739990234,35993371,1,1.1996765410
14,1,13.9739990234,36032183,0,1.2009701638
