# Baseline 2427810, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,8184497,0,3.3711439528
0,1,950.0000000000,8185588,0,3.3715933290
0,2,950.0000000000,8187346,0,3.3723174383
0,3,950.0000000000,8186207,0,3.3718482913
0,4,950.0000000000,8184419,0,3.3711118251
0,5,950.0000000000,8186115,0,3.3718103970
0,6,950.0000000000,8187742,0,3.3724805483
0,7,950.0000000000,8186027,0,3.3717741504
0,8,950.0000000000,8186627,0,3.3720212867
0,9,950.0000000000,8182314,0,3.3702447885
0,10,950.0000000000,8184812,0,3.3712736993
0,11,950.0000000000,8185165,0,3.3714190979
0,12,950.0000000000,8182885,0,3.3704799799
0,13,950.0000000000,8187910,0,3.3725497465
0,14,950.0000000000,8188018,0,3.3725942310
0,15,950.0000000000,8185297,0,3.3714734679
0,16,950.0000000000,8184909,0,3.3713136530
0,17,950.0000000000,8185207,0,3.3714363974
0,18,950.0000000000,8188763,0,3.3729010919
0,19,950.0000000000,8186143,0,3.3718219301
0,20,950.0000000000,8187465,0,3.3723664537
0,21,950.0000000000,8184238,0,3.3710372723
0,22,950.0000000000,8183056,0,3.3705504137
0,23,950.0000000000,8183290,0,3.3706467969
0,24,950.0000000000,8187410,0,3.3723437996
0,25,950.0000000000,8186312,0,3.3718915401
0,26,950.0000000000,8184911,0,3.3713144768
0,27,950.0000000000,8184129,0,3.3709923758
0,28,950.0000000000,8184134,0,3.3709944353
0,29,950.0000000000,8171215,0,3.3656731787
1,0,475.0000000000,7042067,0,2.9005840655
2,0,237.5000000000,5176375,0,2.1321170108
3,0,118.7500000000,4497900,0,1.8526573332
4,0,59.3750000000,4171451,0,1.7181949988
5,0,29.6875000000,3993584,0,1.6449326760
6,0,14.8437500000,3608740,0,1.4864178004
7,0,7.4218750000,2813327,1,1.1587920801
7,1,7.4218750000,2813775,1,1.1589766085
7,2,7.4218750000,2812793,1,1.1585721288
7,3,7.4218750000,2809850,1,1.1573599252
7,4,7.4218750000,2809423,1,1.1571840465
7,5,7.4218750000,2810439,1,1.1576025307
7,6,7.4218750000,2809071,1,1.1570390599
7,7,7.4218750000,2809611,1,1.1572614826
7,8,7.4218750000,2811075,1,1.1578644952
7,9,7.4218750000,2809572,1,1.1572454187
7,10,7.4218750000,2812002,1,1.1582463208
7,11,7.4218750000,2814086,1,1.1591047075
7,12,7.4218750000,2809442,1,1.1571918725
7,13,7.4218750000,2813148,1,1.1587183511
7,14,7.4218750000,2812447,1,1.1584296135
7,15,7.4218750000,2810110,1,1.1574670176
7,16,7.4218750000,2809188,1,1.1570872515
7,17,7.4218750000,2808789,1,1.1569229058
7,18,7.4218750000,2813107,1,1.1587014635
7,19,7.4218750000,2813470,1,1.1588509809
7,20,7.4218750000,2809669,1,1.1572853724
7,21,7.4218750000,2811719,1,1.1581297548
7,22,7.4218750000,2809279,1,1.1571247338
7,23,7.4218750000,2809751,1,1.1573191477
7,24,7.4218750000,2809527,1,1.1572268835
7,25,7.4218750000,2809226,1,1.1571029034
7,26,7.4218750000,2809455,1,1.1571972271
7,27,7.4218750000,2809699,1,1.1572977292
7,28,7.4218750000,2812064,1,1.1582718582
7,29,7.4218750000,2810285,1,1.1575390990
8,0,11.1328125000,3094485,0,1.2745993303
9,0,9.2773437500,3196194,0,1.3164926415
10,0,8.3496093750,2861697,1,1.1787153855
10,1,8.3496093750,2862952,1,1.1792323122
10,2,8.3496093750,2851539,1,1.1745313678
10,3,8.3496093750,2852564,1,1.1749535590
10,4,8.3496093750,2840226,1,1.1698716127
10,5,8.3496093750,2854441,1,1.1757266837
10,6,8.3496093750,2857928,1,1.1771629576
10,7,8.3496093750,2863447,1,1.1794361997
10,8,8.3496093750,2871460,1,1.1827367051
10,9,8.3496093750,2867250,1,1.1810026320
10,10,8.3496093750,2856689,1,1.1766526211
10,11,8.3496093750,2870798,1,1.1824640314
10,12,8.3496093750,2845453,1,1.1720245818
10,13,8.3496093750,2850422,1,1.1740712823
10,14,8.3496093750,2843913,1,1.1713902653
10,15,8.3496093750,2858093,1,1.1772309200
10,16,8.3496093750,2862923,1,1.1792203673
10,17,8.3496093750,2852863,1,1.1750767152
10,18,8.3496093750,2864178,1,1.1797372941
10,19,8.3496093750,2852934,1,1.1751059597
10,20,8.3496093750,2859308,1,1.1777313711
10,21,8.3496093750,2841887,1,1.1705557684
10,22,8.3496093750,2864679,1,1.1799436529
10,23,8.3496093750,2861585,1,1.1786692534
10,24,8.3496093750,2857983,1,1.1771856117
10,25,8.3496093750,2874654,1,1.1840522940
10,26,8.3496093750,2832817,1,1.1668198912
10,27,8.3496093750,2851897,1,1.1746788258
10,28,8.3496093750,2856078,1,1.1764009539
10,29,8.3496093750,2861652,1,1.1786968502
11,0,8.8134765625,2852380,1,1.1748777705
11,1,8.8134765625,2866445,1,1.1806710575
11,2,8.8134765625,2879456,1,1.1860302083
11,3,8.8134765625,2882138,1,1.1871349076
11,4,8.8134765625,2849720,1,1.1737821329
11,5,8.8134765625,2882290,1,1.1871975155
11,6,8.8134765625,2857675,1,1.1770587484
11,7,8.8134765625,2884907,1,1.1882754417
11,8,8.8134765625,2869214,1,1.1818115915
11,9,8.8134765625,2868385,1,1.1814701315
11,10,8.8134765625,2873876,1,1.1837318406
11,11,8.8134765625,2869275,1,1.1818367170
11,12,8.8134765625,2881352,1,1.1868111590
11,13,8.8134765625,2870053,1,1.1821571705
11,14,8.8134765625,2863562,1,1.1794835675
11,15,8.8134765625,2855597,1,1.1762028330
11,16,8.8134765625,2866680,1,1.1807678525
11,17,8.8134765625,2871864,1,1.1829031102
11,18,8.8134765625,2870462,1,1.1823256350
11,19,8.8134765625,2861536,1,1.1786490706
11,20,8.8134765625,2869881,1,1.1820863247
11,21,8.8134765625,2842585,1,1.1708432703
11,22,8.8134765625,2870950,1,1.1825266392
11,23,8.8134765625,2869487,1,1.1819240385
11,24,8.8134765625,2862978,1,1.1792430215
11,25,8.8134765625,2860485,1,1.1782161701
11,26,8.8134765625,2857058,1,1.1768046099
11,27,8.8134765625,2852042,1,1.1747385504
11,28,8.8134765625,2867120,1,1.1809490858
11,29,8.8134765625,2878905,1,1.1858032548
12,0,9.0454101562,2949114,0,1.2147219099
13,0,8.9294433594,2912797,1,1.1997631610
13,1,8.9294433594,2933854,0,1.2084364098
14,0,8.8714599609,2932412,0,1.2078424588
