# Baseline 2427713.2333333334, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,8227280,0,1.2122302158
1,452.5000000000,9.5000000000,7.5000000000,5970803,0,3.3889010807
2,228.7500000000,7.2500000000,6.2500000000,3738838,0,2.4594350428
3,116.8750000000,6.1250000000,5.6250000000,3139275,0,1.5400657494
4,60.9375000000,5.5625000000,5.3125000000,2948952,0,1.2930995955
5,32.9687500000,5.2812500000,5.1562500000,2839829,0,1.2147035982
6,46.9531250000,5.4218750000,5.2343750000,2894494,1,1.1697547144
7,39.9609375000,5.3515625000,5.1953125000,2867721,1,1.1922717890
8,43.4570312500,5.3867187500,5.2148437500,2881329,1,1.1812437155
9,41.7089843750,5.3691406250,5.2050781250,2874050,1,1.1868489904
