# Baseline 1633, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,2953,0,1.8083282303
0,1,950.0000000000,2956,0,1.8101653399
0,2,950.0000000000,2953,0,1.8083282303
0,3,950.0000000000,2963,0,1.8144519290
0,4,950.0000000000,2924,0,1.7905695040
0,5,950.0000000000,2966,0,1.8162890386
0,6,950.0000000000,2954,0,1.8089406001
0,7,950.0000000000,2946,0,1.8040416412
0,8,950.0000000000,2942,0,1.8015921617
0,9,950.0000000000,2955,0,1.8095529700
0,10,950.0000000000,2955,0,1.8095529700
0,11,950.0000000000,2942,0,1.8015921617
0,12,950.0000000000,2945,0,1.8034292713
0,13,950.0000000000,2949,0,1.8058787508
0,14,950.0000000000,2893,0,1.7715860380
0,15,950.0000000000,2943,0,1.8022045315
0,16,950.0000000000,2973,0,1.8205756277
0,17,950.0000000000,2946,0,1.8040416412
0,18,950.0000000000,2962,0,1.8138395591
0,19,950.0000000000,2982,0,1.8260869565
0,20,950.0000000000,2927,0,1.7924066136
0,21,950.0000000000,2917,0,1.7862829149
0,22,950.0000000000,2969,0,1.8181261482
0,23,950.0000000000,2930,0,1.7942437232
0,24,950.0000000000,2961,0,1.8132271892
0,25,950.0000000000,2910,0,1.7819963258
0,26,950.0000000000,2935,0,1.7973055726
0,27,950.0000000000,2940,0,1.8003674219
0,28,950.0000000000,2942,0,1.8015921617
0,29,950.0000000000,2967,0,1.8169014085
1,0,475.0000000000,2794,0,1.7109614207
2,0,237.5000000000,2404,0,1.4721371709
3,0,118.7500000000,2244,0,1.3741579914
4,0,59.3750000000,2079,0,1.2731169626
5,0,29.6875000000,2039,0,1.2486221678
6,0,14.8437500000,1915,1,1.1726883037
6,1,14.8437500000,1911,1,1.1702388242
6,2,14.8437500000,1966,0,1.2039191672
7,0,7.4218750000,1755,1,1.0747091243
7,1,7.4218750000,1753,1,1.0734843846
7,2,7.4218750000,1754,1,1.0740967544
7,3,7.4218750000,1756,1,1.0753214942
7,4,7.4218750000,1754,1,1.0740967544
7,5,7.4218750000,1752,1,1.0728720147
7,6,7.4218750000,1750,1,1.0716472750
7,7,7.4218750000,1750,1,1.0716472750
7,8,7.4218750000,1751,1,1.0722596448
7,9,7.4218750000,1774,1,1.0863441519
7,10,7.4218750000,1779,1,1.0894060012
7,11,7.4218750000,1772,1,1.0851194121
7,12,7.4218750000,1773,1,1.0857317820
7,13,7.4218750000,1778,1,1.0887936314
7,14,7.4218750000,1772,1,1.0851194121
7,15,7.4218750000,1778,1,1.0887936314
7,16,7.4218750000,1774,1,1.0863441519
7,17,7.4218750000,1773,1,1.0857317820
7,18,7.4218750000,1771,1,1.0845070423
7,19,7.4218750000,1774,1,1.0863441519
7,20,7.4218750000,1773,1,1.0857317820
7,21,7.4218750000,1769,1,1.0832823025
7,22,7.4218750000,1774,1,1.0863441519
7,23,7.4218750000,1771,1,1.0845070423
7,24,7.4218750000,1773,1,1.0857317820
7,25,7.4218750000,1774,1,1.0863441519
7,26,7.4218750000,1780,1,1.0900183711
7,27,7.4218750000,1778,1,1.0887936314
7,28,7.4218750000,1779,1,1.0894060012
7,29,7.4218750000,1774,1,1.0863441519
8,0,11.1328125000,1804,1,1.1047152480
8,1,11.1328125000,1815,1,1.1114513166
8,2,11.1328125000,1811,1,1.1090018371
8,3,11.1328125000,1988,0,1.2173913043
9,0,9.2773437500,1907,1,1.1677893448
9,1,9.2773437500,1928,1,1.1806491121
9,2,9.2773437500,1934,1,1.1843233313
9,3,9.2773437500,1924,1,1.1781996326
9,4,9.2773437500,1935,1,1.1849357012
9,5,9.2773437500,1903,1,1.1653398653
9,6,9.2773437500,1902,1,1.1647274954
9,7,9.2773437500,1938,1,1.1867728108
9,8,9.2773437500,1934,1,1.1843233313
9,9,9.2773437500,1901,1,1.1641151255
9,10,9.2773437500,1890,1,1.1573790570
9,11,9.2773437500,1936,1,1.1855480710
9,12,9.2773437500,1935,1,1.1849357012
9,13,9.2773437500,1904,1,1.1659522352
9,14,9.2773437500,1895,1,1.1604409063
9,15,9.2773437500,1907,1,1.1677893448
9,16,9.2773437500,1929,1,1.1812614819
9,17,9.2773437500,1940,1,1.1879975505
