# Baseline 189, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,527,0,2.7883597884
0,1,950.0000000000,544,0,2.8783068783
0,2,950.0000000000,530,0,2.8042328042
0,3,950.0000000000,509,0,2.6931216931
0,4,950.0000000000,507,0,2.6825396825
0,5,950.0000000000,523,0,2.7671957672
0,6,950.0000000000,535,0,2.8306878307
0,7,950.0000000000,524,0,2.7724867725
0,8,950.0000000000,524,0,2.7724867725
0,9,950.0000000000,522,0,2.7619047619
0,10,950.0000000000,552,0,2.9206349206
0,11,950.0000000000,547,0,2.8941798942
0,12,950.0000000000,544,0,2.8783068783
0,13,950.0000000000,561,0,2.9682539683
0,14,950.0000000000,510,0,2.6984126984
0,15,950.0000000000,520,0,2.7513227513
0,16,950.0000000000,547,0,2.8941798942
0,17,950.0000000000,539,0,2.8518518519
0,18,950.0000000000,477,0,2.5238095238
0,19,950.0000000000,520,0,2.7513227513
0,20,950.0000000000,519,0,2.7460317460
0,21,950.0000000000,527,0,2.7883597884
0,22,950.0000000000,539,0,2.8518518519
0,23,950.0000000000,528,0,2.7936507937
0,24,950.0000000000,533,0,2.8201058201
0,25,950.0000000000,521,0,2.7566137566
0,26,950.0000000000,536,0,2.8359788360
0,27,950.0000000000,509,0,2.6931216931
0,28,950.0000000000,541,0,2.8624338624
0,29,950.0000000000,536,0,2.8359788360
1,0,475.0000000000,252,0,1.3333333333
2,0,237.5000000000,420,0,2.2222222222
3,0,118.7500000000,404,0,2.1375661376
4,0,59.3750000000,332,0,1.7566137566
5,0,29.6875000000,283,0,1.4973544974
6,0,14.8437500000,249,0,1.3174603175
7,0,7.4218750000,213,1,1.1269841270
7,1,7.4218750000,213,1,1.1269841270
7,2,7.4218750000,209,1,1.1058201058
7,3,7.4218750000,210,1,1.1111111111
7,4,7.4218750000,210,1,1.1111111111
7,5,7.4218750000,213,1,1.1269841270
7,6,7.4218750000,210,1,1.1111111111
7,7,7.4218750000,216,1,1.1428571429
7,8,7.4218750000,209,1,1.1058201058
7,9,7.4218750000,208,1,1.1005291005
7,10,7.4218750000,208,1,1.1005291005
7,11,7.4218750000,209,1,1.1058201058
7,12,7.4218750000,208,1,1.1005291005
7,13,7.4218750000,208,1,1.1005291005
7,14,7.4218750000,212,1,1.1216931217
7,15,7.4218750000,208,1,1.1005291005
7,16,7.4218750000,208,1,1.1005291005
7,17,7.4218750000,212,1,1.1216931217
7,18,7.4218750000,210,1,1.1111111111
7,19,7.4218750000,211,1,1.1164021164
7,20,7.4218750000,218,1,1.1534391534
7,21,7.4218750000,207,1,1.0952380952
7,22,7.4218750000,215,1,1.1375661376
7,23,7.4218750000,211,1,1.1164021164
7,24,7.4218750000,209,1,1.1058201058
7,25,7.4218750000,214,1,1.1322751323
7,26,7.4218750000,210,1,1.1111111111
7,27,7.4218750000,209,1,1.1058201058
7,28,7.4218750000,209,1,1.1058201058
7,29,7.4218750000,209,1,1.1058201058
8,0,11.1328125000,224,1,1.1851851852
8,1,11.1328125000,250,0,1.3227513228
9,0,9.2773437500,216,1,1.1428571429
9,1,9.2773437500,218,1,1.1534391534
9,2,9.2773437500,216,1,1.1428571429
9,3,9.2773437500,215,1,1.1375661376
9,4,9.2773437500,213,1,1.1269841270
9,5,9.2773437500,218,1,1.1534391534
9,6,9.2773437500,215,1,1.1375661376
9,7,9.2773437500,216,1,1.1428571429
9,8,9.2773437500,219,1,1.1587301587
9,9,9.2773437500,219,1,1.1587301587
9,10,9.2773437500,216,1,1.1428571429
9,11,9.2773437500,215,1,1.1375661376
9,12,9.2773437500,215,1,1.1375661376
9,13,9.2773437500,219,1,1.1587301587
9,14,9.2773437500,215,1,1.1375661376
9,15,9.2773437500,214,1,1.1322751323
9,16,9.2773437500,215,1,1.1375661376
9,17,9.2773437500,217,1,1.1481481481
9,18,9.2773437500,213,1,1.1269841270
9,19,9.2773437500,216,1,1.1428571429
9,20,9.2773437500,235,0,1.2433862434
10,0,8.3496093750,213,1,1.1269841270
10,1,8.3496093750,221,1,1.1693121693
10,2,8.3496093750,213,1,1.1269841270
10,3,8.3496093750,220,1,1.1640211640
10,4,8.3496093750,213,1,1.1269841270
10,5,8.3496093750,214,1,1.1322751323
10,6,8.3496093750,213,1,1.1269841270
10,7,8.3496093750,217,1,1.1481481481
10,8,8.3496093750,213,1,1.1269841270
10,9,8.3496093750,212,1,1.1216931217
10,10,8.3496093750,213,1,1.1269841270
10,11,8.3496093750,213,1,1.1269841270
10,12,8.3496093750,214,1,1.1322751323
10,13,8.3496093750,215,1,1.1375661376
10,14,8.3496093750,215,1,1.1375661376
10,15,8.3496093750,214,1,1.1322751323
10,16,8.3496093750,213,1,1.1269841270
10,17,8.3496093750,220,1,1.1640211640
10,18,8.3496093750,215,1,1.1375661376
10,19,8.3496093750,217,1,1.1481481481
10,20,8.3496093750,213,1,1.1269841270
10,21,8.3496093750,213,1,1.1269841270
10,22,8.3496093750,222,1,1.1746031746
10,23,8.3496093750,219,1,1.1587301587
10,24,8.3496093750,213,1,1.1269841270
10,25,8.3496093750,214,1,1.1322751323
10,26,8.3496093750,217,1,1.1481481481
10,27,8.3496093750,215,1,1.1375661376
10,28,8.3496093750,213,1,1.1269841270
10,29,8.3496093750,214,1,1.1322751323
11,0,8.8134765625,234,0,1.2380952381
12,0,8.5815429688,235,0,1.2433862434
13,0,8.4655761719,237,0,1.2539682540
14,0,8.4075927734,239,0,1.2645502646
