# Baseline 186.83333333333334, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,533,1,1.1838506956
1,452.5000000000,9.5000000000,7.5000000000,377,0,2.8528099911
2,228.7500000000,7.2500000000,6.2500000000,312,0,2.0178412132
3,116.8750000000,6.1250000000,5.6250000000,257,0,1.6699375558
4,60.9375000000,5.5625000000,5.3125000000,223,0,1.3755575379
5,88.9062500000,5.8437500000,5.4687500000,203,1,1.1935771632
6,74.9218750000,5.7031250000,5.3906250000,205,1,1.0865298840
7,81.9140625000,5.7734375000,5.4296875000,204,1,1.0972346120
8,78.4179687500,5.7382812500,5.4101562500,231,1,1.0918822480
9,41.7089843750,5.3691406250,5.2050781250,213,0,1.2363960749
