# Baseline 168649, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,491746,0,2.9157955280
0,1,950.0000000000,491321,0,2.9132755012
0,2,950.0000000000,492046,0,2.9175743704
0,3,950.0000000000,491362,0,2.9135186097
0,4,950.0000000000,491461,0,2.9141056277
0,5,950.0000000000,491628,0,2.9150958500
0,6,950.0000000000,491349,0,2.9134415265
0,7,950.0000000000,491648,0,2.9152144395
0,8,950.0000000000,491591,0,2.9148764594
0,9,950.0000000000,491272,0,2.9129849569
0,10,950.0000000000,491330,0,2.9133288665
0,11,950.0000000000,491345,0,2.9134178086
0,12,950.0000000000,491365,0,2.9135363981
0,13,950.0000000000,491211,0,2.9126232590
0,14,950.0000000000,491755,0,2.9158488933
0,15,950.0000000000,491753,0,2.9158370343
0,16,950.0000000000,491546,0,2.9146096330
0,17,950.0000000000,491494,0,2.9143013003
0,18,950.0000000000,491222,0,2.9126884832
0,19,950.0000000000,492079,0,2.9177700431
0,20,950.0000000000,491642,0,2.9151788626
0,21,950.0000000000,491280,0,2.9130323927
0,22,950.0000000000,468360,0,2.7771288297
0,23,950.0000000000,491153,0,2.9122793494
0,24,950.0000000000,491591,0,2.9148764594
0,25,950.0000000000,491414,0,2.9138269423
0,26,950.0000000000,492052,0,2.9176099473
0,27,950.0000000000,491543,0,2.9145918446
0,28,950.0000000000,491298,0,2.9131391233
0,29,950.0000000000,491878,0,2.9165782187
1,0,475.0000000000,414812,0,2.4596173117
2,0,237.5000000000,360217,0,2.1358976335
3,0,118.7500000000,320960,0,1.9031242403
4,0,59.3750000000,299995,0,1.7788128006
5,0,29.6875000000,289871,0,1.7187827974
6,0,14.8437500000,230662,0,1.3677045224
7,0,7.4218750000,199890,1,1.1852427231
7,1,7.4218750000,200295,1,1.1876441604
7,2,7.4218750000,200214,1,1.1871638729
7,3,7.4218750000,200148,1,1.1867725276
7,4,7.4218750000,200167,1,1.1868851876
7,5,7.4218750000,199833,1,1.1849047430
7,6,7.4218750000,200287,1,1.1875967246
7,7,7.4218750000,200227,1,1.1872409561
7,8,7.4218750000,200007,1,1.1859364716
7,9,7.4218750000,200051,1,1.1861973685
7,10,7.4218750000,200151,1,1.1867903160
7,11,7.4218750000,199804,1,1.1847327882
7,12,7.4218750000,199909,1,1.1853553831
7,13,7.4218750000,199893,1,1.1852605115
7,14,7.4218750000,200238,1,1.1873061803
7,15,7.4218750000,200401,1,1.1882726847
7,16,7.4218750000,200350,1,1.1879702815
7,17,7.4218750000,200002,1,1.1859068242
7,18,7.4218750000,200126,1,1.1866420791
7,19,7.4218750000,199988,1,1.1858238116
7,20,7.4218750000,199892,1,1.1852545820
7,21,7.4218750000,199944,1,1.1855629147
7,22,7.4218750000,199959,1,1.1856518568
7,23,7.4218750000,200200,1,1.1870808602
7,24,7.4218750000,199878,1,1.1851715694
7,25,7.4218750000,200057,1,1.1862329453
7,26,7.4218750000,200197,1,1.1870630718
7,27,7.4218750000,200032,1,1.1860847085
7,28,7.4218750000,200046,1,1.1861677211
7,29,7.4218750000,199881,1,1.1851893578
8,0,11.1328125000,214605,0,1.2724949451
9,0,9.2773437500,216486,0,1.2836482873
10,0,8.3496093750,202666,0,1.2017029452
11,0,7.8857421875,204878,0,1.2148189435
12,0,7.6538085938,203446,0,1.2063279355
13,0,7.5378417969,203451,0,1.2063575829
14,0,7.4798583984,203248,0,1.2051538995
