# Baseline 168582.76666666666, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,534122,0,0.0000000000
1,452.5000000000,9.5000000000,7.5000000000,385456,0,3.1683072390
2,228.7500000000,7.2500000000,6.2500000000,265255,0,2.2864496035
3,116.8750000000,6.1250000000,5.6250000000,223341,0,1.5734407807
4,60.9375000000,5.5625000000,5.3125000000,204265,0,1.3248151304
5,32.9687500000,5.2812500000,5.1562500000,197533,0,1.2116600293
6,46.9531250000,5.4218750000,5.2343750000,200879,1,1.1717271220
7,39.9609375000,5.3515625000,5.1953125000,199053,1,1.1915749395
8,43.4570312500,5.3867187500,5.2148437500,199939,1,1.1807434647
9,41.7089843750,5.3691406250,5.2050781250,199738,1,1.1859990434
