# Baseline 267, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,500,0,1.8726591760
0,1,950.0000000000,483,0,1.8089887640
0,2,950.0000000000,481,0,1.8014981273
0,3,950.0000000000,484,0,1.8127340824
0,4,950.0000000000,480,0,1.7977528090
0,5,950.0000000000,473,0,1.7715355805
0,6,950.0000000000,462,0,1.7303370787
0,7,950.0000000000,472,0,1.7677902622
0,8,950.0000000000,475,0,1.7790262172
0,9,950.0000000000,469,0,1.7565543071
0,10,950.0000000000,475,0,1.7790262172
0,11,950.0000000000,468,0,1.7528089888
0,12,950.0000000000,495,0,1.8539325843
0,13,950.0000000000,482,0,1.8052434457
0,14,950.0000000000,476,0,1.7827715356
0,15,950.0000000000,477,0,1.7865168539
0,16,950.0000000000,481,0,1.8014981273
0,17,950.0000000000,483,0,1.8089887640
0,18,950.0000000000,475,0,1.7790262172
0,19,950.0000000000,496,0,1.8576779026
0,20,950.0000000000,473,0,1.7715355805
0,21,950.0000000000,489,0,1.8314606742
0,22,950.0000000000,474,0,1.7752808989
0,23,950.0000000000,506,0,1.8951310861
0,24,950.0000000000,492,0,1.8426966292
0,25,950.0000000000,468,0,1.7528089888
0,26,950.0000000000,469,0,1.7565543071
0,27,950.0000000000,476,0,1.7827715356
0,28,950.0000000000,490,0,1.8352059925
0,29,950.0000000000,473,0,1.7715355805
1,0,475.0000000000,498,0,1.8651685393
2,0,237.5000000000,470,0,1.7602996255
3,0,118.7500000000,412,0,1.5430711610
4,0,59.3750000000,382,0,1.4307116105
5,0,29.6875000000,338,0,1.2659176030
6,0,14.8437500000,309,1,1.1573033708
6,1,14.8437500000,316,1,1.1835205993
6,2,14.8437500000,317,1,1.1872659176
6,3,14.8437500000,330,0,1.2359550562
7,0,7.4218750000,289,1,1.0823970037
7,1,7.4218750000,293,1,1.0973782772
7,2,7.4218750000,293,1,1.0973782772
7,3,7.4218750000,290,1,1.0861423221
7,4,7.4218750000,289,1,1.0823970037
7,5,7.4218750000,290,1,1.0861423221
7,6,7.4218750000,289,1,1.0823970037
7,7,7.4218750000,292,1,1.0936329588
7,8,7.4218750000,292,1,1.0936329588
7,9,7.4218750000,288,1,1.0786516854
7,10,7.4218750000,289,1,1.0823970037
7,11,7.4218750000,290,1,1.0861423221
7,12,7.4218750000,294,1,1.1011235955
7,13,7.4218750000,292,1,1.0936329588
7,14,7.4218750000,290,1,1.0861423221
7,15,7.4218750000,294,1,1.1011235955
7,16,7.4218750000,290,1,1.0861423221
7,17,7.4218750000,290,1,1.0861423221
7,18,7.4218750000,295,1,1.1048689139
7,19,7.4218750000,291,1,1.0898876404
7,20,7.4218750000,291,1,1.0898876404
7,21,7.4218750000,290,1,1.0861423221
7,22,7.4218750000,291,1,1.0898876404
7,23,7.4218750000,290,1,1.0861423221
7,24,7.4218750000,290,1,1.0861423221
7,25,7.4218750000,292,1,1.0936329588
7,26,7.4218750000,290,1,1.0861423221
7,27,7.4218750000,291,1,1.0898876404
7,28,7.4218750000,292,1,1.0936329588
7,29,7.4218750000,289,1,1.0823970037
8,0,11.1328125000,332,0,1.2434456929
9,0,9.2773437500,294,1,1.1011235955
9,1,9.2773437500,300,1,1.1235955056
9,2,9.2773437500,295,1,1.1048689139
9,3,9.2773437500,299,1,1.1198501873
9,4,9.2773437500,299,1,1.1198501873
9,5,9.2773437500,294,1,1.1011235955
9,6,9.2773437500,298,1,1.1161048689
9,7,9.2773437500,293,1,1.0973782772
9,8,9.2773437500,300,1,1.1235955056
9,9,9.2773437500,300,1,1.1235955056
9,10,9.2773437500,299,1,1.1198501873
9,11,9.2773437500,292,1,1.0936329588
9,12,9.2773437500,293,1,1.0973782772
9,13,9.2773437500,299,1,1.1198501873
9,14,9.2773437500,298,1,1.1161048689
9,15,9.2773437500,301,1,1.1273408240
9,16,9.2773437500,303,1,1.1348314607
9,17,9.2773437500,298,1,1.1161048689
9,18,9.2773437500,293,1,1.0973782772
9,19,9.2773437500,297,1,1.1123595506
9,20,9.2773437500,300,1,1.1235955056
9,21,9.2773437500,297,1,1.1123595506
9,22,9.2773437500,299,1,1.1198501873
9,23,9.2773437500,296,1,1.1086142322
9,24,9.2773437500,297,1,1.1123595506
9,25,9.2773437500,300,1,1.1235955056
9,26,9.2773437500,300,1,1.1235955056
9,27,9.2773437500,306,1,1.1460674157
9,28,9.2773437500,302,1,1.1310861423
9,29,9.2773437500,299,1,1.1198501873
10,0,10.2050781250,305,1,1.1423220974
10,1,10.2050781250,305,1,1.1423220974
10,2,10.2050781250,307,1,1.1498127341
10,3,10.2050781250,312,1,1.1685393258
10,4,10.2050781250,318,1,1.1910112360
