# Baseline 21, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,64,0,3.0476190476
0,1,950.0000000000,70,0,3.3333333333
0,2,950.0000000000,73,0,3.4761904762
0,3,950.0000000000,83,0,3.9523809524
0,4,950.0000000000,70,0,3.3333333333
0,5,950.0000000000,67,0,3.1904761905
0,6,950.0000000000,62,0,2.9523809524
0,7,950.0000000000,70,0,3.3333333333
0,8,950.0000000000,63,0,3.0000000000
0,9,950.0000000000,68,0,3.2380952381
0,10,950.0000000000,69,0,3.2857142857
0,11,950.0000000000,74,0,3.5238095238
0,12,950.0000000000,64,0,3.0476190476
0,13,950.0000000000,68,0,3.2380952381
0,14,950.0000000000,71,0,3.3809523810
0,15,950.0000000000,70,0,3.3333333333
0,16,950.0000000000,79,0,3.7619047619
0,17,950.0000000000,65,0,3.0952380952
0,18,950.0000000000,80,0,3.8095238095
0,19,950.0000000000,74,0,3.5238095238
0,20,950.0000000000,71,0,3.3809523810
0,21,950.0000000000,59,0,2.8095238095
0,22,950.0000000000,83,0,3.9523809524
0,23,950.0000000000,68,0,3.2380952381
0,24,950.0000000000,69,0,3.2857142857
0,25,950.0000000000,63,0,3.0000000000
0,26,950.0000000000,62,0,2.9523809524
0,27,950.0000000000,78,0,3.7142857143
0,28,950.0000000000,83,0,3.9523809524
0,29,950.0000000000,72,0,3.4285714286
1,0,475.0000000000,65,0,3.0952380952
2,0,237.5000000000,44,0,2.0952380952
3,0,118.7500000000,41,0,1.9523809524
4,0,59.3750000000,50,0,2.3809523810
5,0,29.6875000000,33,0,1.5714285714
6,0,14.8437500000,30,0,1.4285714286
7,0,7.4218750000,28,0,1.3333333333
8,0,3.7109375000,24,1,1.1428571429
8,1,3.7109375000,23,1,1.0952380952
8,2,3.7109375000,24,1,1.1428571429
8,3,3.7109375000,24,1,1.1428571429
8,4,3.7109375000,24,1,1.1428571429
8,5,3.7109375000,24,1,1.1428571429
8,6,3.7109375000,23,1,1.0952380952
8,7,3.7109375000,26,0,1.2380952381
9,0,1.8554687500,22,1,1.0476190476
9,1,1.8554687500,22,1,1.0476190476
9,2,1.8554687500,22,1,1.0476190476
9,3,1.8554687500,22,1,1.0476190476
9,4,1.8554687500,22,1,1.0476190476
9,5,1.8554687500,22,1,1.0476190476
9,6,1.8554687500,22,1,1.0476190476
9,7,1.8554687500,22,1,1.0476190476
9,8,1.8554687500,23,1,1.0952380952
9,9,1.8554687500,22,1,1.0476190476
9,10,1.8554687500,22,1,1.0476190476
9,11,1.8554687500,22,1,1.0476190476
9,12,1.8554687500,23,1,1.0952380952
9,13,1.8554687500,22,1,1.0476190476
9,14,1.8554687500,23,1,1.0952380952
9,15,1.8554687500,22,1,1.0476190476
9,16,1.8554687500,22,1,1.0476190476
9,17,1.8554687500,22,1,1.0476190476
9,18,1.8554687500,22,1,1.0476190476
9,19,1.8554687500,22,1,1.0476190476
9,20,1.8554687500,22,1,1.0476190476
9,21,1.8554687500,22,1,1.0476190476
9,22,1.8554687500,22,1,1.0476190476
9,23,1.8554687500,22,1,1.0476190476
9,24,1.8554687500,22,1,1.0476190476
9,25,1.8554687500,23,1,1.0952380952
9,26,1.8554687500,22,1,1.0476190476
9,27,1.8554687500,22,1,1.0476190476
9,28,1.8554687500,22,1,1.0476190476
9,29,1.8554687500,22,1,1.0476190476
10,0,2.7832031250,23,1,1.0952380952
10,1,2.7832031250,23,1,1.0952380952
10,2,2.7832031250,23,1,1.0952380952
10,3,2.7832031250,23,1,1.0952380952
10,4,2.7832031250,23,1,1.0952380952
10,5,2.7832031250,23,1,1.0952380952
10,6,2.7832031250,23,1,1.0952380952
10,7,2.7832031250,23,1,1.0952380952
10,8,2.7832031250,23,1,1.0952380952
10,9,2.7832031250,23,1,1.0952380952
10,10,2.7832031250,23,1,1.0952380952
10,11,2.7832031250,23,1,1.0952380952
10,12,2.7832031250,23,1,1.0952380952
10,13,2.7832031250,23,1,1.0952380952
10,14,2.7832031250,23,1,1.0952380952
10,15,2.7832031250,23,1,1.0952380952
10,16,2.7832031250,23,1,1.0952380952
10,17,2.7832031250,23,1,1.0952380952
10,18,2.7832031250,24,1,1.1428571429
10,19,2.7832031250,23,1,1.0952380952
10,20,2.7832031250,23,1,1.0952380952
10,21,2.7832031250,22,1,1.0476190476
10,22,2.7832031250,23,1,1.0952380952
10,23,2.7832031250,23,1,1.0952380952
10,24,2.7832031250,23,1,1.0952380952
10,25,2.7832031250,22,1,1.0476190476
10,26,2.7832031250,24,1,1.1428571429
10,27,2.7832031250,23,1,1.0952380952
10,28,2.7832031250,22,1,1.0476190476
10,29,2.7832031250,23,1,1.0952380952
11,0,3.2470703125,22,1,1.0476190476
11,1,3.2470703125,23,1,1.0952380952
11,2,3.2470703125,23,1,1.0952380952
11,3,3.2470703125,23,1,1.0952380952
11,4,3.2470703125,23,1,1.0952380952
11,5,3.2470703125,23,1,1.0952380952
11,6,3.2470703125,23,1,1.0952380952
11,7,3.2470703125,23,1,1.0952380952
11,8,3.2470703125,23,1,1.0952380952
11,9,3.2470703125,22,1,1.0476190476
11,10,3.2470703125,23,1,1.0952380952
11,11,3.2470703125,23,1,1.0952380952
11,12,3.2470703125,22,1,1.0476190476
11,13,3.2470703125,23,1,1.0952380952
11,14,3.2470703125,23,1,1.0952380952
11,15,3.2470703125,23,1,1.0952380952
11,16,3.2470703125,23,1,1.0952380952
11,17,3.2470703125,23,1,1.0952380952
11,18,3.2470703125,23,1,1.0952380952
11,19,3.2470703125,23,1,1.0952380952
