# Baseline 20.866666666666667, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,58,1,1.1452831379
1,452.5000000000,9.5000000000,7.5000000000,39,0,2.7795527157
2,228.7500000000,7.2500000000,6.2500000000,27,0,1.8690095847
3,116.8750000000,6.1250000000,5.6250000000,34,0,1.2939297125
4,60.9375000000,5.5625000000,5.3125000000,25,0,1.6293929712
5,88.9062500000,5.8437500000,5.4687500000,25,1,1.1980830671
6,74.9218750000,5.7031250000,5.3906250000,26,1,1.1980830671
7,39.9609375000,5.3515625000,5.1953125000,25,0,1.2460063898
8,57.4414062500,5.5273437500,5.2929687500,26,1,1.1980830671
9,31.2207031250,5.2636718750,5.1464843750,36,0,1.2460063898
