# Baseline 24911, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,80839,0,3.2451126009
0,1,950.0000000000,81194,0,3.2593633335
0,2,950.0000000000,81067,0,3.2542651841
0,3,950.0000000000,81233,0,3.2609289069
0,4,950.0000000000,80637,0,3.2370037333
0,5,950.0000000000,81301,0,3.2636586247
0,6,950.0000000000,80935,0,3.2489663201
0,7,950.0000000000,80957,0,3.2498494641
0,8,950.0000000000,80823,0,3.2444703143
0,9,950.0000000000,80792,0,3.2432258841
0,10,950.0000000000,81213,0,3.2601260487
0,11,950.0000000000,80790,0,3.2431455983
0,12,950.0000000000,81264,0,3.2621733371
0,13,950.0000000000,80752,0,3.2416201678
0,14,950.0000000000,80891,0,3.2472000321
0,15,950.0000000000,81239,0,3.2611697644
0,16,950.0000000000,81168,0,3.2583196178
0,17,950.0000000000,81137,0,3.2570751877
0,18,950.0000000000,81314,0,3.2641804825
0,19,950.0000000000,80778,0,3.2426638834
0,20,950.0000000000,81268,0,3.2623339087
0,21,950.0000000000,81009,0,3.2519368953
0,22,950.0000000000,80831,0,3.2447914576
0,23,950.0000000000,80992,0,3.2512544659
0,24,950.0000000000,80949,0,3.2495283208
0,25,950.0000000000,81350,0,3.2656256272
0,26,950.0000000000,81017,0,3.2522580386
0,27,950.0000000000,80976,0,3.2506121794
0,28,950.0000000000,81031,0,3.2528200393
0,29,950.0000000000,81136,0,3.2570350448
1,0,475.0000000000,69977,0,2.8090803260
2,0,237.5000000000,52742,0,2.1172172936
3,0,118.7500000000,47550,0,1.9087953113
4,0,59.3750000000,44717,0,1.7950704508
5,0,29.6875000000,42933,0,1.7234555016
6,0,14.8437500000,40039,0,1.6072819236
7,0,7.4218750000,30641,0,1.2300188672
8,0,3.7109375000,27481,1,1.1031672755
8,1,3.7109375000,27497,1,1.1038095620
8,2,3.7109375000,27486,1,1.1033679900
8,3,3.7109375000,27505,1,1.1041307053
8,4,3.7109375000,27484,1,1.1032877042
8,5,3.7109375000,27491,1,1.1035687046
8,6,3.7109375000,27479,1,1.1030869897
8,7,3.7109375000,27498,1,1.1038497049
8,8,3.7109375000,27475,1,1.1029264180
8,9,3.7109375000,27565,1,1.1065392798
8,10,3.7109375000,27519,1,1.1046927060
8,11,3.7109375000,27602,1,1.1080245675
8,12,3.7109375000,27482,1,1.1032074184
8,13,3.7109375000,27504,1,1.1040905624
8,14,3.7109375000,27475,1,1.1029264180
8,15,3.7109375000,27475,1,1.1029264180
8,16,3.7109375000,27494,1,1.1036891333
8,17,3.7109375000,27506,1,1.1041708482
8,18,3.7109375000,27536,1,1.1053751355
8,19,3.7109375000,27557,1,1.1062181366
8,20,3.7109375000,27560,1,1.1063385653
8,21,3.7109375000,27569,1,1.1066998515
8,22,3.7109375000,27517,1,1.1046124202
8,23,3.7109375000,27530,1,1.1051342780
8,24,3.7109375000,27566,1,1.1065794227
8,25,3.7109375000,27536,1,1.1053751355
8,26,3.7109375000,27527,1,1.1050138493
8,27,3.7109375000,27560,1,1.1063385653
8,28,3.7109375000,27551,1,1.1059772791
8,29,3.7109375000,27536,1,1.1053751355
9,0,5.5664062500,28535,1,1.1454779013
9,1,5.5664062500,28708,1,1.1524226245
9,2,5.5664062500,28592,1,1.1477660471
9,3,5.5664062500,28587,1,1.1475653326
9,4,5.5664062500,28551,1,1.1461201879
9,5,5.5664062500,28544,1,1.1458391875
9,6,5.5664062500,28572,1,1.1469631890
9,7,5.5664062500,28564,1,1.1466420457
9,8,5.5664062500,28625,1,1.1490907631
9,9,5.5664062500,28661,1,1.1505359078
9,10,5.5664062500,28679,1,1.1512584802
9,11,5.5664062500,28560,1,1.1464814740
9,12,5.5664062500,28575,1,1.1470836177
9,13,5.5664062500,28577,1,1.1471639035
9,14,5.5664062500,28566,1,1.1467223315
9,15,5.5664062500,28566,1,1.1467223315
9,16,5.5664062500,28651,1,1.1501344787
9,17,5.5664062500,28574,1,1.1470434748
9,18,5.5664062500,28589,1,1.1476456184
9,19,5.5664062500,28563,1,1.1466019028
9,20,5.5664062500,28659,1,1.1504556220
9,21,5.5664062500,28546,1,1.1459194733
9,22,5.5664062500,28608,1,1.1484083337
9,23,5.5664062500,28571,1,1.1469230460
9,24,5.5664062500,28545,1,1.1458793304
9,25,5.5664062500,28585,1,1.1474850468
9,26,5.5664062500,28606,1,1.1483280479
9,27,5.5664062500,28578,1,1.1472040464
9,28,5.5664062500,28624,1,1.1490506202
9,29,5.5664062500,28546,1,1.1459194733
10,0,6.4941406250,29534,1,1.1855806672
10,1,6.4941406250,29350,1,1.1781943720
10,2,6.4941406250,29336,1,1.1776323712
10,3,6.4941406250,29500,1,1.1842158083
10,4,6.4941406250,29313,1,1.1767090843
10,5,6.4941406250,29436,1,1.1816466621
10,6,6.4941406250,29381,1,1.1794388021
10,7,6.4941406250,29410,1,1.1806029465
10,8,6.4941406250,29315,1,1.1767893702
10,9,6.4941406250,29508,1,1.1845369515
10,10,6.4941406250,29346,1,1.1780338003
10,11,6.4941406250,29353,1,1.1783148007
10,12,6.4941406250,29407,1,1.1804825178
10,13,6.4941406250,29345,1,1.1779936574
10,14,6.4941406250,29550,1,1.1862229537
10,15,6.4941406250,29341,1,1.1778330858
10,16,6.4941406250,29358,1,1.1785155152
10,17,6.4941406250,29338,1,1.1777126571
10,18,6.4941406250,29355,1,1.1783950865
10,19,6.4941406250,29338,1,1.1777126571
10,20,6.4941406250,29358,1,1.1785155152
10,21,6.4941406250,29328,1,1.1773112280
10,22,6.4941406250,29371,1,1.1790373730
10,23,6.4941406250,29342,1,1.1778732287
10,24,6.4941406250,29344,1,1.1779535145
10,25,6.4941406250,29358,1,1.1785155152
10,26,6.4941406250,29349,1,1.1781542291
10,27,6.4941406250,29335,1,1.1775922283
10,28,6.4941406250,29359,1,1.1785556581
10,29,6.4941406250,29453,1,1.1823290916
11,0,6.9580078125,30001,0,1.2043274056
12,0,6.7260742188,30023,0,1.2052105496
13,0,6.6101074219,30198,0,1.2122355586
14,0,6.5521240234,30029,0,1.2054514070
