# Baseline 24901.066666666666, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,80534,0,1.7252396166
1,452.5000000000,9.5000000000,7.5000000000,58169,0,3.2341586438
2,228.7500000000,7.2500000000,6.2500000000,41375,0,2.3360043479
3,116.8750000000,6.1250000000,5.6250000000,33888,0,1.6615754077
4,60.9375000000,5.5625000000,5.3125000000,31541,0,1.3609055569
5,32.9687500000,5.2812500000,5.1562500000,30430,0,1.2666525664
6,18.9843750000,5.1406250000,5.0781250000,29680,0,1.2220360038
7,25.9765625000,5.2109375000,5.1171875000,30015,1,1.1919168121
8,15.4882812500,5.1054687500,5.0585937500,28622,0,1.2053700511
9,20.7324218750,5.1582031250,5.0878906250,29113,1,1.1494286724
