# Baseline 440217, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,1252782,0,2.8458283074
0,1,950.0000000000,1252555,0,2.8453126526
0,2,950.0000000000,1252190,0,2.8444835161
0,3,950.0000000000,1252899,0,2.8460940854
0,4,950.0000000000,1251957,0,2.8439542317
0,5,950.0000000000,1252737,0,2.8457260851
0,6,950.0000000000,1251917,0,2.8438633674
0,7,950.0000000000,1252066,0,2.8442018368
0,8,950.0000000000,1252147,0,2.8443858370
0,9,950.0000000000,1251812,0,2.8436248487
0,10,950.0000000000,1251675,0,2.8433136385
0,11,950.0000000000,1252501,0,2.8451899858
0,12,950.0000000000,1251836,0,2.8436793672
0,13,950.0000000000,1252027,0,2.8441132442
0,14,950.0000000000,1252462,0,2.8451013932
0,15,950.0000000000,1252010,0,2.8440746268
0,16,950.0000000000,1251826,0,2.8436566512
0,17,950.0000000000,1252107,0,2.8442949727
0,18,950.0000000000,1251686,0,2.8433386262
0,19,950.0000000000,1252468,0,2.8451150228
0,20,950.0000000000,1251917,0,2.8438633674
0,21,950.0000000000,1251496,0,2.8429070209
0,22,950.0000000000,1252641,0,2.8455080108
0,23,950.0000000000,1252318,0,2.8447742818
0,24,950.0000000000,1253125,0,2.8466074686
0,25,950.0000000000,1252067,0,2.8442041084
0,26,950.0000000000,1252300,0,2.8447333928
0,27,950.0000000000,1252375,0,2.8449037634
0,28,950.0000000000,1252114,0,2.8443108740
0,29,950.0000000000,1252749,0,2.8457533444
1,0,475.0000000000,1088804,0,2.4733347417
2,0,237.5000000000,859265,0,1.9519123523
3,0,118.7500000000,777268,0,1.7656473966
4,0,59.3750000000,724589,0,1.6459814137
5,0,29.6875000000,698852,0,1.5875170654
6,0,14.8437500000,654358,0,1.4864441855
7,0,7.4218750000,560339,0,1.2728699709
8,0,3.7109375000,478300,1,1.0865096078
8,1,3.7109375000,478135,1,1.0861347926
8,2,3.7109375000,478341,1,1.0866027436
8,3,3.7109375000,479238,1,1.0886403751
8,4,3.7109375000,478996,1,1.0880906462
8,5,3.7109375000,478319,1,1.0865527683
8,6,3.7109375000,478276,1,1.0864550892
8,7,3.7109375000,478498,1,1.0869593859
8,8,3.7109375000,478752,1,1.0875363741
8,9,3.7109375000,478922,1,1.0879225473
8,10,3.7109375000,478296,1,1.0865005213
8,11,3.7109375000,479050,1,1.0882133130
8,12,3.7109375000,478952,1,1.0879906955
8,13,3.7109375000,478912,1,1.0878998312
8,14,3.7109375000,478355,1,1.0866345461
8,15,3.7109375000,478493,1,1.0869480279
8,16,3.7109375000,479309,1,1.0888016592
8,17,3.7109375000,478301,1,1.0865118794
8,18,3.7109375000,478242,1,1.0863778546
8,19,3.7109375000,478555,1,1.0870888675
8,20,3.7109375000,478287,1,1.0864800769
8,21,3.7109375000,478295,1,1.0864982497
8,22,3.7109375000,478372,1,1.0866731635
8,23,3.7109375000,478805,1,1.0876567693
8,24,3.7109375000,478316,1,1.0865459535
8,25,3.7109375000,478177,1,1.0862302001
8,26,3.7109375000,478358,1,1.0866413610
8,27,3.7109375000,478416,1,1.0867731142
8,28,3.7109375000,478275,1,1.0864528176
8,29,3.7109375000,478967,1,1.0880247696
9,0,5.5664062500,497871,1,1.1309672275
9,1,5.5664062500,497761,1,1.1307173508
9,2,5.5664062500,497709,1,1.1305992272
9,3,5.5664062500,497601,1,1.1303538936
9,4,5.5664062500,498457,1,1.1322983892
9,5,5.5664062500,498162,1,1.1316282652
9,6,5.5664062500,497713,1,1.1306083136
9,7,5.5664062500,497772,1,1.1307423384
9,8,5.5664062500,497592,1,1.1303334492
9,9,5.5664062500,497316,1,1.1297064857
9,10,5.5664062500,498424,1,1.1322234262
9,11,5.5664062500,498634,1,1.1327004636
9,12,5.5664062500,497495,1,1.1301131033
9,13,5.5664062500,497786,1,1.1307741409
9,14,5.5664062500,498312,1,1.1319690062
9,15,5.5664062500,497792,1,1.1307877706
9,16,5.5664062500,498536,1,1.1324778462
9,17,5.5664062500,497895,1,1.1310217461
9,18,5.5664062500,497755,1,1.1307037211
9,19,5.5664062500,497706,1,1.1305924124
9,20,5.5664062500,497642,1,1.1304470295
9,21,5.5664062500,497927,1,1.1310944375
9,22,5.5664062500,498273,1,1.1318804135
9,23,5.5664062500,497652,1,1.1304697456
9,24,5.5664062500,497840,1,1.1308968077
9,25,5.5664062500,497849,1,1.1309172522
9,26,5.5664062500,497827,1,1.1308672768
9,27,5.5664062500,498050,1,1.1313738452
9,28,5.5664062500,497893,1,1.1310172029
9,29,5.5664062500,497822,1,1.1308559188
10,0,6.4941406250,507807,1,1.1535379143
10,1,6.4941406250,506674,1,1.1509641836
10,2,6.4941406250,507791,1,1.1535015685
10,3,6.4941406250,506776,1,1.1511958875
10,4,6.4941406250,507611,1,1.1530926793
10,5,6.4941406250,507074,1,1.1518728264
10,6,6.4941406250,507664,1,1.1532130745
10,7,6.4941406250,507020,1,1.1517501596
10,8,6.4941406250,507171,1,1.1520931722
10,9,6.4941406250,506964,1,1.1516229496
10,10,6.4941406250,507551,1,1.1529563829
10,11,6.4941406250,507134,1,1.1520091228
10,12,6.4941406250,506897,1,1.1514707519
10,13,6.4941406250,507071,1,1.1518660115
10,14,6.4941406250,507173,1,1.1520977154
10,15,6.4941406250,507487,1,1.1528110000
10,16,6.4941406250,507080,1,1.1518864560
10,17,6.4941406250,507764,1,1.1534402352
10,18,6.4941406250,507186,1,1.1521272463
10,19,6.4941406250,506996,1,1.1516956410
10,20,6.4941406250,506892,1,1.1514593939
10,21,6.4941406250,507932,1,1.1538218651
10,22,6.4941406250,507548,1,1.1529495681
10,23,6.4941406250,507576,1,1.1530131730
10,24,6.4941406250,507546,1,1.1529450248
10,25,6.4941406250,507173,1,1.1520977154
10,26,6.4941406250,507161,1,1.1520704562
10,27,6.4941406250,507100,1,1.1519318881
10,28,6.4941406250,506939,1,1.1515661594
10,29,6.4941406250,506642,1,1.1508914922
11,0,6.9580078125,506005,1,1.1494444785
11,1,6.9580078125,505471,1,1.1482314404
