# Baseline 440053.8, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,1255188,1,1.1691467032
1,452.5000000000,9.5000000000,7.5000000000,871428,0,2.8523512352
2,228.7500000000,7.2500000000,6.2500000000,646166,0,1.9802760481
3,116.8750000000,6.1250000000,5.6250000000,575735,0,1.4683795481
4,60.9375000000,5.5625000000,5.3125000000,529375,0,1.3083286634
5,32.9687500000,5.2812500000,5.1562500000,512378,0,1.2029779086
6,46.9531250000,5.4218750000,5.2343750000,520472,1,1.1643530859
7,39.9609375000,5.3515625000,5.1953125000,516455,1,1.1827462915
8,43.4570312500,5.3867187500,5.2148437500,518883,1,1.1736178622
9,41.7089843750,5.3691406250,5.2050781250,517414,1,1.1791353694
