# Baseline 410, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,1284,0,3.1317073171
0,1,950.0000000000,1329,0,3.2414634146
0,2,950.0000000000,1289,0,3.1439024390
0,3,950.0000000000,1293,0,3.1536585366
0,4,950.0000000000,1328,0,3.2390243902
0,5,950.0000000000,1276,0,3.1121951220
0,6,950.0000000000,1312,0,3.2000000000
0,7,950.0000000000,1301,0,3.1731707317
0,8,950.0000000000,1344,0,3.2780487805
0,9,950.0000000000,1329,0,3.2414634146
0,10,950.0000000000,1288,0,3.1414634146
0,11,950.0000000000,1337,0,3.2609756098
0,12,950.0000000000,1309,0,3.1926829268
0,13,950.0000000000,1287,0,3.1390243902
0,14,950.0000000000,1283,0,3.1292682927
0,15,950.0000000000,1317,0,3.2121951220
0,16,950.0000000000,1327,0,3.2365853659
0,17,950.0000000000,1303,0,3.1780487805
0,18,950.0000000000,1315,0,3.2073170732
0,19,950.0000000000,1322,0,3.2243902439
0,20,950.0000000000,1332,0,3.2487804878
0,21,950.0000000000,1326,0,3.2341463415
0,22,950.0000000000,1368,0,3.3365853659
0,23,950.0000000000,1312,0,3.2000000000
0,24,950.0000000000,1318,0,3.2146341463
0,25,950.0000000000,1335,0,3.2560975610
0,26,950.0000000000,1326,0,3.2341463415
0,27,950.0000000000,1318,0,3.2146341463
0,28,950.0000000000,1325,0,3.2317073171
0,29,950.0000000000,1295,0,3.1585365854
1,0,475.0000000000,1188,0,2.8975609756
2,0,237.5000000000,911,0,2.2219512195
3,0,118.7500000000,759,0,1.8512195122
4,0,59.3750000000,657,0,1.6024390244
5,0,29.6875000000,636,0,1.5512195122
6,0,14.8437500000,553,0,1.3487804878
7,0,7.4218750000,468,1,1.1414634146
7,1,7.4218750000,468,1,1.1414634146
7,2,7.4218750000,469,1,1.1439024390
7,3,7.4218750000,470,1,1.1463414634
7,4,7.4218750000,472,1,1.1512195122
7,5,7.4218750000,470,1,1.1463414634
7,6,7.4218750000,471,1,1.1487804878
7,7,7.4218750000,470,1,1.1463414634
7,8,7.4218750000,467,1,1.1390243902
7,9,7.4218750000,470,1,1.1463414634
7,10,7.4218750000,471,1,1.1487804878
7,11,7.4218750000,472,1,1.1512195122
7,12,7.4218750000,468,1,1.1414634146
7,13,7.4218750000,471,1,1.1487804878
7,14,7.4218750000,467,1,1.1390243902
7,15,7.4218750000,469,1,1.1439024390
7,16,7.4218750000,470,1,1.1463414634
7,17,7.4218750000,472,1,1.1512195122
7,18,7.4218750000,467,1,1.1390243902
7,19,7.4218750000,477,1,1.1634146341
7,20,7.4218750000,467,1,1.1390243902
7,21,7.4218750000,469,1,1.1439024390
7,22,7.4218750000,471,1,1.1487804878
7,23,7.4218750000,469,1,1.1439024390
7,24,7.4218750000,471,1,1.1487804878
7,25,7.4218750000,470,1,1.1463414634
7,26,7.4218750000,467,1,1.1390243902
7,27,7.4218750000,465,1,1.1341463415
7,28,7.4218750000,473,1,1.1536585366
7,29,7.4218750000,466,1,1.1365853659
8,0,11.1328125000,499,0,1.2170731707
9,0,9.2773437500,492,0,1.2000000000
10,0,8.3496093750,481,1,1.1731707317
10,1,8.3496093750,482,1,1.1756097561
10,2,8.3496093750,481,1,1.1731707317
10,3,8.3496093750,481,1,1.1731707317
10,4,8.3496093750,480,1,1.1707317073
10,5,8.3496093750,481,1,1.1731707317
10,6,8.3496093750,473,1,1.1536585366
10,7,8.3496093750,485,1,1.1829268293
10,8,8.3496093750,476,1,1.1609756098
10,9,8.3496093750,476,1,1.1609756098
10,10,8.3496093750,477,1,1.1634146341
10,11,8.3496093750,476,1,1.1609756098
10,12,8.3496093750,475,1,1.1585365854
10,13,8.3496093750,470,1,1.1463414634
10,14,8.3496093750,473,1,1.1536585366
10,15,8.3496093750,474,1,1.1560975610
10,16,8.3496093750,470,1,1.1463414634
10,17,8.3496093750,468,1,1.1414634146
10,18,8.3496093750,475,1,1.1585365854
10,19,8.3496093750,474,1,1.1560975610
10,20,8.3496093750,476,1,1.1609756098
10,21,8.3496093750,482,1,1.1756097561
10,22,8.3496093750,478,1,1.1658536585
10,23,8.3496093750,480,1,1.1707317073
10,24,8.3496093750,486,1,1.1853658537
10,25,8.3496093750,478,1,1.1658536585
10,26,8.3496093750,481,1,1.1731707317
10,27,8.3496093750,482,1,1.1756097561
10,28,8.3496093750,470,1,1.1463414634
10,29,8.3496093750,470,1,1.1463414634
11,0,8.8134765625,498,0,1.2146341463
12,0,8.5815429688,485,1,1.1829268293
12,1,8.5815429688,500,0,1.2195121951
13,0,8.4655761719,505,0,1.2317073171
14,0,8.4075927734,492,0,1.2000000000
