# Baseline 409.1666666666667, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,1366,1,1.1848067507
1,452.5000000000,9.5000000000,7.5000000000,1089,0,3.3384928717
2,228.7500000000,7.2500000000,6.2500000000,619,0,2.6615071283
3,116.8750000000,6.1250000000,5.6250000000,568,0,1.5128309572
4,60.9375000000,5.5625000000,5.3125000000,495,0,1.3881873727
5,32.9687500000,5.2812500000,5.1562500000,477,0,1.2097759674
6,46.9531250000,5.4218750000,5.2343750000,470,1,1.1657841141
7,39.9609375000,5.3515625000,5.1953125000,485,1,1.1486761711
8,43.4570312500,5.3867187500,5.2148437500,484,1,1.1853360489
9,41.7089843750,5.3691406250,5.2050781250,465,1,1.1828920570
