# Baseline 19805, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,60252,0,3.0422620550
0,1,950.0000000000,60117,0,3.0354455945
0,2,950.0000000000,60500,0,3.0547841454
0,3,950.0000000000,60493,0,3.0544306993
0,4,950.0000000000,60600,0,3.0598333754
0,5,950.0000000000,60421,0,3.0507952537
0,6,950.0000000000,60319,0,3.0456450391
0,7,950.0000000000,60183,0,3.0387780863
0,8,950.0000000000,60386,0,3.0490280232
0,9,950.0000000000,60574,0,3.0585205756
0,10,950.0000000000,60358,0,3.0476142388
0,11,950.0000000000,60445,0,3.0520070689
0,12,950.0000000000,60189,0,3.0390810401
0,13,950.0000000000,60332,0,3.0463014390
0,14,950.0000000000,60453,0,3.0524110073
0,15,950.0000000000,60372,0,3.0483211310
0,16,950.0000000000,60365,0,3.0479676849
0,17,950.0000000000,60373,0,3.0483716233
0,18,950.0000000000,60413,0,3.0503913153
0,19,950.0000000000,60317,0,3.0455440545
0,20,950.0000000000,60502,0,3.0548851300
0,21,950.0000000000,60472,0,3.0533703610
0,22,950.0000000000,60609,0,3.0602878061
0,23,950.0000000000,60237,0,3.0415046705
0,24,950.0000000000,60473,0,3.0534208533
0,25,950.0000000000,60641,0,3.0619035597
0,26,950.0000000000,60583,0,3.0589750063
0,27,950.0000000000,60485,0,3.0540267609
0,28,950.0000000000,60565,0,3.0580661449
0,29,950.0000000000,60491,0,3.0543297147
1,0,475.0000000000,54378,0,2.7456702853
2,0,237.5000000000,39942,0,2.0167634436
3,0,118.7500000000,35652,0,1.8001514769
4,0,59.3750000000,33862,0,1.7097702600
5,0,29.6875000000,31562,0,1.5936379702
6,0,14.8437500000,28466,0,1.4373138096
7,0,7.4218750000,22881,1,1.1553143146
7,1,7.4218750000,23014,1,1.1620297905
7,2,7.4218750000,22874,1,1.1549608685
7,3,7.4218750000,22830,1,1.1527392073
7,4,7.4218750000,22868,1,1.1546579147
7,5,7.4218750000,22848,1,1.1536480687
7,6,7.4218750000,22989,1,1.1607674830
7,7,7.4218750000,22827,1,1.1525877304
7,8,7.4218750000,22970,1,1.1598081293
7,9,7.4218750000,22861,1,1.1543044686
7,10,7.4218750000,22840,1,1.1532441303
7,11,7.4218750000,22804,1,1.1514264075
7,12,7.4218750000,22855,1,1.1540015148
7,13,7.4218750000,22895,1,1.1560212068
7,14,7.4218750000,22871,1,1.1548093916
7,15,7.4218750000,22866,1,1.1545569301
7,16,7.4218750000,22866,1,1.1545569301
7,17,7.4218750000,22837,1,1.1530926534
7,18,7.4218750000,23067,1,1.1647058824
7,19,7.4218750000,22850,1,1.1537490533
7,20,7.4218750000,22854,1,1.1539510225
7,21,7.4218750000,22861,1,1.1543044686
7,22,7.4218750000,22840,1,1.1532441303
7,23,7.4218750000,22988,1,1.1607169907
7,24,7.4218750000,22927,1,1.1576369604
7,25,7.4218750000,22831,1,1.1527896996
7,26,7.4218750000,22838,1,1.1531431457
7,27,7.4218750000,22855,1,1.1540015148
7,28,7.4218750000,22825,1,1.1524867458
7,29,7.4218750000,22964,1,1.1595051755
8,0,11.1328125000,24887,0,1.2566018682
9,0,9.2773437500,25792,0,1.3022973996
10,0,8.3496093750,26728,0,1.3495581924
11,0,7.8857421875,23141,1,1.1684423125
11,1,7.8857421875,23180,1,1.1704115122
11,2,7.8857421875,23160,1,1.1694016662
