# Baseline 19768.7, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,63901,1,1.1364562118
1,452.5000000000,9.5000000000,7.5000000000,42925,0,3.2324330887
2,228.7500000000,7.2500000000,6.2500000000,31657,0,2.1713617992
3,116.8750000000,6.1250000000,5.6250000000,26388,0,1.6013698422
4,60.9375000000,5.5625000000,5.3125000000,24050,0,1.3348373945
5,32.9687500000,5.2812500000,5.1562500000,23139,0,1.2165696277
6,46.9531250000,5.4218750000,5.2343750000,23500,1,1.1704866784
7,39.9609375000,5.3515625000,5.1953125000,23372,1,1.1887478691
8,43.4570312500,5.3867187500,5.2148437500,23466,1,1.1822729871
9,41.7089843750,5.3691406250,5.2050781250,23460,1,1.1870279786
