# Baseline 371971, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,672167,0,1.8070414091
0,1,950.0000000000,672211,0,1.8071596979
0,2,950.0000000000,672471,0,1.8078586772
0,3,950.0000000000,672109,0,1.8068854830
0,4,950.0000000000,672155,0,1.8070091486
0,5,950.0000000000,672021,0,1.8066489054
0,6,950.0000000000,672423,0,1.8077296348
0,7,950.0000000000,671797,0,1.8060467079
0,8,950.0000000000,672450,0,1.8078022211
0,9,950.0000000000,672098,0,1.8068559108
0,10,950.0000000000,671977,0,1.8065306166
0,11,950.0000000000,671840,0,1.8061623084
0,12,950.0000000000,672235,0,1.8072242191
0,13,950.0000000000,671899,0,1.8063209229
0,14,950.0000000000,672016,0,1.8066354635
0,15,950.0000000000,672323,0,1.8074607967
0,16,950.0000000000,672250,0,1.8072645448
0,17,950.0000000000,672095,0,1.8068478457
0,18,950.0000000000,672444,0,1.8077860909
0,19,950.0000000000,672072,0,1.8067860129
0,20,950.0000000000,672319,0,1.8074500431
0,21,950.0000000000,672317,0,1.8074446664
0,22,950.0000000000,671944,0,1.8064419000
0,23,950.0000000000,672333,0,1.8074876805
0,24,950.0000000000,671936,0,1.8064203930
0,25,950.0000000000,672014,0,1.8066300868
0,26,950.0000000000,672057,0,1.8067456872
0,27,950.0000000000,672378,0,1.8076086577
0,28,950.0000000000,672287,0,1.8073640149
0,29,950.0000000000,672401,0,1.8076704904
1,0,475.0000000000,591507,0,1.5901965476
2,0,237.5000000000,515564,0,1.3860327821
3,0,118.7500000000,487879,0,1.3116049369
4,0,59.3750000000,474654,0,1.2760510900
5,0,29.6875000000,467763,0,1.2575254523
6,0,14.8437500000,441198,1,1.1861085945
6,1,14.8437500000,450767,0,1.2118337182
7,0,7.4218750000,401324,1,1.0789120657
7,1,7.4218750000,401251,1,1.0787158139
7,2,7.4218750000,401240,1,1.0786862417
7,3,7.4218750000,401341,1,1.0789577682
7,4,7.4218750000,401315,1,1.0788878703
7,5,7.4218750000,401304,1,1.0788582981
7,6,7.4218750000,401262,1,1.0787453861
7,7,7.4218750000,401209,1,1.0786029018
7,8,7.4218750000,401224,1,1.0786432276
7,9,7.4218750000,401293,1,1.0788287259
7,10,7.4218750000,401299,1,1.0788448562
7,11,7.4218750000,401250,1,1.0787131255
7,12,7.4218750000,401351,1,1.0789846520
7,13,7.4218750000,401258,1,1.0787346325
7,14,7.4218750000,401278,1,1.0787884002
7,15,7.4218750000,401311,1,1.0788771168
7,16,7.4218750000,401331,1,1.0789308844
7,17,7.4218750000,401314,1,1.0788851819
7,18,7.4218750000,401360,1,1.0790088475
7,19,7.4218750000,401331,1,1.0789308844
7,20,7.4218750000,401304,1,1.0788582981
7,21,7.4218750000,401366,1,1.0790249778
7,22,7.4218750000,406267,1,1.0922007361
7,23,7.4218750000,406347,1,1.0924158066
7,24,7.4218750000,406170,1,1.0919399631
7,25,7.4218750000,406205,1,1.0920340564
7,26,7.4218750000,406272,1,1.0922141780
7,27,7.4218750000,406313,1,1.0923244016
7,28,7.4218750000,406271,1,1.0922114896
7,29,7.4218750000,406318,1,1.0923378435
8,0,11.1328125000,421464,1,1.1330560716
8,1,11.1328125000,428660,1,1.1524016657
8,2,11.1328125000,428952,1,1.1531866732
8,3,11.1328125000,428194,1,1.1511488799
8,4,11.1328125000,428963,1,1.1532162454
8,5,11.1328125000,421051,1,1.1319457700
8,6,11.1328125000,421339,1,1.1327200239
8,7,11.1328125000,421383,1,1.1328383127
8,8,11.1328125000,428862,1,1.1529447188
8,9,11.1328125000,428564,1,1.1521435811
8,10,11.1328125000,428822,1,1.1528371835
8,11,11.1328125000,428178,1,1.1511058658
8,12,11.1328125000,428890,1,1.1530199935
8,13,11.1328125000,428918,1,1.1530952682
8,14,11.1328125000,428817,1,1.1528237416
8,15,11.1328125000,421691,1,1.1336663342
8,16,11.1328125000,421258,1,1.1325022650
8,17,11.1328125000,421379,1,1.1328275591
8,18,11.1328125000,421414,1,1.1329216525
