# Baseline 32657, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,107470,0,3.2908717886
0,1,950.0000000000,107052,0,3.2780720826
0,2,950.0000000000,107056,0,3.2781945678
0,3,950.0000000000,107289,0,3.2853293321
0,4,950.0000000000,107180,0,3.2819916098
0,5,950.0000000000,107089,0,3.2792050709
0,6,950.0000000000,107280,0,3.2850537404
0,7,950.0000000000,107227,0,3.2834308112
0,8,950.0000000000,106946,0,3.2748262241
0,9,950.0000000000,107505,0,3.2919435343
0,10,950.0000000000,106897,0,3.2733257801
0,11,950.0000000000,107217,0,3.2831245981
0,12,950.0000000000,106787,0,3.2699574364
0,13,950.0000000000,107256,0,3.2843188290
0,14,950.0000000000,107373,0,3.2879015219
0,15,950.0000000000,107232,0,3.2835839177
0,16,950.0000000000,107000,0,3.2764797746
0,17,950.0000000000,107308,0,3.2859111370
0,18,950.0000000000,107261,0,3.2844719356
0,19,950.0000000000,106902,0,3.2734788866
0,20,950.0000000000,106989,0,3.2761429403
0,21,950.0000000000,106765,0,3.2692837676
0,22,950.0000000000,106728,0,3.2681507793
0,23,950.0000000000,106646,0,3.2656398322
0,24,950.0000000000,106649,0,3.2657316961
0,25,950.0000000000,106504,0,3.2612916067
0,26,950.0000000000,106725,0,3.2680589154
0,27,950.0000000000,106770,0,3.2694368742
0,28,950.0000000000,106763,0,3.2692225250
0,29,950.0000000000,106981,0,3.2758979698
1,0,475.0000000000,88459,0,2.7087301344
2,0,237.5000000000,66430,0,2.0341733778
3,0,118.7500000000,61123,0,1.8716661053
4,0,59.3750000000,58630,0,1.7953271887
5,0,29.6875000000,56504,0,1.7302262915
6,0,14.8437500000,49866,0,1.5269620602
7,0,7.4218750000,40024,0,1.2255871635
8,0,3.7109375000,36110,1,1.1057353707
8,1,3.7109375000,36823,1,1.1275683621
8,2,3.7109375000,36772,1,1.1260066754
8,3,3.7109375000,36958,1,1.1317022384
8,4,3.7109375000,36812,1,1.1272315277
8,5,3.7109375000,36817,1,1.1273846342
8,6,3.7109375000,36771,1,1.1259760541
8,7,3.7109375000,36794,1,1.1266803442
8,8,3.7109375000,36790,1,1.1265578590
8,9,3.7109375000,36939,1,1.1311204336
8,10,3.7109375000,36810,1,1.1271702851
8,11,3.7109375000,36798,1,1.1268028294
8,12,3.7109375000,36903,1,1.1300180666
8,13,3.7109375000,36906,1,1.1301099305
8,14,3.7109375000,36948,1,1.1313960254
8,15,3.7109375000,36833,1,1.1278745751
8,16,3.7109375000,36771,1,1.1259760541
8,17,3.7109375000,36807,1,1.1270784212
8,18,3.7109375000,36799,1,1.1268334507
8,19,3.7109375000,36805,1,1.1270171786
8,20,3.7109375000,36908,1,1.1301711731
8,21,3.7109375000,36943,1,1.1312429188
8,22,3.7109375000,36937,1,1.1310591910
8,23,3.7109375000,36788,1,1.1264966163
8,24,3.7109375000,36782,1,1.1263128885
8,25,3.7109375000,36837,1,1.1279970604
8,26,3.7109375000,36910,1,1.1302324157
8,27,3.7109375000,36781,1,1.1262822672
8,28,3.7109375000,36776,1,1.1261291607
8,29,3.7109375000,36818,1,1.1274152555
9,0,5.5664062500,37820,1,1.1580978045
9,1,5.5664062500,37681,1,1.1538414429
9,2,5.5664062500,37867,1,1.1595370058
9,3,5.5664062500,37700,1,1.1544232477
9,4,5.5664062500,37714,1,1.1548519460
9,5,5.5664062500,37726,1,1.1552194017
9,6,5.5664062500,37680,1,1.1538108216
9,7,5.5664062500,37739,1,1.1556174786
9,8,5.5664062500,37722,1,1.1550969164
9,9,5.5664062500,37902,1,1.1606087516
9,10,5.5664062500,37684,1,1.1539333068
9,11,5.5664062500,37756,1,1.1561380408
9,12,5.5664062500,37667,1,1.1534127446
9,13,5.5664062500,37839,1,1.1586796093
9,14,5.5664062500,37701,1,1.1544538690
9,15,5.5664062500,37691,1,1.1541476559
9,16,5.5664062500,37679,1,1.1537802003
9,17,5.5664062500,37694,1,1.1542395199
9,18,5.5664062500,37739,1,1.1556174786
9,19,5.5664062500,37703,1,1.1545151116
9,20,5.5664062500,37855,1,1.1591695502
9,21,5.5664062500,37819,1,1.1580671831
9,22,5.5664062500,37713,1,1.1548213247
9,23,5.5664062500,37673,1,1.1535964724
9,24,5.5664062500,37668,1,1.1534433659
9,25,5.5664062500,37727,1,1.1552500230
9,26,5.5664062500,37738,1,1.1555868573
9,27,5.5664062500,37680,1,1.1538108216
9,28,5.5664062500,37708,1,1.1546682181
9,29,5.5664062500,37721,1,1.1550662951
10,0,6.4941406250,41735,0,1.2779802186
11,0,6.0302734375,38228,1,1.1705912974
11,1,6.0302734375,38343,1,1.1741127476
11,2,6.0302734375,38169,1,1.1687846404
11,3,6.0302734375,38356,1,1.1745108246
11,4,6.0302734375,38206,1,1.1699176287
11,5,6.0302734375,38196,1,1.1696114156
11,6,6.0302734375,38193,1,1.1695195517
11,7,6.0302734375,38296,1,1.1726735463
11,8,6.0302734375,38168,1,1.1687540190
11,9,6.0302734375,38171,1,1.1688458830
11,10,6.0302734375,38191,1,1.1694583091
11,11,6.0302734375,38365,1,1.1747864164
11,12,6.0302734375,38180,1,1.1691214747
11,13,6.0302734375,38233,1,1.1707444040
11,14,6.0302734375,38190,1,1.1694276878
11,15,6.0302734375,38218,1,1.1702850844
11,16,6.0302734375,38335,1,1.1738677772
11,17,6.0302734375,38271,1,1.1719080136
11,18,6.0302734375,38187,1,1.1693358239
11,19,6.0302734375,38221,1,1.1703769483
11,20,6.0302734375,38179,1,1.1690908534
11,21,6.0302734375,38365,1,1.1747864164
11,22,6.0302734375,38212,1,1.1701013565
11,23,6.0302734375,38303,1,1.1728878954
11,24,6.0302734375,38198,1,1.1696726582
11,25,6.0302734375,38480,1,1.1783078666
11,26,6.0302734375,38217,1,1.1702544631
11,27,6.0302734375,38513,1,1.1793183697
11,28,6.0302734375,38216,1,1.1702238417
11,29,6.0302734375,38167,1,1.1687233977
12,0,6.2622070312,38621,1,1.1826254708
12,1,6.2622070312,38796,1,1.1879841994
12,2,6.2622070312,38860,1,1.1899439630
12,3,6.2622070312,38663,1,1.1839115657
12,4,6.2622070312,38680,1,1.1844321279
12,5,6.2622070312,38635,1,1.1830541691
12,6,6.2622070312,38721,1,1.1856876014
12,7,6.2622070312,38603,1,1.1820742873
12,8,6.2622070312,38719,1,1.1856263588
