# Baseline 32613.766666666666, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,114190,1,1.1867244685
1,452.5000000000,9.5000000000,7.5000000000,80373,0,3.5012821784
2,228.7500000000,7.2500000000,6.2500000000,56779,0,2.4643887602
3,116.8750000000,6.1250000000,5.6250000000,45848,0,1.7409519293
4,60.9375000000,5.5625000000,5.3125000000,42411,0,1.4057867179
5,32.9687500000,5.2812500000,5.1562500000,41064,0,1.3004017731
6,18.9843750000,5.1406250000,5.0781250000,40279,0,1.2591001959
7,11.9921875000,5.0703125000,5.0390625000,38301,0,1.2350306057
8,15.4882812500,5.1054687500,5.0585937500,38476,1,1.1743813706
9,13.7402343750,5.0878906250,5.0488281250,38445,1,1.1797472029
