# Baseline 3119305, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,5536153,0,1.7748033616
0,1,950.0000000000,5534046,0,1.7741278907
0,2,950.0000000000,5535325,0,1.7745379179
0,3,950.0000000000,5535823,0,1.7746975688
0,4,950.0000000000,5535977,0,1.7747469388
0,5,950.0000000000,5505336,0,1.7649239173
0,6,950.0000000000,5504900,0,1.7647841426
0,7,950.0000000000,5504218,0,1.7645655042
0,8,950.0000000000,5504503,0,1.7646568707
0,9,950.0000000000,5504659,0,1.7647068818
0,10,950.0000000000,5505351,0,1.7649287261
0,11,950.0000000000,5504795,0,1.7647504813
0,12,950.0000000000,5504844,0,1.7647661899
0,13,950.0000000000,5504205,0,1.7645613366
0,14,950.0000000000,5249356,0,1.6828607655
0,15,950.0000000000,5504254,0,1.7645770452
0,16,950.0000000000,5503856,0,1.7644494527
0,17,950.0000000000,5503957,0,1.7644818317
0,18,950.0000000000,5504987,0,1.7648120334
0,19,950.0000000000,5504525,0,1.7646639235
0,20,950.0000000000,5505734,0,1.7650515099
0,21,950.0000000000,5504198,0,1.7645590925
0,22,950.0000000000,5504653,0,1.7647049583
0,23,950.0000000000,5504744,0,1.7647341315
0,24,950.0000000000,5504000,0,1.7644956168
0,25,950.0000000000,5504470,0,1.7646462914
0,26,950.0000000000,5505124,0,1.7648559535
0,27,950.0000000000,5504393,0,1.7646216064
0,28,950.0000000000,5504252,0,1.7645764040
0,29,950.0000000000,5504204,0,1.7645610160
1,0,475.0000000000,4921571,0,1.5777780627
2,0,237.5000000000,4349931,0,1.3945192920
3,0,118.7500000000,4140101,0,1.3272511024
4,0,59.3750000000,3995281,0,1.2808240938
5,0,29.6875000000,3924003,0,1.2579734909
6,0,14.8437500000,3715065,1,1.1909912625
6,1,14.8437500000,3696970,1,1.1851902908
6,2,14.8437500000,3738013,1,1.1983480294
6,3,14.8437500000,3678604,1,1.1793024408
6,4,14.8437500000,3814320,0,1.2228108505
7,0,7.4218750000,3524424,1,1.1298747638
7,1,7.4218750000,3524724,1,1.1299709390
7,2,7.4218750000,3524974,1,1.1300510851
7,3,7.4218750000,3524552,1,1.1299157986
7,4,7.4218750000,3524602,1,1.1299318278
7,5,7.4218750000,3524714,1,1.1299677332
7,6,7.4218750000,3524622,1,1.1299382394
7,7,7.4218750000,3524410,1,1.1298702756
7,8,7.4218750000,3524673,1,1.1299545892
7,9,7.4218750000,3524927,1,1.1300360176
7,10,7.4218750000,3524865,1,1.1300161414
7,11,7.4218750000,3524551,1,1.1299154780
7,12,7.4218750000,3524992,1,1.1300568556
7,13,7.4218750000,3525011,1,1.1300629467
7,14,7.4218750000,3524527,1,1.1299077839
7,15,7.4218750000,3524702,1,1.1299638862
7,16,7.4218750000,3510645,1,1.1254574336
7,17,7.4218750000,3510755,1,1.1254926979
7,18,7.4218750000,3524694,1,1.1299613215
7,19,7.4218750000,3524774,1,1.1299869683
7,20,7.4218750000,3524537,1,1.1299109898
7,21,7.4218750000,3524786,1,1.1299908153
7,22,7.4218750000,3524663,1,1.1299513834
7,23,7.4218750000,3524838,1,1.1300074856
7,24,7.4218750000,3524617,1,1.1299366365
7,25,7.4218750000,3524411,1,1.1298705962
7,26,7.4218750000,3524603,1,1.1299321483
7,27,7.4218750000,3524391,1,1.1298641845
7,28,7.4218750000,3524499,1,1.1298988076
7,29,7.4218750000,3524580,1,1.1299247749
8,0,11.1328125000,3550499,1,1.1382339976
8,1,11.1328125000,3550441,1,1.1382154038
8,2,11.1328125000,3550215,1,1.1381429517
8,3,11.1328125000,3550561,1,1.1382538739
8,4,11.1328125000,3549975,1,1.1380660115
8,5,11.1328125000,3550842,1,1.1383439580
8,6,11.1328125000,3787969,0,1.2143631354
9,0,9.2773437500,3519359,1,1.1282510046
9,1,9.2773437500,3516386,1,1.1272979077
9,2,9.2773437500,3519908,1,1.1284270054
9,3,9.2773437500,3514183,1,1.1265916606
9,4,9.2773437500,3522809,1,1.1293570202
9,5,9.2773437500,3517457,1,1.1276412534
9,6,9.2773437500,3514277,1,1.1266217956
9,7,9.2773437500,3516871,1,1.1274533911
9,8,9.2773437500,3521565,1,1.1289582134
9,9,9.2773437500,3530577,1,1.1318473186
9,10,9.2773437500,3516052,1,1.1271908326
9,11,9.2773437500,3517435,1,1.1276342006
9,12,9.2773437500,3517662,1,1.1277069732
9,13,9.2773437500,3515157,1,1.1269039097
9,14,9.2773437500,3523046,1,1.1294329987
9,15,9.2773437500,3521586,1,1.1289649457
9,16,9.2773437500,3515057,1,1.1268718513
9,17,9.2773437500,3508522,1,1.1247768333
9,18,9.2773437500,3510614,1,1.1254474955
9,19,9.2773437500,3512777,1,1.1261409192
9,20,9.2773437500,3506493,1,1.1241263679
9,21,9.2773437500,3523473,1,1.1295698882
9,22,9.2773437500,3530385,1,1.1317857664
9,23,9.2773437500,3520807,1,1.1287152106
9,24,9.2773437500,3505600,1,1.1238400862
9,25,9.2773437500,3524111,1,1.1297744209
9,26,9.2773437500,3521862,1,1.1290534270
9,27,9.2773437500,3509932,1,1.1252288571
9,28,9.2773437500,3515125,1,1.1268936510
9,29,9.2773437500,3523642,1,1.1296240669
10,0,10.2050781250,4018609,0,1.2883026828
11,0,9.7412109375,3555432,1,1.1398154397
11,1,9.7412109375,3544547,1,1.1363258803
11,2,9.7412109375,3543244,1,1.1359081590
11,3,9.7412109375,3542650,1,1.1357177320
11,4,9.7412109375,3538738,1,1.1344636065
11,5,9.7412109375,3541219,1,1.1352589760
11,6,9.7412109375,3551511,1,1.1385584289
11,7,9.7412109375,3540342,1,1.1349778236
11,8,9.7412109375,3552267,1,1.1388007906
11,9,9.7412109375,3550163,1,1.1381262813
11,10,9.7412109375,3548536,1,1.1376046908
11,11,9.7412109375,3546836,1,1.1370596976
11,12,9.7412109375,3551994,1,1.1387132711
11,13,9.7412109375,3554192,1,1.1394179152
11,14,9.7412109375,3542058,1,1.1355279461
11,15,9.7412109375,3548034,1,1.1374437575
11,16,9.7412109375,3546229,1,1.1368651030
11,17,9.7412109375,3550054,1,1.1380913377
11,18,9.7412109375,3549139,1,1.1377980031
11,19,9.7412109375,3549612,1,1.1379496394
11,20,9.7412109375,3540585,1,1.1350557256
11,21,9.7412109375,3548317,1,1.1375344828
11,22,9.7412109375,3542869,1,1.1357879399
11,23,9.7412109375,3555972,1,1.1399885551
11,24,9.7412109375,3539463,1,1.1346960300
11,25,9.7412109375,3543494,1,1.1359883051
11,26,9.7412109375,3540567,1,1.1350499550
11,27,9.7412109375,3549563,1,1.1379339308
11,28,9.7412109375,3543233,1,1.1359046326
11,29,9.7412109375,3546744,1,1.1370302038
12,0,9.9731445312,3544022,1,1.1361575736
12,1,9.9731445312,3542324,1,1.1356132215
12,2,9.9731445312,3544968,1,1.1364608462
12,3,9.9731445312,3520108,1,1.1284911222
12,4,9.9731445312,3524065,1,1.1297596740
12,5,9.9731445312,3518246,1,1.1278941944
12,6,9.9731445312,3545829,1,1.1367368693
12,7,9.9731445312,3543464,1,1.1359786876
12,8,9.9731445312,3544435,1,1.1362899749
12,9,9.9731445312,3516749,1,1.1274142798
12,10,9.9731445312,3519288,1,1.1282282432
12,11,9.9731445312,3546053,1,1.1368086801
12,12,9.9731445312,3544554,1,1.1363281244
12,13,9.9731445312,3543208,1,1.1358966180
12,14,9.9731445312,3544537,1,1.1363226744
12,15,9.9731445312,3543972,1,1.1361415444
12,16,9.9731445312,3529337,1,1.1314497941
12,17,9.9731445312,3545175,1,1.1365272072
12,18,9.9731445312,3543830,1,1.1360960214
12,19,9.9731445312,3536012,1,1.1335896939
12,20,9.9731445312,3518023,1,1.1278227041
12,21,9.9731445312,3519314,1,1.1282365783
12,22,9.9731445312,3515690,1,1.1270747811
12,23,9.9731445312,3519180,1,1.1281936201
12,24,9.9731445312,3516302,1,1.1272709786
12,25,9.9731445312,3520572,1,1.1286398733
12,26,9.9731445312,3518849,1,1.1280875067
12,27,9.9731445312,3516355,1,1.1272879696
12,28,9.9731445312,3523846,1,1.1296894661
12,29,9.9731445312,3542610,1,1.1357049086
13,0,10.0891113281,3517191,1,1.1275559780
13,1,10.0891113281,3517220,1,1.1275652750
13,2,10.0891113281,3514653,1,1.1267423352
13,3,10.0891113281,3518452,1,1.1279602347
13,4,10.0891113281,3543783,1,1.1360809539
13,5,10.0891113281,3541958,1,1.1354958877
13,6,10.0891113281,3516729,1,1.1274078681
13,7,10.0891113281,3515984,1,1.1271690328
13,8,10.0891113281,3520487,1,1.1286126236
13,9,10.0891113281,3515742,1,1.1270914515
13,10,10.0891113281,3515828,1,1.1271190217
13,11,10.0891113281,3521021,1,1.1287838156
13,12,10.0891113281,3518299,1,1.1279111853
13,13,10.0891113281,3516238,1,1.1272504612
13,14,10.0891113281,3544636,1,1.1363544123
13,15,10.0891113281,3543726,1,1.1360626806
13,16,10.0891113281,3543761,1,1.1360739011
13,17,10.0891113281,3544286,1,1.1362422078
13,18,10.0891113281,3541970,1,1.1354997347
13,19,10.0891113281,3545401,1,1.1365996592
13,20,10.0891113281,3543886,1,1.1361139741
13,21,10.0891113281,3543285,1,1.1359213030
13,22,10.0891113281,3519090,1,1.1281647675
13,23,10.0891113281,3542449,1,1.1356532946
13,24,10.0891113281,3545335,1,1.1365785007
13,25,10.0891113281,3545695,1,1.1366939110
13,26,10.0891113281,3541009,1,1.1351916533
13,27,10.0891113281,3514311,1,1.1266326954
13,28,10.0891113281,3515251,1,1.1269340446
13,29,10.0891113281,3515846,1,1.1271247922
14,0,10.1470947266,3519303,1,1.1282330519
14,1,10.1470947266,3518294,1,1.1279095824
14,2,10.1470947266,3517489,1,1.1276515121
14,3,10.1470947266,3517418,1,1.1276287506
14,4,10.1470947266,3516477,1,1.1273270809
14,5,10.1470947266,3517069,1,1.1275168667
14,6,10.1470947266,3516663,1,1.1273867095
14,7,10.1470947266,3516478,1,1.1273274015
14,8,10.1470947266,3519619,1,1.1283343565
14,9,10.1470947266,3516525,1,1.1273424689
14,10,10.1470947266,3544272,1,1.1362377196
14,11,10.1470947266,3544092,1,1.1361800145
14,12,10.1470947266,3542726,1,1.1357420964
14,13,10.1470947266,3543550,1,1.1360062578
14,14,10.1470947266,3543425,1,1.1359661848
14,15,10.1470947266,3544169,1,1.1362046994
14,16,10.1470947266,3542391,1,1.1356347007
14,17,10.1470947266,3542833,1,1.1357763989
14,18,10.1470947266,3543797,1,1.1360854421
14,19,10.1470947266,3543114,1,1.1358664831
14,20,10.1470947266,3543817,1,1.1360918538
14,21,10.1470947266,3546089,1,1.1368202212
14,22,10.1470947266,3544364,1,1.1362672134
14,23,10.1470947266,3543584,1,1.1360171577
14,24,10.1470947266,3543823,1,1.1360937773
14,25,10.1470947266,3543002,1,1.1358305776
14,26,10.1470947266,3522747,1,1.1293371440
14,27,10.1470947266,3515864,1,1.1271305627
14,28,10.1470947266,3517710,1,1.1277223612
14,29,10.1470947266,3518462,1,1.1279634406
