# Baseline 94103, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,311503,0,3.3102345302
0,1,950.0000000000,310954,0,3.3044004973
0,2,950.0000000000,311714,0,3.3124767542
0,3,950.0000000000,311822,0,3.3136244328
0,4,950.0000000000,310994,0,3.3048255635
0,5,950.0000000000,311692,0,3.3122429678
0,6,950.0000000000,311512,0,3.3103301701
0,7,950.0000000000,311317,0,3.3082579726
0,8,950.0000000000,311967,0,3.3151652976
0,9,950.0000000000,311570,0,3.3109465161
0,10,950.0000000000,311489,0,3.3100857571
0,11,950.0000000000,311397,0,3.3091081049
0,12,950.0000000000,311057,0,3.3054950427
0,13,950.0000000000,311551,0,3.3107446096
0,14,950.0000000000,311687,0,3.3121898345
0,15,950.0000000000,311458,0,3.3097563308
0,16,950.0000000000,311690,0,3.3122217145
0,17,950.0000000000,311736,0,3.3127105406
0,18,950.0000000000,311763,0,3.3129974602
0,19,950.0000000000,311677,0,3.3120835680
0,20,950.0000000000,311812,0,3.3135181663
0,21,950.0000000000,311425,0,3.3094056513
0,22,950.0000000000,311603,0,3.3112971956
0,23,950.0000000000,311268,0,3.3077372666
0,24,950.0000000000,311983,0,3.3153353241
0,25,950.0000000000,311283,0,3.3078966664
0,26,950.0000000000,311054,0,3.3054631627
0,27,950.0000000000,311513,0,3.3103407968
0,28,950.0000000000,311384,0,3.3089699584
0,29,950.0000000000,311410,0,3.3092462514
1,0,475.0000000000,274635,0,2.9184510589
2,0,237.5000000000,206335,0,2.1926506063
3,0,118.7500000000,174994,0,1.8596006504
4,0,59.3750000000,159624,0,1.6962689819
5,0,29.6875000000,155021,0,1.6473544945
6,0,14.8437500000,144341,0,1.5338618322
7,0,7.4218750000,112400,1,1.1944358841
7,1,7.4218750000,112202,1,1.1923318066
7,2,7.4218750000,112819,1,1.1988884520
7,3,7.4218750000,112409,1,1.1945315240
7,4,7.4218750000,112849,1,1.1992072516
7,5,7.4218750000,112447,1,1.1949353368
7,6,7.4218750000,112332,1,1.1937132716
7,7,7.4218750000,112375,1,1.1941702177
7,8,7.4218750000,112363,1,1.1940426979
7,9,7.4218750000,112455,1,1.1950203500
7,10,7.4218750000,112262,1,1.1929694059
7,11,7.4218750000,112505,1,1.1955516827
7,12,7.4218750000,112265,1,1.1930012858
7,13,7.4218750000,112400,1,1.1944358841
7,14,7.4218750000,112483,1,1.1953178963
7,15,7.4218750000,112379,1,1.1942127244
7,16,7.4218750000,112257,1,1.1929162726
7,17,7.4218750000,112601,1,1.1965718415
7,18,7.4218750000,112707,1,1.1976982668
7,19,7.4218750000,112455,1,1.1950203500
7,20,7.4218750000,112395,1,1.1943827508
7,21,7.4218750000,112900,1,1.1997492110
7,22,7.4218750000,112232,1,1.1926506063
7,23,7.4218750000,112384,1,1.1942658576
7,24,7.4218750000,112760,1,1.1982614794
7,25,7.4218750000,112402,1,1.1944571374
7,26,7.4218750000,112257,1,1.1929162726
7,27,7.4218750000,112384,1,1.1942658576
7,28,7.4218750000,112566,1,1.1961999086
7,29,7.4218750000,112412,1,1.1945634039
