# Baseline 93935.2, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,330501,1,1.1787966840
1,452.5000000000,9.5000000000,7.5000000000,219477,0,3.5183935309
2,228.7500000000,7.2500000000,6.2500000000,157172,0,2.3364723767
3,116.8750000000,6.1250000000,5.6250000000,130296,0,1.6731959904
4,60.9375000000,5.5625000000,5.3125000000,116736,0,1.3870838621
5,32.9687500000,5.2812500000,5.1562500000,112556,0,1.2427290302
6,46.9531250000,5.4218750000,5.2343750000,114416,1,1.1982302694
7,25.9765625000,5.2109375000,5.1171875000,111483,0,1.2180311534
8,36.4648437500,5.3164062500,5.1757812500,113052,1,1.1868075013
9,20.7324218750,5.1582031250,5.0878906250,110949,0,1.2035105051
