# Baseline 9089204, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,13381709,0,1.4722641279
0,1,950.0000000000,13382642,0,1.4723667771
0,2,950.0000000000,13378764,0,1.4719401171
0,3,950.0000000000,13380234,0,1.4721018474
0,4,950.0000000000,13380060,0,1.4720827038
0,5,950.0000000000,13381157,0,1.4722033965
0,6,950.0000000000,13381048,0,1.4721914042
0,7,950.0000000000,13380623,0,1.4721446454
0,8,950.0000000000,13378201,0,1.4718781755
0,9,950.0000000000,13381842,0,1.4722787606
0,10,950.0000000000,13379607,0,1.4720328645
0,11,950.0000000000,13381211,0,1.4722093376
0,12,950.0000000000,13379752,0,1.4720488175
0,13,950.0000000000,13382533,0,1.4723547849
0,14,950.0000000000,13380058,0,1.4720824838
0,15,950.0000000000,13379360,0,1.4720056894
0,16,950.0000000000,13380220,0,1.4721003071
0,17,950.0000000000,13380310,0,1.4721102090
0,18,950.0000000000,13380458,0,1.4721264920
0,19,950.0000000000,13381202,0,1.4722083474
0,20,950.0000000000,13380754,0,1.4721590582
0,21,950.0000000000,13383105,0,1.4724177167
0,22,950.0000000000,13379792,0,1.4720532183
0,23,950.0000000000,13379987,0,1.4720746723
0,24,950.0000000000,13380539,0,1.4721354037
0,25,950.0000000000,13382489,0,1.4723499440
0,26,950.0000000000,13384045,0,1.4725211361
0,27,950.0000000000,13381445,0,1.4722350824
0,28,950.0000000000,13379569,0,1.4720286837
0,29,950.0000000000,13383436,0,1.4724541335
1,0,475.0000000000,12185976,0,1.3407088233
2,0,237.5000000000,11324166,0,1.2458919395
3,0,118.7500000000,10774123,1,1.1853758591
3,1,118.7500000000,10775004,1,1.1854727873
3,2,118.7500000000,10774918,1,1.1854633255
3,3,118.7500000000,10775485,1,1.1855257072
3,4,118.7500000000,10774602,1,1.1854285590
3,5,118.7500000000,10776538,1,1.1856415589
3,6,118.7500000000,10774741,1,1.1854438518
3,7,118.7500000000,10776420,1,1.1856285765
3,8,118.7500000000,10774584,1,1.1854265786
3,9,118.7500000000,10777338,1,1.1857295754
3,10,118.7500000000,10775356,1,1.1855115145
3,11,118.7500000000,10775746,1,1.1855544226
3,12,118.7500000000,10774280,1,1.1853931323
3,13,118.7500000000,10775357,1,1.1855116246
3,14,118.7500000000,10774826,1,1.1854532036
3,15,118.7500000000,10777026,1,1.1856952490
3,16,118.7500000000,10775434,1,1.1855200961
3,17,118.7500000000,10776211,1,1.1856055822
3,18,118.7500000000,10773640,1,1.1853227191
3,19,118.7500000000,10773686,1,1.1853277801
3,20,118.7500000000,10774437,1,1.1854104056
3,21,118.7500000000,10777058,1,1.1856987697
3,22,118.7500000000,10774341,1,1.1853998436
3,23,118.7500000000,10773669,1,1.1853259097
3,24,118.7500000000,10774479,1,1.1854150264
3,25,118.7500000000,10774963,1,1.1854682764
3,26,118.7500000000,10776048,1,1.1855876488
3,27,118.7500000000,10776669,1,1.1856559716
3,28,118.7500000000,10775859,1,1.1855668549
3,29,118.7500000000,10775730,1,1.1855526623
4,0,178.1250000000,10997667,0,1.2099703120
5,0,148.4375000000,10891417,1,1.1982806195
5,1,148.4375000000,10890650,1,1.1981962337
5,2,148.4375000000,10890629,1,1.1981939233
5,3,148.4375000000,10891244,1,1.1982615859
5,4,148.4375000000,10891043,1,1.1982394718
5,5,148.4375000000,10890685,1,1.1982000844
5,6,148.4375000000,10889020,1,1.1980169000
5,7,148.4375000000,10893315,1,1.1984894387
5,8,148.4375000000,10890410,1,1.1981698287
5,9,148.4375000000,10890324,1,1.1981603670
5,10,148.4375000000,10891241,1,1.1982612559
5,11,148.4375000000,10889304,1,1.1980481459
5,12,148.4375000000,10889036,1,1.1980186604
5,13,148.4375000000,10890810,1,1.1982138370
5,14,148.4375000000,10892927,1,1.1984467507
5,15,148.4375000000,10890823,1,1.1982152673
5,16,148.4375000000,10891772,1,1.1983196768
5,17,148.4375000000,10892159,1,1.1983622548
5,18,148.4375000000,10892008,1,1.1983456417
5,19,148.4375000000,10891938,1,1.1983379403
5,20,148.4375000000,10892000,1,1.1983447615
5,21,148.4375000000,10891781,1,1.1983206670
5,22,148.4375000000,10892323,1,1.1983802982
5,23,148.4375000000,10887599,1,1.1978605607
5,24,148.4375000000,10890964,1,1.1982307802
5,25,148.4375000000,10890873,1,1.1982207683
5,26,148.4375000000,10889828,1,1.1981057967
5,27,148.4375000000,10892101,1,1.1983558736
5,28,148.4375000000,10891908,1,1.1983346396
5,29,148.4375000000,10891262,1,1.1982635663
