# Baseline 311714, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,1043516,0,3.3476712628
0,1,950.0000000000,1043473,0,3.3475333158
0,2,950.0000000000,1044131,0,3.3496442252
0,3,950.0000000000,1043866,0,3.3487940869
0,4,950.0000000000,1044370,0,3.3504109536
0,5,950.0000000000,1043793,0,3.3485598979
0,6,950.0000000000,1044545,0,3.3509723657
0,7,950.0000000000,1043534,0,3.3477290080
0,8,950.0000000000,1043435,0,3.3474114092
0,9,950.0000000000,1044901,0,3.3521144382
0,10,950.0000000000,1044116,0,3.3495961041
0,11,950.0000000000,1043948,0,3.3490571485
0,12,950.0000000000,1043776,0,3.3485053607
0,13,950.0000000000,1043945,0,3.3490475243
0,14,950.0000000000,1044402,0,3.3505136118
0,15,950.0000000000,1043789,0,3.3485470656
0,16,950.0000000000,1043487,0,3.3475782288
0,17,950.0000000000,1044446,0,3.3506547669
0,18,950.0000000000,1043242,0,3.3467922519
0,19,950.0000000000,1044252,0,3.3500324015
0,20,950.0000000000,1043410,0,3.3473312075
0,21,950.0000000000,1044346,0,3.3503339600
0,22,950.0000000000,1043509,0,3.3476488063
0,23,950.0000000000,1044111,0,3.3495800638
0,24,950.0000000000,1043587,0,3.3478990357
0,25,950.0000000000,1043802,0,3.3485887705
0,26,950.0000000000,1044558,0,3.3510140706
0,27,950.0000000000,1044477,0,3.3507542170
0,28,950.0000000000,1044235,0,3.3499778643
0,29,950.0000000000,1043045,0,3.3461602623
1,0,475.0000000000,919441,0,2.9496301097
2,0,237.5000000000,740226,0,2.3746960355
3,0,118.7500000000,669730,0,2.1485400078
4,0,59.3750000000,630037,0,2.0212021276
5,0,29.6875000000,607949,0,1.9503423010
6,0,14.8437500000,541708,0,1.7378366066
7,0,7.4218750000,408090,0,1.3091808517
8,0,3.7109375000,354561,1,1.1374561297
8,1,3.7109375000,354946,1,1.1386912362
8,2,3.7109375000,354906,1,1.1385629134
8,3,3.7109375000,355005,1,1.1388805123
8,4,3.7109375000,354579,1,1.1375138749
8,5,3.7109375000,354324,1,1.1366958173
8,6,3.7109375000,354414,1,1.1369845435
8,7,3.7109375000,354961,1,1.1387393572
8,8,3.7109375000,354421,1,1.1370070000
8,9,3.7109375000,354956,1,1.1387233169
8,10,3.7109375000,354381,1,1.1368786772
8,11,3.7109375000,354408,1,1.1369652951
8,12,3.7109375000,354327,1,1.1367054415
8,13,3.7109375000,354208,1,1.1363236813
8,14,3.7109375000,354546,1,1.1374080086
8,15,3.7109375000,354472,1,1.1371706115
8,16,3.7109375000,354501,1,1.1372636455
8,17,3.7109375000,354409,1,1.1369685032
8,18,3.7109375000,354236,1,1.1364135073
8,19,3.7109375000,354333,1,1.1367246899
8,20,3.7109375000,354281,1,1.1365578704
8,21,3.7109375000,354285,1,1.1365707026
8,22,3.7109375000,354751,1,1.1380656628
8,23,3.7109375000,354732,1,1.1380047094
8,24,3.7109375000,354203,1,1.1363076410
8,25,3.7109375000,354527,1,1.1373470553
8,26,3.7109375000,354428,1,1.1370294565
8,27,3.7109375000,354427,1,1.1370262484
8,28,3.7109375000,354601,1,1.1375844524
8,29,3.7109375000,354244,1,1.1364391718
9,0,5.5664062500,383825,0,1.2313370590
10,0,4.6386718750,381471,0,1.2237852647
11,0,4.1748046875,362593,1,1.1632233393
11,1,4.1748046875,362281,1,1.1622224218
11,2,4.1748046875,362178,1,1.1618919907
11,3,4.1748046875,362641,1,1.1633773267
11,4,4.1748046875,362155,1,1.1618182051
11,5,4.1748046875,362019,1,1.1613819078
11,6,4.1748046875,362210,1,1.1619946489
11,7,4.1748046875,362255,1,1.1621390120
11,8,4.1748046875,361979,1,1.1612535850
11,9,4.1748046875,362378,1,1.1625336045
11,10,4.1748046875,362601,1,1.1632490039
11,11,4.1748046875,361989,1,1.1612856657
11,12,4.1748046875,362499,1,1.1629217809
11,13,4.1748046875,362475,1,1.1628447872
11,14,4.1748046875,362562,1,1.1631238892
11,15,4.1748046875,361887,1,1.1609584427
11,16,4.1748046875,361936,1,1.1611156381
11,17,4.1748046875,362079,1,1.1615743919
11,18,4.1748046875,362503,1,1.1629346131
11,19,4.1748046875,362398,1,1.1625977659
11,20,4.1748046875,362628,1,1.1633356218
11,21,4.1748046875,361990,1,1.1612888738
11,22,4.1748046875,361949,1,1.1611573429
11,23,4.1748046875,362090,1,1.1616096807
11,24,4.1748046875,362182,1,1.1619048230
