# Baseline 311531.5333333333, target slowdown 1.2
rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
0,900.0000000000,14.0000000000,10.0000000000,1112555,1,1.1811227314
1,452.5000000000,9.5000000000,7.5000000000,871048,0,3.5712436173
2,228.7500000000,7.2500000000,6.2500000000,550915,0,2.7960187230
3,116.8750000000,6.1250000000,5.6250000000,450570,0,1.7684084629
4,60.9375000000,5.5625000000,5.3125000000,406311,0,1.4463062380
5,32.9687500000,5.2812500000,5.1562500000,393019,0,1.3042371527
6,18.9843750000,5.1406250000,5.0781250000,386624,0,1.2615705248
7,11.9921875000,5.0703125000,5.0390625000,377081,0,1.2410429078
8,8.4960937500,5.0351562500,5.0195312500,375793,0,1.2104103747
9,6.7480468750,5.0175781250,5.0097656250,375176,0,1.2062759618
