# Baseline 244759, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,448610,0,1.8328641643
0,1,950.0000000000,448900,0,1.8340490033
0,2,950.0000000000,449001,0,1.8344616541
0,3,950.0000000000,448983,0,1.8343881124
0,4,950.0000000000,448879,0,1.8339632046
0,5,950.0000000000,448599,0,1.8328192222
0,6,950.0000000000,449045,0,1.8346414228
0,7,950.0000000000,449258,0,1.8355116666
0,8,950.0000000000,449016,0,1.8345229389
0,9,950.0000000000,449176,0,1.8351766431
0,10,950.0000000000,449134,0,1.8350050458
0,11,950.0000000000,449030,0,1.8345801380
0,12,950.0000000000,448974,0,1.8343513415
0,13,950.0000000000,448931,0,1.8341756585
0,14,950.0000000000,449089,0,1.8348211915
0,15,950.0000000000,449036,0,1.8346046519
0,16,950.0000000000,449162,0,1.8351194440
0,17,950.0000000000,448980,0,1.8343758554
0,18,950.0000000000,449269,0,1.8355566087
0,19,950.0000000000,449180,0,1.8351929858
0,20,950.0000000000,449100,0,1.8348661336
0,21,950.0000000000,449231,0,1.8354013540
0,22,950.0000000000,449043,0,1.8346332515
0,23,950.0000000000,449181,0,1.8351970714
0,24,950.0000000000,449387,0,1.8360387156
0,25,950.0000000000,449233,0,1.8354095253
0,26,950.0000000000,449158,0,1.8351031014
0,27,950.0000000000,449198,0,1.8352665275
0,28,950.0000000000,449306,0,1.8357077779
0,29,950.0000000000,449188,0,1.8352256710
1,0,475.0000000000,409540,0,1.6732377563
2,0,237.5000000000,353855,0,1.4457282470
3,0,118.7500000000,331534,0,1.3545324176
4,0,59.3750000000,320057,0,1.3076413942
5,0,29.6875000000,311412,0,1.2723209361
6,0,14.8437500000,293991,0,1.2011447996
7,0,7.4218750000,269319,1,1.1003436033
7,1,7.4218750000,269298,1,1.1002578046
7,2,7.4218750000,269342,1,1.1004375733
7,3,7.4218750000,269275,1,1.1001638346
7,4,7.4218750000,269275,1,1.1001638346
7,5,7.4218750000,269317,1,1.1003354320
7,6,7.4218750000,269332,1,1.1003967168
7,7,7.4218750000,269376,1,1.1005764854
7,8,7.4218750000,269392,1,1.1006418559
7,9,7.4218750000,269398,1,1.1006663698
