# Baseline 18549, target slowdown 1.2
it,rep,bandwidth,time,in_target,slowdown
0,0,950.0000000000,58221,0,3.1387675885
0,1,950.0000000000,57998,0,3.1267453771
0,2,950.0000000000,58257,0,3.1407083940
0,3,950.0000000000,57919,0,3.1224863874
0,4,950.0000000000,57965,0,3.1249663055
0,5,950.0000000000,57933,0,3.1232411451
0,6,950.0000000000,58193,0,3.1372580732
0,7,950.0000000000,57753,0,3.1135371179
0,8,950.0000000000,57954,0,3.1243732816
0,9,950.0000000000,57819,0,3.1170952612
0,10,950.0000000000,58241,0,3.1398458138
0,11,950.0000000000,57821,0,3.1172030837
0,12,950.0000000000,57915,0,3.1222707424
0,13,950.0000000000,58127,0,3.1336999299
0,14,950.0000000000,58138,0,3.1342929538
0,15,950.0000000000,57976,0,3.1255593293
0,16,950.0000000000,57889,0,3.1208690495
0,17,950.0000000000,57900,0,3.1214620734
0,18,950.0000000000,57918,0,3.1224324761
0,19,950.0000000000,57714,0,3.1114345787
0,20,950.0000000000,58026,0,3.1282548924
0,21,950.0000000000,58156,0,3.1352633565
0,22,950.0000000000,57834,0,3.1179039301
0,23,950.0000000000,57618,0,3.1062590975
0,24,950.0000000000,57979,0,3.1257210631
0,25,950.0000000000,57932,0,3.1231872338
0,26,950.0000000000,58149,0,3.1348859777
0,27,950.0000000000,57927,0,3.1229176775
0,28,950.0000000000,58352,0,3.1458299639
0,29,950.0000000000,58040,0,3.1290096501
1,0,475.0000000000,50077,0,2.6997142703
2,0,237.5000000000,40010,0,2.1569895951
3,0,118.7500000000,36842,0,1.9861987169
4,0,59.3750000000,35437,0,1.9104533937
5,0,29.6875000000,34664,0,1.8687799881
6,0,14.8437500000,30527,0,1.6457490970
7,0,7.4218750000,22857,0,1.2322497170
8,0,3.7109375000,20626,1,1.1119736913
8,1,3.7109375000,20543,1,1.1074990566
8,2,3.7109375000,20503,1,1.1053426061
8,3,3.7109375000,20513,1,1.1058817187
8,4,3.7109375000,20509,1,1.1056660736
8,5,3.7109375000,20517,1,1.1060973637
8,6,3.7109375000,20505,1,1.1054504286
8,7,3.7109375000,20490,1,1.1046417597
8,8,3.7109375000,20494,1,1.1048574047
8,9,3.7109375000,20501,1,1.1052347835
8,10,3.7109375000,20507,1,1.1055582511
8,11,3.7109375000,20505,1,1.1054504286
8,12,3.7109375000,20613,1,1.1112728449
8,13,3.7109375000,20509,1,1.1056660736
8,14,3.7109375000,20645,1,1.1129980053
8,15,3.7109375000,20522,1,1.1063669200
8,16,3.7109375000,20845,1,1.1237802577
8,17,3.7109375000,20845,1,1.1237802577
8,18,3.7109375000,20863,1,1.1247506604
8,19,3.7109375000,20829,1,1.1229176775
8,20,3.7109375000,20836,1,1.1232950563
8,21,3.7109375000,20852,1,1.1241576365
8,22,3.7109375000,20833,1,1.1231333226
8,23,3.7109375000,20849,1,1.1239959027
8,24,3.7109375000,20850,1,1.1240498140
8,25,3.7109375000,20868,1,1.1250202167
8,26,3.7109375000,20858,1,1.1244811041
8,27,3.7109375000,20880,1,1.1256671519
8,28,3.7109375000,20837,1,1.1233489676
8,29,3.7109375000,20843,1,1.1236724352
9,0,5.5664062500,21725,1,1.1712221683
9,1,5.5664062500,21770,1,1.1736481751
9,2,5.5664062500,21702,1,1.1699822093
9,3,5.5664062500,21807,1,1.1756428918
9,4,5.5664062500,21725,1,1.1712221683
9,5,5.5664062500,21702,1,1.1699822093
